,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Eden Hazard,0.4,0.4,0.3,,0.1,0.3,,,7.81
1,Raheem Sterling,0.9,0.5,1.2,,0.1,0.5,0.1,,7.61
2,Mohamed Salah,0.6,0.1,0.7,,0.1,0.3,,,7.57
3,Sergio Agüero,0.5,0.3,0.6,,0.1,0.1,,,7.53
4,Virgil van Dijk,1.0,1.1,0.3,1.1,5.2,,0.5,,7.44
5,Sadio Mané,1.0,0.4,0.9,0.1,0.2,0.8,0.1,,7.43
6,Harry Kane,0.4,,1.1,,0.5,0.5,0.2,,7.38
7,Trent Alexander-Arnold,2.1,1.2,0.5,0.3,2.1,1.1,0.1,,7.36
8,Lucas Digne,2.0,1.7,1.1,0.3,2.7,0.5,0.3,1,7.36
9,Ricardo Pereira,3.4,1.7,1.2,0.2,3.0,1.7,0.2,,7.34
10,Paul Pogba,1.3,0.5,1.5,,1.0,0.7,0.3,,7.31
11,Fernandinho,2.0,1.4,1.4,0.1,2.4,0.7,0.1,,7.31
12,Fabian Schär,2.5,2.8,1.2,0.4,5.7,1.1,0.7,,7.3
13,Benjamin Mendy,1.6,1.0,1.2,0.4,1.6,0.8,0.4,,7.29
14,Aaron Wan-Bissaka,3.7,2.4,0.7,0.3,3.7,0.3,0.5,,7.27
15,David Silva,0.9,0.7,0.8,,0.4,0.6,,,7.26
16,Bernardo Silva,1.4,0.7,0.9,,0.7,1.4,0.1,,7.26
17,Leroy Sané,0.8,0.3,0.3,,0.1,0.7,0.1,,7.26
18,Felipe Anderson,2.5,1.1,0.8,,0.3,1.9,,,7.23
19,Wilfred Ndidi,3.8,2.2,1.2,0.1,2.1,1.3,0.2,,7.21
20,Wilfried Zaha,1.1,0.3,1.3,,,0.6,,,7.21
21,James Maddison,1.3,0.3,0.7,,0.1,1.2,0.1,,7.2
22,Roberto Firmino,0.9,0.2,1.1,,0.4,0.8,,,7.2
23,Luka Milivojevic,2.4,1.9,1.6,,1.7,1.4,0.4,,7.19
24,John Ruddy,,,,,,,,,7.19
25,Oleksandr Zinchenko,2.4,1.4,1.1,,1.1,1.4,0.2,,7.19
