,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Eden Hazard,16,15,2.5,2.6,3.7,2.8,0.3,2.3,2.4,7.81
1,Raheem Sterling,17,10,2.3,1.9,2.4,1.3,0.4,2.6,2.2,7.61
2,Mohamed Salah,22,8,3.6,1.8,2.1,0.8,0.7,3.1,2.9,7.57
3,Sergio Agüero,21,8,3.6,1.0,1.4,0.8,0.8,1.6,2.2,7.53
4,Virgil van Dijk,4,2,0.8,0.2,0.2,0.6,0.0,0.0,0.2,7.44
5,Sadio Mané,22,1,2.4,1.3,1.4,1.8,0.7,1.3,2.9,7.43
6,Harry Kane,17,4,3.6,1.1,1.4,1.9,0.4,1.6,2.9,7.38
7,Trent Alexander-Arnold,1,12,1.0,1.7,0.5,0.2,0.1,0.5,1.4,7.36
8,Lucas Digne,4,4,1.0,2.0,0.4,0.9,0.1,0.9,0.9,7.36
9,Ricardo Pereira,2,6,0.7,0.9,1.9,1.4,0.1,1,1.5,7.34
10,Paul Pogba,13,9,3.0,1.6,1.7,2.0,0.1,2.5,2.1,7.31
11,Fernandinho,1,3,1.0,0.8,0.7,0.9,0.1,0.4,0.9,7.31
12,Fabian Schär,4,1,1.0,0.5,0.6,0.8,0.0,0.4,0.5,7.3
13,Benjamin Mendy,0.0,5,0.7,1.2,0.9,0.2,0.0,1.1,0.9,7.29
14,Aaron Wan-Bissaka,0.0,3,0.3,0.4,1.7,0.5,0.1,1.1,1.2,7.27
15,David Silva,6,8,1.5,2.2,0.9,0.8,0.2,0.9,0.8,7.26
16,Bernardo Silva,7,7,1.7,2.0,1.4,0.7,0.1,1.0,1.2,7.26
17,Leroy Sané,10,10,1.8,1.3,1.8,0.5,0.6,1.4,2.3,7.26
18,Felipe Anderson,9,4,1.6,1.8,2.1,1.4,0.1,1.5,2.7,7.23
19,Wilfred Ndidi,2,0.0,1.4,0.6,0.9,0.6,0.1,0.9,1.5,7.21
20,Wilfried Zaha,10,5,2.1,1.6,3.4,3,0.5,4.2,3.6,7.21
21,James Maddison,7,7,2.3,2.8,1.4,2.2,0.1,1.1,1.3,7.2
22,Roberto Firmino,12,6,2.2,1.3,1.4,0.3,0.2,1.8,2.3,7.2
23,Luka Milivojevic,12,2,1.5,1.6,0.3,1,0.0,0.5,0.7,7.19
24,John Ruddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19
25,Oleksandr Zinchenko,0.0,3,0.5,0.9,0.4,0.4,0.1,0.4,0.5,7.19
26,Marcos Alonso,2,4,1.5,1.1,0.5,1.2,0.1,0.9,1,7.18
27,Alexandre Lacazette,13,8,2.3,0.9,1.3,1.5,0.7,1.7,2,7.17
28,Gylfi Sigurdsson,13,6,2.3,1.9,1,1,0.1,0.8,2.1,7.16
29,Sol Bamba,4,1,0.8,0.1,0.5,0.4,0.1,0.4,0.7,7.15
30,Idrissa Gueye,0.0,2,0.6,0.5,0.7,1.2,0.0,0.9,1.0,7.14
31,Youri Tielemans,3,4,2.4,1.2,0.9,1.2,0.0,1.2,1.4,7.14
32,Paulo Gazzaniga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,7.14
33,Michael Keane,1,2,0.9,0.3,0.2,0.2,0.0,0.1,0.3,7.13
34,Etienne Capoue,1,3,0.5,0.3,1,1.8,0.0,0.6,0.5,7.13
35,Matt Doherty,4,5,1.2,1,0.5,0.6,0.1,0.6,1.2,7.12
36,Willy Boly,4,0.0,0.7,0.3,0.4,0.4,0.1,0.4,0.3,7.12
37,Andrew Robertson,0.0,11,0.4,1.4,0.8,0.4,0.0,0.6,0.9,7.12
38,James Tarkowski,3,1,0.6,0.2,0.2,0.9,0.1,0.3,0.7,7.11
39,Shane Duffy,5,1,1.1,0.2,0.1,0.3,0.1,0.1,0.5,7.11
40,Troy Deeney,9,5,2.0,1.3,0.2,1.1,0.4,1.1,1.9,7.11
41,Joel Matip,1,0.0,0.4,0.1,0.3,0.8,0.0,0.0,0.3,7.11
42,Kieran Trippier,1,3,0.3,1.8,0.3,0.9,0.2,0.5,0.7,7.1
43,Pierre-Emerick Aubameyang,22,5,2.6,0.9,0.8,0.6,0.6,0.9,1.7,7.1
44,Son Heung-Min,12,6,2.4,1.1,1.5,0.6,0.7,1.4,1.9,7.1
45,Ilkay Gündogan,6,3,1.4,1.4,0.6,0.7,0.0,0.5,0.9,7.1
46,Ryan Fraser,7,14,1.3,2.4,0.6,1.8,0.3,0.7,1.4,7.08
47,Christian Eriksen,8,12,2.4,2.1,0.5,0.5,0.1,0.8,1.7,7.08
48,Dejan Lovren,1,0.0,0.5,0.1,0.0,0.8,0.0,0.1,0.2,7.08
49,David Luiz,3,2,0.9,0.6,0.3,0.8,0.0,0.1,0.4,7.08
50,Philip Billing,2,0.0,1.6,0.8,0.7,1.1,0.1,1,2,7.08
51,Mark Travers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.08
52,Raúl Jiménez,13,7,2.9,1.1,0.9,1,0.9,1.8,2.5,7.07
53,Jannik Vestergaard,0.0,0.0,0.6,0.2,0.4,0.6,0.0,0.2,0.4,7.07
54,João Moutinho,1,8,0.5,2.2,0.3,1,0.0,0.7,0.4,7.06
55,Ciaran Clark,3,0.0,0.6,0.2,0.0,0.5,0.0,0.2,0.2,7.06
56,Willian,3,6,1.9,2.5,1.2,1,0.3,1.2,1.6,7.06
57,Shkodran Mustafi,2,0.0,0.6,0.2,0.3,0.3,0.1,0.2,0.4,7.05
58,Petr Cech,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,7.05
59,Aymeric Laporte,3,3,0.7,0.4,0.1,0.5,0.1,0.1,0.3,7.05
60,Salomón Rondón,11,7,2.8,1.0,0.6,0.8,0.6,2.4,3.1,7.05
61,Kevin De Bruyne,2,2,1.6,1.9,1,0.8,0.1,0.7,1.2,7.05
62,Ben Chilwell,0.0,4,0.6,1.3,1.4,1.2,0.1,1.3,2,7.04
63,Jan Bednarek,0.0,1,0.2,0.4,0.0,0.2,0.0,0.2,0.2,7.04
64,Dwight McNeil,3,5,1.3,1.2,1.5,0.5,0.0,1.1,1.5,7.03
65,Granit Xhaka,4,2,1,1.4,0.2,1.8,0.0,0.6,0.6,7.03
66,Aleksandar Mitrovic,11,3,3.5,0.8,0.6,1.6,0.9,2.6,3,7.03
67,Lukasz Fabianski,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,7.02
68,César Azpilicueta,1,5,0.4,0.7,0.3,0.4,0.1,0.2,0.9,7.01
69,Harry Maguire,3,0.0,1,0.4,0.5,0.5,0.1,0.2,0.7,7.01
70,Danilo,1,0.0,1.3,0.4,0.7,0.7,0.0,0.5,0.7,7.01
71,José Holebas,3,6,0.6,1.4,0.8,0.5,0.1,0.9,1.0,7.0
72,Callum Wilson,14,9,2.2,1.0,0.6,1.1,0.6,1.5,3.2,6.99
73,Fabián Balbuena,1,0.0,0.8,0.1,0.0,0.2,0.0,0.1,0.2,6.98
74,Nicolás Otamendi,0.0,0.0,0.8,0.1,0.1,0.2,0.0,0.0,0.1,6.98
75,Andros Townsend,6,4,1.7,1.6,1.5,1.5,0.2,2,2.1,6.98
76,Pedro,8,2,1.8,0.9,1.4,0.8,0.3,1.1,1.0,6.97
77,Leander Dendoncker,2,0.0,0.9,0.4,0.6,0.6,0.1,0.4,0.9,6.97
78,Nacho Monreal,1,3,0.3,0.5,0.3,1.0,0.0,0.1,0.5,6.97
79,Jefferson Lerma,2,0.0,1.0,0.5,0.7,1.7,0.1,0.7,0.8,6.97
80,Steve Cook,1,1,0.7,0.4,0.2,0.9,0.0,0.0,0.2,6.96
81,Sean Morrison,1,3,1,0.6,0.2,0.6,0.3,0.3,0.4,6.96
82,Kyle Walker,1,1,0.6,0.7,0.5,0.4,0.1,0.4,0.8,6.96
83,Ander Herrera,2,3,1,0.7,0.5,0.9,0.0,0.4,0.6,6.96
84,Joshua King,12,3,2.1,1.1,1.9,1.3,0.2,2.7,3.2,6.96
