,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Eden Hazard,15,2.6,49.2,84.3,0.9,2.7,0.3,7.81
1,Raheem Sterling,10,1.9,37.1,85.8,0.4,0.3,0.0,7.61
2,Mohamed Salah,8,1.8,28.4,75.9,0.4,0.6,0.3,7.57
3,Sergio Agüero,8,1.0,23.4,85.0,0.0,0.1,0.1,7.53
4,Virgil van Dijk,2,0.2,79.9,89.7,0.0,5.3,0.0,7.44
5,Sadio Mané,1,1.3,32.9,78.2,0.2,1.3,0.1,7.43
6,Harry Kane,4,1.1,19.7,73.1,0.1,1.6,0.0,7.38
7,Trent Alexander-Arnold,12,1.7,58.5,77.5,2,4.0,0.1,7.36
8,Lucas Digne,4,2.0,41.6,76.0,2.4,1.7,0.0,7.36
9,Ricardo Pereira,6,0.9,43.8,78.0,0.4,1.2,0.0,7.34
10,Paul Pogba,9,1.6,59.1,82.8,0.1,4.7,0.2,7.31
11,Fernandinho,3,0.8,70.7,87.5,0.0,2.7,0.2,7.31
12,Fabian Schär,1,0.5,41.4,68.1,0.1,5.6,0.0,7.3
13,Benjamin Mendy,5,1.2,65.0,88.3,1.1,1.8,0.0,7.29
14,Aaron Wan-Bissaka,3,0.4,33.3,73.0,0.3,1.0,0.0,7.27
15,David Silva,8,2.2,61.1,87.8,0.5,1.2,0.2,7.26
16,Bernardo Silva,7,2.0,47.4,86.1,0.3,2.0,0.1,7.26
17,Leroy Sané,10,1.3,27.3,84.4,0.5,0.1,0.1,7.26
18,Felipe Anderson,4,1.8,46.3,76.0,0.9,2.4,0.3,7.23
19,Wilfred Ndidi,0.0,0.6,52.2,79.9,0.0,2.4,0.1,7.21
20,Wilfried Zaha,5,1.6,29.6,77.3,0.3,0.7,0.1,7.21
21,James Maddison,7,2.8,39.0,83.8,1.9,2.2,0.3,7.2
22,Roberto Firmino,6,1.3,37.6,80.8,0.1,0.5,0.1,7.2
23,Luka Milivojevic,2,1.6,52.3,80.0,1.4,3.4,0.0,7.19
24,John Ruddy,0.0,0.0,19.0,68.4,0.0,9.0,0.0,7.19
25,Oleksandr Zinchenko,3,0.9,84.6,91.5,0.5,2.6,0.0,7.19
26,Marcos Alonso,4,1.1,60.7,85.0,0.3,1.4,0.0,7.18
27,Alexandre Lacazette,8,0.9,22.0,74.2,0.1,0.5,0.1,7.17
28,Gylfi Sigurdsson,6,1.9,26.1,76.2,1.3,0.7,0.3,7.16
29,Sol Bamba,1,0.1,19.6,69.1,0.0,1.6,0.0,7.15
30,Idrissa Gueye,2,0.5,52.8,84.3,0.1,3.2,0.1,7.14
31,Youri Tielemans,4,1.2,49.3,85.0,0.2,3.4,0.5,7.14
32,Paulo Gazzaniga,0.0,0.0,31.7,64.2,0.0,6.0,0.0,7.14
33,Michael Keane,2,0.3,48.3,80.8,0.0,3.1,0.0,7.13
34,Etienne Capoue,3,0.3,53.0,84.4,0.0,3.5,0.1,7.13
35,Matt Doherty,5,1,36.8,71.6,0.4,1.4,0.1,7.12
36,Willy Boly,0.0,0.3,47.6,81.0,0.0,2.4,0.0,7.12
37,Andrew Robertson,11,1.4,66.6,83.2,0.6,2.2,0.0,7.12
38,James Tarkowski,1,0.2,32.4,69.5,0.0,3.1,0.0,7.11
39,Shane Duffy,1,0.2,37.3,75.2,0.0,3.1,0.0,7.11
40,Troy Deeney,5,1.3,25.8,60.7,0.1,0.4,0.1,7.11
41,Joel Matip,0.0,0.1,61.0,86.9,0.0,2.1,0.0,7.11
42,Kieran Trippier,3,1.8,57.1,78.9,2,2.6,0.1,7.1
43,Pierre-Emerick Aubameyang,5,0.9,19.2,74.0,0.3,0.3,0.0,7.1
44,Son Heung-Min,6,1.1,24.3,85.6,0.2,0.4,0.1,7.1
45,Ilkay Gündogan,3,1.4,64.4,90.8,0.9,2.4,0.1,7.1
46,Ryan Fraser,14,2.4,31.4,76.9,2,0.7,0.1,7.08
47,Christian Eriksen,12,2.1,53.5,81.0,0.9,2.3,0.3,7.08
48,Dejan Lovren,0.0,0.1,63.2,86.6,0.2,2.6,0.1,7.08
49,David Luiz,2,0.6,72.8,88.0,0.0,6.0,0.3,7.08
50,Philip Billing,0.0,0.8,39.8,78.6,0.3,2.9,0.0,7.08
51,Mark Travers,0.0,0.0,21.5,65.1,0.0,3.5,0.0,7.08
52,Raúl Jiménez,7,1.1,27.9,72.8,0.2,0.9,0.1,7.07
53,Jannik Vestergaard,0.0,0.2,36.7,76.9,0.0,2.3,0.1,7.07
54,João Moutinho,8,2.2,49.0,84.8,1.7,3.3,0.0,7.06
55,Ciaran Clark,0.0,0.2,27.6,75.0,0.0,1.5,0.0,7.06
56,Willian,6,2.5,38.4,85.7,1.2,1.2,0.1,7.06
57,Shkodran Mustafi,0.0,0.2,56.9,81.9,0.0,3.2,0.1,7.05
58,Petr Cech,0.0,0.0,32.0,68.3,0.0,5.4,0.0,7.05
59,Aymeric Laporte,3,0.4,85.6,92.3,0.0,4.9,0.0,7.05
60,Salomón Rondón,7,1.0,23.0,69.9,0.1,0.3,0.1,7.05
61,Kevin De Bruyne,2,1.9,38.2,83.7,1.1,2.4,0.2,7.05
62,Ben Chilwell,4,1.3,46.8,72.3,0.6,1.2,0.0,7.04
63,Jan Bednarek,1,0.4,32.8,70.5,0.0,1.7,0.1,7.04
64,Dwight McNeil,5,1.2,21.6,75.7,1.6,0.9,0.0,7.03
65,Granit Xhaka,2,1.4,77.4,85.3,1.1,5.5,0.1,7.03
66,Aleksandar Mitrovic,3,0.8,27.7,72.0,0.0,0.4,0.1,7.03
67,Lukasz Fabianski,0.0,0.1,28.2,49.7,0.0,8.5,0.0,7.02
68,César Azpilicueta,5,0.7,65.3,87.0,0.6,1.3,0.1,7.01
69,Harry Maguire,0.0,0.4,56.4,85.6,0.0,6.2,0.0,7.01
70,Danilo,0.0,0.4,69.7,87.0,0.2,1.7,0.0,7.01
71,José Holebas,6,1.4,29.8,68.5,1.5,1.6,0.0,7.0
