,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Neymar,7,2.5,57.8,81.1,1,2.5,0.9,8.26
1,Kylian Mbappé,7,1.6,26.9,79.4,0.2,0.6,0.1,8.0
2,Téji Savanier,14,2.7,50.4,71.4,2.3,6.6,0.1,7.89
3,Jessy Moulin,0.0,0.0,20.0,85.0,0.0,0.0,0.0,7.76
4,Nicolas Pépé,11,1.8,31.6,79.1,0.4,0.7,0.3,7.62
5,Ángel Di María,11,1.8,42.1,78.8,1,1.7,0.2,7.52
6,Youcef Atal,0.0,0.8,34.9,83.6,0.3,0.9,0.1,7.48
7,Yassine Benzia,1,2.5,49.5,81.8,1,4,0.5,7.46
8,Edinson Cavani,5,0.6,16.7,76.3,0.0,0.3,0.0,7.44
9,Hatem Ben Arfa,2,1.4,32.7,85.2,0.5,1.6,0.2,7.35
10,Memphis Depay,10,3.1,34.8,80.1,2,1.4,0.2,7.34
11,Nabil Fekir,7,1.8,34.1,85.2,1,1.2,0.1,7.31
12,Adrien Rabiot,1,0.4,74.8,93.1,0.0,3.4,0.2,7.31
13,Flavien Tait,7,2.1,36.4,78.8,1.4,1.4,0.2,7.3
14,Metehan Guclu,0.0,1.0,3.0,100.0,0.0,0.0,0.0,7.29
15,Andy Delort,7,1.6,29.3,63.9,0.8,1.4,0.1,7.27
16,Thiago Mendes,5,1.8,56.7,84.8,1.4,3.1,0.1,7.27
17,Wahbi Khazri,6,2.2,27.4,74.5,1.6,1.8,0.0,7.25
18,Marcelo,1,0.3,72.2,87.8,0.0,5.2,0.1,7.25
19,Antoine Bernede,0.0,0.5,85.0,93.5,0.0,1.5,0.0,7.24
20,Marquinhos,1,0.3,75.3,91.9,0.0,4.1,0.1,7.24
21,Allan Saint-Maximin,3,1.7,25.4,76.0,0.7,1.0,0.1,7.21
22,Florian Thauvin,8,1.4,33.5,76.9,1,1.3,0.2,7.19
23,Ronaël Pierre-Gabriel,0.0,0.3,39.0,86.5,0.0,2.5,0.0,7.19
24,Benjamin André,1,0.7,49.4,79.2,0.0,1.7,0.0,7.18
25,Gabriel Magalhães,0.0,0.2,46.0,85.9,0.0,2.2,0.1,7.14
26,Max-Alain Gradel,5,1.5,31.2,74.2,0.8,0.8,0.1,7.14
27,Lucas Ocampos,7,0.9,23.9,78.0,0.5,0.6,0.1,7.14
28,Ruben Aguilar,4,1.5,42.6,83.5,1.1,1.9,0.0,7.13
29,Rémy Cabella,4,1.7,58.1,86.5,0.5,1.8,0.1,7.13
30,Youssouf Kone,1,0.8,41.3,83.2,0.9,1.9,0.0,7.13
31,Bobby Allain,0.0,0.0,30.0,57.7,0.0,11.2,0.0,7.13
32,Mathieu Debuchy,3,0.9,34.8,73.1,0.8,1.3,0.0,7.12
33,Kenny Lala,9,1.8,48.1,80.5,1.4,5.1,0.1,7.11
34,Almamy Touré,0.0,0.5,57.5,85.7,0.3,3.0,0.0,7.1
35,Marçal,0.0,0.3,62.9,87.8,0.2,4.4,0.1,7.1
36,Valentin Rongier,5,2.4,53.2,82.7,1.1,3.3,0.0,7.1
37,Ferland Mendy,1,1.3,54.7,84.5,0.5,3.0,0.0,7.09
38,Hiroki Sakai,4,1,43.2,81.6,0.3,1.3,0.0,7.09
39,Serhou Guirassy,1,1,24.5,65.2,0.1,0.5,0.0,7.09
40,Vukasin Jovanovic,0.0,0.1,50.0,85.0,0.0,4.3,0.0,7.08
41,Erik Pieters,1,0.8,34.8,71.1,0.7,2.3,0.0,7.08
