,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,Neymar,0.8,0.3,0.7,0.0,0.1,1.0,0.0,0.0,15.0,7.0,3.2,2.5,4.4,3.4,0.4,4.2,4.1,7.0,2.5,57.8,81.1,1.0,2.5,0.9
1,Kylian Mbappé,0.3,0.2,0.7,0.0,0.1,0.2,0.0,0.0,33.0,7.0,4.3,1.6,2.2,1.5,1.0,1.5,2.1,7.0,1.6,26.9,79.4,0.2,0.6,0.1
2,Téji Savanier,3.0,2.0,1.6,0.0,1.5,2.3,0.5,0.0,6.0,14.0,2.1,2.7,2.5,3.0,0.0,1.3,2.0,14.0,2.7,50.4,71.4,2.3,6.6,0.1
3,Jessy Moulin,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,85.0,0.0,0.0,0.0
4,Nicolas Pépé,0.7,0.3,0.6,0.0,0.2,0.7,0.0,0.0,22.0,11.0,3.1,1.8,2.7,2.8,0.3,2.9,2.9,11.0,1.8,31.6,79.1,0.4,0.7,0.3
5,Ángel Di María,1.0,0.5,0.4,0.0,0.1,1.1,0.0,0.0,12.0,11.0,3.2,1.8,1.4,0.6,0.2,1.5,1.6,11.0,1.8,42.1,78.8,1.0,1.7,0.2
6,Youcef Atal,2.3,1.9,1.4,0.2,1.3,1.1,0.3,0.0,6.0,0.0,1.2,0.8,3.5,2.0,0.3,1.1,2.8,0.0,0.8,34.9,83.6,0.3,0.9,0.1
7,Yassine Benzia,0.5,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.5,0.5,1.5,0.0,0.0,0.0,1.0,2.5,49.5,81.8,1.0,4.0,0.5
8,Edinson Cavani,0.5,0.3,0.5,0.0,0.7,0.5,0.1,0.0,18.0,5.0,2.5,0.6,0.6,0.8,0.5,0.6,1.8,5.0,0.6,16.7,76.3,0.0,0.3,0.0
9,Hatem Ben Arfa,0.6,0.2,0.7,0.0,0.0,0.3,0.0,0.0,7.0,2.0,2.1,1.4,4.5,1.6,0.2,2.5,2.2,2.0,1.4,32.7,85.2,0.5,1.6,0.2
10,Memphis Depay,0.3,0.3,1.0,0.0,0.0,0.4,0.1,0.0,10.0,10.0,3.1,3.1,1.7,0.9,0.3,1.8,2.3,10.0,3.1,34.8,80.1,2.0,1.4,0.2
11,Nabil Fekir,1.8,0.2,1.5,0.0,0.1,0.9,0.0,0.0,9.0,7.0,3.1,1.8,1.6,2.2,0.6,1.5,1.8,7.0,1.8,34.1,85.2,1.0,1.2,0.1
12,Adrien Rabiot,2.5,0.7,1.6,0.0,1.3,0.2,0.1,1.0,2.0,1.0,0.5,0.4,1.1,0.6,0.0,0.6,1.0,1.0,0.4,74.8,93.1,0.0,3.4,0.2
13,Flavien Tait,1.6,0.8,0.9,0.0,0.3,1.0,0.1,0.0,5.0,7.0,2.4,2.1,2.3,1.9,0.1,1.9,2.8,7.0,2.1,36.4,78.8,1.4,1.4,0.2
14,Metehan Guclu,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,100.0,0.0,0.0,0.0
15,Andy Delort,0.9,0.1,2.6,0.0,0.2,0.8,0.2,0.0,14.0,7.0,3.3,1.6,1.5,1.5,0.7,1.8,3.5,7.0,1.6,29.3,63.9,0.8,1.4,0.1
16,Thiago Mendes,2.4,1.9,1.1,0.1,1.2,0.9,0.3,0.0,0.0,5.0,0.9,1.8,0.8,1.9,0.0,0.8,1.0,5.0,1.8,56.7,84.8,1.4,3.1,0.1
17,Wahbi Khazri,1.3,0.3,1.7,0.0,0.2,1.0,0.1,0.0,13.0,6.0,2.9,2.2,1.4,1.6,0.7,2.2,2.8,6.0,2.2,27.4,74.5,1.6,1.8,0.0
18,Marcelo,1.5,1.9,1.0,0.5,4.5,0.2,0.7,1.0,0.0,1.0,0.8,0.3,0.2,0.3,0.0,0.2,0.4,1.0,0.3,72.2,87.8,0.0,5.2,0.1
19,Antoine Bernede,6.5,1.5,1.0,0.0,0.5,2.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,2.0,1.0,0.0,0.5,85.0,93.5,0.0,1.5,0.0
20,Marquinhos,2.2,1.5,1.0,0.4,2.7,0.7,0.4,0.0,3.0,1.0,0.4,0.3,0.2,0.3,0.0,0.3,0.2,1.0,0.3,75.3,91.9,0.0,4.1,0.1
21,Allan Saint-Maximin,0.4,0.1,0.4,0.0,0.1,0.4,0.0,0.0,6.0,3.0,2.2,1.7,4.2,2.0,0.2,2.4,3.6,3.0,1.7,25.4,76.0,0.7,1.0,0.1
22,Florian Thauvin,1.3,0.2,0.9,0.0,0.1,0.6,0.0,0.0,16.0,8.0,3.1,1.4,1.8,1.5,0.2,1.8,2.8,8.0,1.4,33.5,76.9,1.0,1.3,0.2
23,Ronaël Pierre-Gabriel,3.3,0.8,1.0,0.5,3.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.8,1.5,0.0,0.5,0.5,0.0,0.3,39.0,86.5,0.0,2.5,0.0
24,Benjamin André,3.4,1.8,2.0,0.1,1.6,1.7,0.2,0.0,3.0,1.0,0.9,0.7,0.7,1.6,0.2,1.3,1.8,1.0,0.7,49.4,79.2,0.0,1.7,0.0
25,Gabriel Magalhães,1.3,1.4,1.0,0.5,3.9,0.2,0.4,0.0,1.0,0.0,0.7,0.2,0.0,0.9,0.0,0.1,0.3,0.0,0.2,46.0,85.9,0.0,2.2,0.1
26,Max-Alain Gradel,1.6,0.5,2.0,0.0,0.7,1.3,0.3,0.0,11.0,5.0,3.3,1.5,2.4,2.6,0.5,2.8,3.8,5.0,1.5,31.2,74.2,0.8,0.8,0.1
27,Lucas Ocampos,2.4,0.9,1.5,0.1,0.7,1.4,0.1,0.0,4.0,7.0,1.8,0.9,1.9,1.9,0.2,1.7,2.9,7.0,0.9,23.9,78.0,0.5,0.6,0.1
28,Ruben Aguilar,3.0,1.3,1.3,0.1,1.6,1.0,0.1,0.0,1.0,4.0,0.4,1.5,1.2,1.4,0.0,0.9,1.6,4.0,1.5,42.6,83.5,1.1,1.9,0.0
29,Rémy Cabella,2.6,0.6,1.0,0.0,0.1,1.7,0.0,0.0,8.0,4.0,2.4,1.7,1.6,2.0,0.1,2.1,1.9,4.0,1.7,58.1,86.5,0.5,1.8,0.1
30,Youssouf Kone,3.4,2.0,0.9,0.3,2.0,1.2,0.2,0.0,0.0,1.0,0.3,0.8,0.9,1.4,0.1,0.5,0.9,1.0,0.8,41.3,83.2,0.9,1.9,0.0
31,Bobby Allain,0.0,0.0,0.1,0.0,1.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,30.0,57.7,0.0,11.2,0.0
32,Mathieu Debuchy,1.8,2.0,1.5,0.2,2.4,0.6,0.3,0.0,4.0,3.0,0.6,0.9,0.4,0.8,0.3,0.5,1.3,3.0,0.9,34.8,73.1,0.8,1.3,0.0
33,Kenny Lala,2.3,0.8,1.0,0.2,1.5,0.7,0.3,0.0,5.0,9.0,0.7,1.8,1.1,1.1,0.0,1.4,2.0,9.0,1.8,48.1,80.5,1.4,5.1,0.1
34,Almamy Touré,3.3,2.8,1.3,0.3,2.5,1.8,0.3,0.0,0.0,0.0,0.5,0.5,0.8,0.5,0.0,1.0,1.3,0.0,0.5,57.5,85.7,0.3,3.0,0.0
35,Marçal,2.1,2.5,0.8,0.0,2.6,0.3,0.3,0.0,0.0,0.0,0.4,0.3,0.1,0.8,0.0,0.3,0.4,0.0,0.3,62.9,87.8,0.2,4.4,0.1
36,Valentin Rongier,2.4,0.9,1.2,0.0,0.4,1.1,0.2,0.0,4.0,5.0,2.0,2.4,1.0,0.8,0.1,1.1,1.8,5.0,2.4,53.2,82.7,1.1,3.3,0.0
37,Ferland Mendy,1.5,1.1,0.9,0.1,1.4,0.1,0.2,0.0,2.0,1.0,0.8,1.3,1.8,1.5,0.0,1.2,1.2,1.0,1.3,54.7,84.5,0.5,3.0,0.0
38,Hiroki Sakai,2.1,1.4,1.2,0.3,2.4,0.9,0.4,0.0,1.0,4.0,0.2,1.0,0.4,0.9,0.0,0.6,0.9,4.0,1.0,43.2,81.6,0.3,1.3,0.0
39,Serhou Guirassy,0.5,0.3,1.2,0.0,1.1,0.3,0.0,0.0,3.0,1.0,2.1,1.0,0.7,3.1,0.5,2.4,3.5,1.0,1.0,24.5,65.2,0.1,0.5,0.0
40,Vukasin Jovanovic,1.6,2.3,1.1,0.7,6.5,0.4,0.8,0.0,0.0,0.0,0.1,0.1,0.3,1.0,0.0,0.0,0.3,0.0,0.1,50.0,85.0,0.0,4.3,0.0
41,Erik Pieters,3.3,1.1,1.1,0.3,3.3,0.5,0.9,0.0,1.0,1.0,0.8,0.8,0.5,1.5,0.0,0.4,1.2,1.0,0.8,34.8,71.1,0.7,2.3,0.0
42,Christophe Hérelle,2.2,1.8,1.0,0.5,4.6,0.3,0.5,0.0,0.0,0.0,0.5,0.2,0.2,1.4,0.0,0.2,0.5,0.0,0.2,65.8,88.7,0.1,3.1,0.0
43,Marco Verratti,2.8,0.7,1.3,0.0,0.3,1.7,0.0,0.0,0.0,2.0,0.1,1.1,1.3,2.2,0.0,1.4,0.8,2.0,1.1,79.5,90.9,0.0,2.6,0.5
44,Thomas Meunier,2.0,0.8,1.0,0.0,1.0,0.6,0.1,1.0,3.0,3.0,0.9,0.9,0.4,0.2,0.2,0.5,0.6,3.0,0.9,37.5,84.5,0.5,1.2,0.0
45,Loïc Mbe Soh,0.0,1.5,0.5,1.0,2.5,1.5,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,63.5,91.3,0.0,0.5,0.0
