,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,Robert Lewandowski,0.4,0.2,0.8,0.0,0.5,0.2,0.0,0.0,22.0,7.0,4.4,1.4,1.5,1.4,0.9,1.5,2.8,7.0,1.4,22.1,77.5,0.0,0.6,0.2
1,Thiago,2.9,1.5,1.7,0.0,0.6,0.8,0.1,0.0,2.0,6.0,0.8,1.3,1.9,1.1,0.0,0.9,0.7,6.0,1.3,83.6,91.8,0.5,7.3,0.1
2,Kerem Demirbay,2.2,0.8,1.8,0.0,0.8,1.5,0.4,0.0,4.0,9.0,2.3,3.1,2.2,1.3,0.1,2.0,2.0,9.0,3.1,48.8,81.2,1.7,2.9,0.2
3,Marcel Halstenberg,2.4,1.4,0.9,0.5,1.9,0.8,0.1,0.0,3.0,6.0,0.8,2.0,1.0,0.8,0.1,0.9,1.0,6.0,2.0,40.9,74.3,1.6,1.4,0.0
4,Sébastien Haller,0.8,0.5,1.4,0.0,0.8,0.4,0.0,0.0,15.0,9.0,1.9,1.3,1.0,1.5,0.7,1.7,3.0,9.0,1.3,27.0,63.5,0.0,0.4,0.1
5,Jadon Sancho,0.6,0.4,0.1,0.0,0.1,0.6,0.0,0.0,12.0,14.0,1.2,1.9,3.3,1.1,0.1,1.7,2.7,14.0,1.9,38.3,84.9,0.8,0.6,0.1
6,Joshua Kimmich,1.4,1.0,0.8,0.1,1.0,0.9,0.3,0.0,2.0,13.0,0.7,2.4,1.1,1.5,0.1,0.7,1.2,13.0,2.4,74.1,90.5,2.2,4.2,0.1
7,Gregor Kobel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,61.5,0.0,15.0,0.0
8,Frederik Rönnow,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,59.6,0.0,10.5,0.0
9,Thorgan Hazard,1.5,0.8,0.8,0.0,0.2,0.9,0.1,0.0,10.0,10.0,2.3,2.2,2.2,1.8,0.5,1.5,2.2,10.0,2.2,34.8,76.9,1.4,1.6,0.2
10,Willi Orban,2.0,1.5,1.1,1.4,5.7,0.6,0.6,0.0,4.0,0.0,1.1,0.0,0.1,1.2,0.0,0.1,0.4,0.0,0.0,41.6,78.2,0.0,2.7,0.0
11,Lukasz Piszczek,2.9,2.0,0.8,0.2,3.0,0.8,0.2,0.0,1.0,6.0,0.6,1.1,0.4,0.5,0.0,0.3,0.7,6.0,1.1,56.2,83.3,0.6,1.3,0.2
12,Marco Reus,1.2,0.3,1.3,0.0,1.2,0.9,0.0,0.0,17.0,8.0,2.6,1.4,0.9,1.1,0.6,1.4,2.0,8.0,1.4,37.6,81.8,0.4,1.5,0.1
13,Ihlas Bebou,1.3,0.8,0.8,0.0,0.7,0.4,0.2,0.0,4.0,3.0,2.3,1.3,2.9,1.8,0.3,1.8,2.4,3.0,1.3,30.1,71.5,0.8,0.8,0.2
14,Kingsley Coman,0.5,0.2,0.8,0.0,0.1,0.6,0.0,0.0,6.0,4.0,1.5,1.3,2.9,2.0,0.1,1.6,2.3,4.0,1.3,29.4,85.0,0.7,0.5,0.0
15,Ignacio Camacho,2.5,3.0,2.3,0.0,2.0,0.7,0.3,0.0,0.0,0.0,1.2,0.3,0.2,1.8,0.2,0.2,0.8,0.0,0.3,50.0,78.3,0.0,5.8,0.3
16,Tyler Adams,2.9,1.6,1.3,0.1,0.7,1.5,0.1,0.0,0.0,2.0,0.2,0.5,1.4,1.1,0.0,0.6,1.8,2.0,0.5,52.4,80.3,0.0,1.8,0.4
17,George Timotheou,3.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,46.0,80.4,0.0,4.0,0.0
18,Ishak Belfodil,0.5,0.1,0.9,0.0,0.5,0.4,0.0,0.0,16.0,3.0,3.1,1.1,1.4,0.5,0.8,1.1,1.4,3.0,1.1,15.6,72.2,0.1,0.1,0.0
19,Kevin Volland,1.0,0.2,1.2,0.1,0.9,0.4,0.0,0.0,14.0,9.0,2.6,1.3,0.9,1.5,0.6,1.7,2.8,9.0,1.3,25.3,75.0,0.6,0.7,0.1
20,Daniel Caligiuri,3.0,1.6,1.0,0.1,2.0,1.9,0.3,0.0,7.0,3.0,1.6,1.9,2.1,1.2,0.0,1.4,1.5,3.0,1.9,37.2,68.5,1.5,2.7,0.0
21,Yussuf Poulsen,0.6,0.2,1.8,0.1,0.9,0.7,0.1,0.0,15.0,3.0,2.1,1.1,0.8,1.6,0.6,2.0,3.1,3.0,1.1,24.9,60.8,0.2,0.3,0.1
22,Marko Grujic,2.0,1.3,2.0,0.1,2.3,1.1,0.3,0.0,5.0,1.0,2.1,0.7,1.4,1.0,0.0,0.9,1.0,1.0,0.7,43.1,81.9,0.0,1.6,0.0
23,Filip Kostic,1.9,0.7,0.8,0.1,1.1,1.2,0.2,0.0,6.0,10.0,1.8,1.4,1.7,1.1,0.1,1.4,1.7,10.0,1.4,29.7,64.6,1.4,1.4,0.1
24,Julian Brandt,0.8,0.5,0.4,0.0,0.2,1.1,0.0,0.0,7.0,11.0,2.0,2.6,1.7,0.7,0.1,1.5,2.3,11.0,2.6,51.6,81.4,1.2,2.4,0.2
25,Kai Havertz,0.8,0.5,0.7,0.0,0.8,0.7,0.1,0.0,17.0,3.0,2.6,1.0,1.4,1.5,0.1,2.0,2.2,3.0,1.0,52.6,87.2,0.1,2.2,0.1
26,Vincenzo Grifo,1.6,0.1,0.5,0.0,0.6,0.8,0.1,0.0,6.0,3.0,2.6,2.2,1.9,1.1,0.6,1.6,1.9,3.0,2.2,43.3,79.2,1.1,2.9,0.1
27,Wout Weghorst,0.9,0.3,1.1,0.0,0.9,0.8,0.1,0.0,17.0,7.0,2.1,1.1,0.4,1.1,0.9,1.4,1.9,7.0,1.1,23.6,69.5,0.1,0.5,0.1
28,James Rodríguez,0.6,0.2,0.4,0.0,0.1,0.7,0.0,0.0,7.0,3.0,1.8,2.6,0.8,0.8,0.3,0.6,0.7,3.0,2.6,43.9,87.1,1.6,2.4,0.2
29,Max Kruse,0.5,0.3,0.7,0.0,0.2,1.0,0.0,0.0,11.0,9.0,2.8,2.6,1.2,1.0,0.2,1.4,2.4,9.0,2.6,49.9,79.1,1.7,3.4,0.1
30,Joelinton,1.3,0.5,2.0,0.0,0.3,0.7,0.1,0.0,7.0,5.0,2.0,1.5,1.7,1.0,0.1,2.2,2.9,5.0,1.5,24.7,79.3,0.2,0.3,0.1
31,Thomas Müller,1.3,0.3,0.7,0.0,0.4,0.9,0.2,0.0,6.0,9.0,2.0,1.9,0.7,0.8,0.5,0.5,1.5,9.0,1.9,37.5,74.7,0.2,1.2,0.1
32,Ibrahima Konaté,1.6,2.1,1.3,1.0,4.3,0.4,0.6,0.0,1.0,1.0,0.5,0.2,0.8,0.9,0.0,0.4,0.7,1.0,0.2,37.0,76.0,0.0,1.9,0.0
33,Mark Flekken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,78.6,0.0,7.0,0.0
34,Kevin Stöger,2.5,1.2,1.9,0.1,0.6,1.5,0.2,0.0,1.0,7.0,1.3,2.2,1.1,2.4,0.0,1.0,1.4,7.0,2.2,54.8,85.0,1.2,5.4,0.2
35,Timo Werner,0.6,0.1,0.8,0.0,0.1,0.4,0.1,0.0,16.0,7.0,3.6,1.2,1.0,1.2,1.2,1.2,2.9,7.0,1.2,25.5,74.2,0.2,0.4,0.1
36,Mats Hummels,1.2,1.6,0.4,0.2,2.3,0.7,0.4,0.0,1.0,1.0,0.9,0.6,0.5,0.4,0.0,0.1,0.4,1.0,0.6,82.6,89.4,0.0,4.5,0.1
37,Serge Gnabry,1.2,0.4,0.8,0.0,0.1,0.8,0.0,0.0,10.0,5.0,2.2,0.9,1.7,0.5,0.4,1.0,1.5,5.0,0.9,26.4,83.4,0.3,1.0,0.1
38,Kevin Kampl,1.5,1.2,1.1,0.0,0.7,0.7,0.1,0.0,2.0,5.0,1.3,1.8,0.9,0.3,0.3,0.9,1.1,5.0,1.8,52.9,84.4,0.7,2.4,0.1
39,Thomas Delaney,2.3,1.9,1.5,0.0,1.4,0.4,0.3,0.0,3.0,5.0,1.1,0.5,0.3,0.8,0.1,0.5,1.2,5.0,0.5,53.6,85.5,0.1,2.7,0.0
40,Louis Jordan Beyer,3.6,1.2,0.8,0.8,3.0,0.8,0.7,0.0,0.0,0.0,0.6,0.2,0.8,0.4,0.1,0.4,0.8,0.0,0.2,47.6,87.9,0.1,1.3,0.0
41,Maximilian Arnold,1.6,1.1,1.4,0.0,1.3,1.2,0.3,0.0,2.0,6.0,1.6,1.4,0.8,2.5,0.1,0.9,1.1,6.0,1.4,39.6,80.8,1.0,4.7,0.1
42,Axel Witsel,1.4,1.4,0.8,0.0,1.4,0.3,0.2,0.0,4.0,1.0,1.1,0.5,0.8,1.5,0.0,0.8,0.6,1.0,0.5,72.8,93.1,0.0,2.4,0.1
43,Achraf Hakimi,1.6,1.4,0.7,0.3,1.8,0.9,0.2,0.0,2.0,4.0,1.0,0.5,1.8,1.7,0.0,1.3,1.4,4.0,0.5,63.4,86.1,0.4,2.1,0.1
44,Nils Petersen,1.2,0.5,1.0,0.0,1.4,0.8,0.1,0.0,10.0,3.0,2.0,0.9,0.3,0.8,0.1,1.2,2.0,3.0,0.9,21.3,68.2,0.0,0.7,0.0
45,Sebastian Rode,2.6,1.6,1.3,0.1,1.1,1.6,0.0,0.0,0.0,0.0,0.3,1.5,0.9,0.8,0.0,0.4,1.3,0.0,1.5,43.1,83.4,1.0,2.3,0.1
46,Benjamin Hübner,2.9,2.1,0.8,1.0,3.5,0.4,0.7,0.0,0.0,0.0,0.9,0.0,0.1,1.0,0.0,0.1,0.4,0.0,0.0,50.0,82.6,0.0,2.9,0.0
47,Jordan Torunarigha,2.4,2.1,1.9,0.3,3.9,0.7,0.5,0.0,2.0,2.0,0.5,0.4,0.1,0.4,0.0,0.4,0.7,2.0,0.4,33.9,79.4,0.1,3.1,0.0
48,William,2.6,2.7,1.2,0.2,3.5,1.3,0.1,0.0,2.0,1.0,0.8,1.3,0.9,0.6,0.0,0.6,0.9,1.0,1.3,43.8,74.4,0.9,4.0,0.0
49,Andrej Kramaric,0.3,0.3,0.2,0.0,0.4,0.7,0.1,0.0,17.0,4.0,3.7,1.6,0.9,0.6,0.3,1.7,1.5,4.0,1.6,31.9,80.9,0.8,1.2,0.1
50,Florian Grillitsch,2.6,2.4,1.4,0.1,1.7,1.5,0.3,0.0,0.0,3.0,1.1,0.9,0.8,1.6,0.0,0.4,0.9,3.0,0.9,51.6,83.5,0.2,3.5,0.1
51,Salif Sané,1.8,2.3,0.9,0.4,4.8,0.6,1.0,0.0,2.0,0.0,0.6,0.2,0.5,1.1,0.0,0.2,0.4,0.0,0.2,51.1,83.2,0.1,3.1,0.0
52,Theodor Gebre Selassie,1.7,2.2,1.0,0.6,2.8,0.9,0.3,0.0,3.0,2.0,0.9,0.7,0.4,1.0,0.1,0.7,1.0,2.0,0.7,41.9,79.8,0.3,0.9,0.0
53,Almamy Touré,2.6,1.3,0.7,0.9,3.4,0.4,0.1,0.0,0.0,0.0,0.3,0.1,1.6,0.1,0.0,0.0,0.3,0.0,0.1,34.7,73.3,0.3,1.3,0.1
54,Jérôme Roussillon,1.5,1.1,0.7,0.0,1.5,0.4,0.3,0.0,3.0,4.0,0.7,1.1,1.8,1.4,0.0,1.3,1.6,4.0,1.1,36.6,77.3,1.1,1.9,0.0
55,Emil Forsberg,0.6,0.2,0.4,0.0,0.3,0.6,0.1,0.0,4.0,7.0,1.5,2.0,1.1,1.2,0.2,1.1,1.5,7.0,2.0,23.9,81.6,0.7,0.8,0.2
56,Raphael Guerreiro,1.1,0.8,0.4,0.0,0.4,0.5,0.0,0.0,2.0,6.0,1.5,1.7,1.3,0.9,0.1,1.0,1.9,6.0,1.7,46.1,85.5,0.7,0.9,0.1
57,Ondrej Duda,1.7,0.5,2.4,0.0,0.4,1.3,0.1,0.0,11.0,5.0,1.7,1.3,1.2,1.4,0.2,1.3,2.3,5.0,1.3,37.6,76.9,0.5,1.4,0.1
58,Marc Oliver Kempf,1.4,2.0,1.0,0.6,5.7,0.5,0.9,0.0,2.0,0.0,0.6,0.3,0.1,1.3,0.0,0.2,0.5,0.0,0.3,44.0,81.2,0.1,3.2,0.0
59,David Alaba,1.1,1.0,0.4,0.3,1.0,0.3,0.1,0.0,3.0,3.0,1.5,0.9,0.9,0.4,0.2,0.6,0.8,3.0,0.9,56.9,85.5,0.7,1.7,0.0
60,Samuel Sahin-Radlinger,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,69.6,0.0,9.0,0.0
61,Lukas Klostermann,1.9,1.1,0.7,0.5,2.4,0.6,0.2,0.0,5.0,1.0,0.5,0.8,0.3,0.4,0.0,0.3,0.4,1.0,0.8,30.6,74.0,0.3,1.5,0.0
62,Charles Aránguiz,2.0,1.0,1.1,0.0,1.0,1.9,0.1,0.0,2.0,7.0,1.0,1.3,0.4,1.3,0.0,1.1,1.2,7.0,1.3,67.8,88.6,0.5,3.3,0.0
63,Mario Götze,1.0,0.3,0.8,0.0,0.2,0.8,0.0,0.0,7.0,7.0,1.1,1.6,1.0,1.0,0.5,1.6,1.7,7.0,1.6,33.3,81.5,0.3,0.7,0.2
64,Luka Jovic,0.3,0.1,0.9,0.0,0.9,0.3,0.0,0.0,17.0,5.0,3.0,0.8,0.8,1.3,0.5,1.4,2.3,5.0,0.8,18.7,70.4,0.1,0.9,0.1
65,Nadiem Amiri,1.1,0.5,1.1,0.0,0.3,0.8,0.0,0.0,3.0,1.0,1.4,1.2,1.5,1.1,0.0,1.0,0.8,1.0,1.2,27.5,87.4,0.2,1.2,0.2
66,Bastian Oczipka,2.0,1.1,0.8,0.0,1.0,0.2,0.2,0.0,1.0,5.0,0.6,2.1,1.1,1.1,0.0,1.0,1.0,5.0,2.1,36.8,77.1,2.4,1.0,0.0
67,Valentino Lazaro,1.5,1.4,0.7,0.2,1.7,1.0,0.4,0.0,3.0,6.0,0.6,1.8,1.1,0.9,0.2,0.8,1.4,6.0,1.8,38.9,76.3,1.5,1.6,0.0
68,Nordi Mukiele,2.0,1.3,1.0,0.4,1.8,0.2,0.2,0.0,1.0,1.0,0.4,0.6,0.9,1.1,0.0,0.7,1.1,1.0,0.6,30.5,72.8,0.4,1.5,0.1
69,Lukas Kübler,2.2,1.9,1.0,0.1,2.8,0.6,0.3,0.0,0.0,2.0,0.4,0.4,0.4,1.3,0.0,0.3,0.8,2.0,0.4,26.1,69.8,0.4,1.9,0.0
70,Milot Rashica,0.9,0.2,1.3,0.0,0.2,0.6,0.1,0.0,9.0,5.0,2.3,1.2,1.3,1.3,0.3,1.3,1.8,5.0,1.2,14.7,69.1,1.0,0.3,0.0
71,Michael Esser,0.1,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.1,34.2,67.9,0.0,10.3,0.0
72,Maximilian Eggestein,2.0,0.9,1.1,0.1,1.9,0.9,0.3,0.0,5.0,4.0,1.3,1.4,0.4,1.2,0.0,1.1,1.3,4.0,1.4,45.8,80.5,0.2,1.4,0.1
73,Aarón Martín,1.7,1.2,0.9,0.1,1.8,0.5,0.3,0.0,0.0,3.0,0.5,1.9,1.4,0.8,0.2,0.7,0.7,3.0,1.9,36.2,81.9,1.6,1.8,0.0
74,Josuha Guilavogui,1.6,2.3,1.3,0.1,2.9,0.6,0.4,0.0,2.0,1.0,0.4,0.4,0.4,0.4,0.0,0.4,0.5,1.0,0.4,42.1,81.6,0.1,2.7,0.1
75,Lucas Torró,1.8,1.8,1.4,0.0,1.5,0.8,0.1,0.0,0.0,0.0,0.6,0.3,0.3,0.9,0.0,0.6,0.6,0.0,0.3,32.6,72.0,0.0,1.5,0.0
76,Leon Goretzka,1.4,0.9,0.9,0.0,0.5,0.8,0.1,1.0,8.0,4.0,1.8,0.6,0.5,0.7,0.0,0.6,0.8,4.0,0.6,38.4,87.5,0.0,1.2,0.0
77,Niklas Süle,0.9,1.3,0.5,0.4,2.6,0.2,0.4,0.0,2.0,0.0,0.6,0.2,0.1,0.2,0.0,0.2,0.2,0.0,0.2,82.6,92.9,0.0,5.3,0.0
78,Julian Baumgartlinger,2.5,1.2,0.9,0.0,1.0,1.2,0.3,0.0,0.0,1.0,0.5,0.5,0.7,0.9,0.0,0.7,0.7,1.0,0.5,65.3,89.6,0.0,3.5,0.0
79,Maximilian Mittelstädt,2.4,1.8,0.6,0.0,2.1,1.0,0.2,0.0,1.0,1.0,0.9,0.8,1.0,0.9,0.0,1.0,1.3,1.0,0.8,29.6,73.2,0.6,2.3,0.0
80,Admir Mehmedi,1.8,0.5,1.1,0.0,0.2,1.0,0.0,0.0,6.0,5.0,1.4,1.4,0.5,1.5,0.7,1.1,1.7,5.0,1.4,26.0,76.4,0.8,1.0,0.1
81,Lars Bender,2.2,1.1,1.4,0.0,1.2,0.9,0.2,0.0,1.0,4.0,0.8,0.7,0.5,1.4,0.1,0.2,1.0,4.0,0.7,41.3,82.9,0.1,1.1,0.0
82,Jonathan Tah,1.3,1.4,0.5,1.0,4.1,0.5,0.8,0.0,3.0,1.0,0.4,0.2,0.5,0.4,0.1,0.4,0.5,1.0,0.2,75.5,89.8,0.1,3.8,0.0
83,Ozan Kabak,2.2,1.5,1.4,0.9,3.5,0.7,0.5,0.0,3.0,0.0,0.7,0.1,0.9,0.9,0.0,0.3,0.7,0.0,0.1,37.2,77.2,0.0,2.4,0.0
84,Marcel Sabitzer,1.5,1.1,0.9,0.0,1.0,0.9,0.1,1.0,4.0,3.0,2.1,1.2,0.5,1.0,0.2,1.5,1.5,3.0,1.2,36.9,70.4,0.4,1.3,0.0
85,Lars Stindl,1.0,0.6,0.9,0.0,0.6,0.6,0.1,0.0,3.0,1.0,1.6,1.0,0.8,1.4,0.3,0.7,1.9,1.0,1.0,35.6,82.7,0.1,1.5,0.2
86,Jean-Philippe Mateta,0.4,0.1,0.9,0.0,0.6,0.3,0.1,0.0,14.0,2.0,2.9,0.9,1.0,0.9,1.1,1.8,2.9,2.0,0.9,13.2,71.2,0.1,0.3,0.0
87,Péter Gulácsi,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,27.2,58.9,0.0,7.9,0.0
88,Jonathan Schmid,1.6,1.5,0.8,0.1,2.1,0.4,0.3,1.0,3.0,7.0,0.6,1.6,0.6,0.8,0.1,0.7,0.6,7.0,1.6,35.8,81.1,1.4,1.6,0.0
89,Paco Alcácer,0.1,0.2,0.2,0.0,0.3,0.2,0.0,0.0,18.0,0.0,2.0,0.6,0.2,0.3,0.3,0.5,0.7,0.0,0.6,10.8,75.2,0.0,0.1,0.1
90,Dan-Axel Zagadou,0.8,1.5,0.8,0.6,4.1,0.1,0.6,0.0,2.0,0.0,0.6,0.1,0.8,0.2,0.0,0.2,0.4,0.0,0.1,61.3,87.8,0.0,3.2,0.0
91,Diego Demme,2.9,1.0,1.4,0.0,0.5,1.3,0.1,0.0,0.0,2.0,0.4,1.0,0.3,2.0,0.0,0.7,1.3,2.0,1.0,56.4,81.5,0.4,3.0,0.1
92,Pavel Kaderábek,1.0,1.2,1.2,0.1,2.1,0.4,0.3,0.0,3.0,4.0,1.0,1.5,0.3,0.6,0.0,0.4,1.0,4.0,1.5,37.9,76.3,1.1,1.4,0.0
93,Niklas Stark,1.5,1.7,0.9,0.4,6.0,0.7,1.2,1.0,1.0,0.0,0.5,0.1,0.0,1.0,0.0,0.1,0.1,0.0,0.1,46.5,83.9,0.0,2.5,0.0
94,Martin Hinteregger,2.4,0.9,0.7,0.6,3.5,1.1,0.5,1.0,1.0,0.0,0.8,0.2,0.4,0.7,0.0,0.4,0.3,0.0,0.2,41.2,73.1,0.1,2.7,0.0
95,Alexander Hack,2.1,2.9,0.9,0.5,4.1,0.6,1.1,0.0,1.0,1.0,0.9,0.1,0.6,0.6,0.0,0.0,0.1,1.0,0.1,39.5,75.6,0.0,3.7,0.0
96,Nuri Sahin,3.0,1.9,1.4,0.2,2.0,1.8,0.2,0.0,1.0,1.0,0.6,0.8,0.5,0.5,0.0,0.7,0.5,1.0,0.8,54.2,86.3,0.3,2.0,0.0
97,Nico Elvedi,1.4,1.6,0.6,0.8,4.3,0.3,0.4,0.0,2.0,1.0,0.5,0.1,0.3,0.5,0.0,0.1,0.3,1.0,0.1,68.9,92.7,0.0,3.0,0.0
98,Marcel Tisserand,1.4,2.0,1.2,0.2,4.0,0.3,0.5,0.0,1.0,0.0,1.0,0.2,0.4,0.6,0.0,0.7,0.6,0.0,0.2,56.8,78.5,0.2,6.1,0.0
99,Wendell,2.7,1.0,1.3,0.3,2.0,0.8,0.5,0.0,2.0,2.0,0.4,0.6,0.3,0.5,0.0,0.2,1.0,2.0,0.6,58.9,85.7,0.3,2.4,0.0
100,Jean-Paul Boëtius,1.7,1.2,1.7,0.0,0.3,0.9,0.1,0.0,4.0,7.0,1.5,1.0,1.1,1.6,0.1,1.3,1.9,7.0,1.0,27.9,77.1,0.1,1.6,0.2
101,Leon Bailey,0.5,0.5,0.6,0.0,0.3,0.5,0.0,0.0,5.0,1.0,1.9,1.6,1.8,1.2,0.2,1.5,2.2,1.0,1.6,26.2,74.4,1.3,0.8,0.0
102,Nico Schulz,1.1,0.8,1.0,0.0,1.0,0.7,0.1,0.0,1.0,5.0,1.0,2.0,1.7,0.7,0.3,0.7,1.6,5.0,2.0,39.5,78.0,1.1,1.6,0.0
103,Karim Bellarabi,0.7,0.5,0.8,0.0,0.3,0.8,0.0,0.0,5.0,4.0,2.2,1.4,1.1,0.7,0.2,1.5,1.1,4.0,1.4,22.1,74.8,0.6,0.6,0.1
104,Markus Suttner,1.7,1.3,1.0,0.5,1.5,0.7,0.5,0.0,1.0,1.0,0.7,1.5,0.0,0.2,0.0,0.7,0.5,1.0,1.5,33.0,77.3,1.5,3.8,0.0
105,Ante Rebic,0.8,0.3,1.7,0.0,0.1,0.3,0.0,0.0,9.0,4.0,2.2,1.2,1.7,0.8,0.6,2.7,2.7,4.0,1.2,17.7,56.9,0.3,0.1,0.1
106,Janik Haberer,2.6,1.3,1.7,0.0,1.8,1.7,0.1,0.0,1.0,3.0,1.0,1.7,0.9,1.7,0.1,1.5,1.6,3.0,1.7,38.7,79.2,0.2,2.3,0.0
107,Davy Klaassen,1.9,1.4,1.4,0.1,1.2,1.1,0.3,0.0,5.0,4.0,1.0,1.2,0.5,0.7,0.0,0.5,1.3,4.0,1.2,36.0,74.5,0.3,1.4,0.0
108,Rani Khedira,1.9,2.7,1.5,0.2,3.1,0.6,0.7,0.0,4.0,1.0,0.5,0.3,0.1,0.8,0.0,0.3,0.7,1.0,0.3,41.8,81.9,0.1,2.4,0.0
109,Abdou Diallo,1.3,0.9,0.8,0.5,3.1,0.1,0.5,0.0,1.0,1.0,0.4,0.4,1.4,0.4,0.0,0.6,1.0,1.0,0.4,64.9,89.0,0.3,4.6,0.0
110,Javi Martínez,1.2,1.5,0.6,0.3,0.6,0.5,0.2,0.0,3.0,0.0,0.9,0.3,0.2,0.6,0.0,0.1,0.9,0.0,0.3,43.0,87.8,0.0,1.9,0.0
111,Yann Sommer,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,41.5,77.4,0.0,7.3,0.0
112,Tony Jantschke,1.1,1.9,0.4,0.5,3.4,0.1,0.5,0.0,0.0,1.0,0.3,0.1,0.1,0.9,0.0,0.1,0.2,1.0,0.1,57.4,90.0,0.0,3.0,0.0
113,André Hahn,2.3,1.0,2.4,0.0,1.0,1.1,0.1,0.0,4.0,4.0,1.3,1.1,0.6,0.7,0.8,1.0,1.6,4.0,1.1,16.3,57.8,0.7,0.7,0.0
114,Edgar Prib,2.5,0.5,1.8,0.0,0.3,0.5,0.0,0.0,0.0,1.0,1.5,1.5,1.0,0.8,0.0,0.3,0.8,1.0,1.5,21.3,80.0,0.8,0.5,0.0
