,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Cristiano Ronaldo,8,1.5,33.3,85.1,0.5,1.0,0.0,7.68
1,Papu Gómez,11,3.2,46.0,84.4,2.9,2.2,0.2,7.64
2,Josip Ilicic,7,2.1,39.2,80.2,0.5,2.3,0.1,7.39
3,Suso,10,2.8,43.1,82.5,1.5,3.1,0.1,7.39
4,Rodrigo de Paul,8,2.7,44.1,76.4,1.6,4.9,0.3,7.37
5,Pierluigi Frattali ,0.0,0.0,34.0,64.7,0.0,5.0,0.0,7.35
6,Mario Mandzukic,6,1.2,23.4,71.1,0.2,0.4,0.0,7.34
7,Duván Zapata,7,1.8,18.8,79.0,0.1,0.5,0.1,7.32
8,Leonardo Pavoletti,1,0.8,26.3,69.0,0.0,0.4,0.0,7.32
9,Stephan El Shaarawy,3,1.3,29.1,81.7,0.4,1.4,0.1,7.26
10,Fabián Ruiz,4,2.3,66.6,89.8,0.3,3.2,0.0,7.25
11,Edin Dzeko,6,1.4,21.4,70.9,0.2,1.4,0.1,7.24
12,Armando Izzo,1,0.3,49.5,77.8,0.1,4.3,0.0,7.24
13,Andrea Belotti,3,0.9,19.8,64.8,0.1,0.6,0.1,7.23
14,Dries Mertens,11,2.0,24.2,79.0,0.5,0.7,0.1,7.2
15,João Cancelo,3,1.4,50.3,86.2,1,2.4,0.0,7.2
16,Krzysztof Piatek,0.0,0.8,15.7,73.2,0.0,0.7,0.1,7.2
17,Cristian Ansaldi,2,1.5,24.2,73.3,1.7,2.3,0.0,7.19
18,Giacomo Bonaventura,1,1.3,45.4,88.7,0.3,1.9,0.0,7.16
19,Lorenzo Insigne,6,2.3,43.9,86.0,0.4,2.8,0.2,7.16
20,Domenico Criscito,4,1.4,41.4,75.7,0.9,3.5,0.1,7.15
21,Alex Sandro,2,1.2,51.0,84.6,0.6,2.5,0.0,7.15
22,Tiemoué Bakayoko,1,0.8,42.9,86.6,0.0,1.3,0.0,7.15
23,Sergej Milinkovic-Savic,3,1.5,45.2,79.6,0.1,2.6,0.2,7.15
24,Allan,3,1,66.2,89.6,0.1,3.2,0.1,7.13
25,Medhi Benatia,0.0,0.0,63.4,90.5,0.0,4.8,0.0,7.13
26,Arkadiusz Milik,3,1.1,16.8,82.7,0.1,0.5,0.0,7.13
27,Aleksandar Kolarov,2,1.8,48.7,80.6,1.8,2.7,0.0,7.12
28,Adrian Semper,0.0,0.0,28.2,53.3,0.0,8.0,0.0,7.12
29,Hakan Calhanoglu,6,2.3,47.5,85.2,0.8,3.6,0.1,7.12
30,Robin Gosens,2,0.6,34.9,78.9,0.6,1,0.0,7.11
31,Erick Pulgar,2,2.1,51.4,83.9,1.2,3.6,0.0,7.11
32,Fabio Quagliarella,8,1,23.1,69.1,0.2,0.6,0.0,7.11
33,Merih Demiral,0.0,0.1,50.4,87.0,0.0,1.7,0.0,7.11
34,Lucas Leiva,2,1.1,51.0,87.9,0.4,2.6,0.1,7.11
35,Kevin Malcuit,2,0.9,41.2,85.9,1,1.4,0.0,7.11
