,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,Cristiano Ronaldo,0.3,0.2,0.6,0.0,1.0,0.3,0.1,0.0,21.0,8.0,5.7,1.5,1.5,1.6,0.9,1.3,1.7,8.0,1.5,33.3,85.1,0.5,1.0,0.0
1,Papu Gómez,0.5,0.5,0.7,0.0,0.1,0.7,0.0,0.0,7.0,11.0,3.0,3.2,2.2,2.7,0.1,2.2,1.9,11.0,3.2,46.0,84.4,2.9,2.2,0.2
2,Josip Ilicic,0.5,0.2,0.6,0.0,0.0,0.5,0.0,0.0,12.0,7.0,3.3,2.1,2.5,2.5,0.2,2.5,2.4,7.0,2.1,39.2,80.2,0.5,2.3,0.1
3,Suso,0.8,0.5,0.9,0.0,0.0,0.9,0.0,0.0,7.0,10.0,2.7,2.8,1.9,2.3,0.2,1.8,1.8,10.0,2.8,43.1,82.5,1.5,3.1,0.1
4,Rodrigo de Paul,1.5,0.9,0.8,0.0,0.3,0.8,0.1,0.0,9.0,8.0,2.4,2.7,2.3,2.6,0.0,1.8,2.4,8.0,2.7,44.1,76.4,1.6,4.9,0.3
5,Pierluigi Frattali ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,64.7,0.0,5.0,0.0
6,Mario Mandzukic,1.4,0.5,1.4,0.0,0.7,0.4,0.2,0.0,9.0,6.0,1.2,1.2,0.2,1.4,0.3,0.8,1.1,6.0,1.2,23.4,71.1,0.2,0.4,0.0
7,Duván Zapata,0.2,0.1,1.6,0.0,0.6,0.2,0.2,0.0,23.0,7.0,3.2,1.8,1.1,2.2,0.8,2.5,4.1,7.0,1.8,18.8,79.0,0.1,0.5,0.1
8,Leonardo Pavoletti,1.0,0.2,2.5,0.1,0.8,0.3,0.1,0.0,16.0,1.0,2.6,0.8,0.3,1.1,0.7,1.0,2.3,1.0,0.8,26.3,69.0,0.0,0.4,0.0
9,Stephan El Shaarawy,1.0,0.7,0.5,0.0,0.2,0.5,0.1,0.0,11.0,3.0,2.5,1.3,1.6,1.3,0.4,0.8,1.9,3.0,1.3,29.1,81.7,0.4,1.4,0.1
