,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Lionel Messi,0.4,0.1,0.6,,,0.5,,,8.48
1,Álex Sola,4,1.0,1,,2,1.0,,,8.03
2,Luis Suárez,0.5,0.2,0.9,,0.7,0.2,0.1,,7.57
3,Iago Aspas,0.6,0.6,0.6,,0.2,0.6,,,7.51
4,Daniel Parejo,2,1.3,0.8,,0.6,1.6,0.2,,7.4
5,Karim Benzema,0.7,0.2,0.6,,0.7,0.4,,,7.38
6,Carlos Isaac,,1.0,,,,2.0,,,7.35
7,Antoine Griezmann,0.8,0.3,0.5,,0.6,0.5,,,7.29
8,Ousmane Dembélé,0.8,0.2,0.8,,0.1,0.4,,,7.25
9,Rodri,3,1.2,1.7,,2,1.1,0.3,,7.24
10,Wissam Ben Yedder,0.5,0.3,0.7,,0.1,0.3,,,7.23
11,Gorka Iraizoz,0.1,0.1,,,1.4,,,,7.21
12,Guillermo Maripán,2,1.7,0.7,0.9,5.7,0.5,0.8,,7.2
13,Gerard Piqué,1.2,1,0.7,0.4,4.2,0.4,0.8,,7.18
14,Jaume Doménech,,,,,0.5,0.3,,,7.18
15,Saúl Ñíguez,2.5,1.3,1.7,0.1,2.2,1.5,0.3,1,7.17
16,Raúl García,1.8,0.6,3,,1.1,1.4,,,7.17
17,Pablo Sarabia,0.9,0.7,1.4,0.1,0.5,1.2,0.1,,7.16
18,Casemiro,3,1.4,1.6,0.2,1.8,1.9,0.4,,7.15
19,Joan Jordán,1.8,0.9,1.6,,0.5,1.4,0.1,,7.14
20,José Giménez,1.2,2.1,0.4,0.2,6,0.6,0.7,,7.13
21,José Campaña,1.8,1.3,1.2,0.1,1.2,1.6,0.2,,7.1
22,Álvaro Morata,1.3,0.3,1.9,,0.9,0.5,,,7.1
23,Javi Galán,3.8,1.2,0.9,0.3,2.3,1.6,0.1,,7.1
24,Santi Cazorla,2.0,0.8,0.6,,0.4,1.3,0.2,,7.09
25,Toni Kroos,1.8,0.5,0.8,,0.4,1.5,0.1,,7.09
26,Sergio Camello,1.0,,,,,,,,7.09
27,Koke,2.8,1,1.1,,1.1,1.7,0.2,,7.09
28,Jonathan Calleri,0.6,0.2,2.1,,1.6,0.7,0.2,,7.08
29,Éver Banega,2.2,0.9,1.8,,0.8,1.6,0.2,,7.08
30,Ivan Rakitic,0.9,1.5,0.8,0.1,0.8,0.7,0.2,,7.06
31,Ander Guevara,3.0,1.0,2.0,,,4.0,,,7.06
32,Rubén Rochina,1.9,0.8,1.8,,0.6,2.1,,,7.06
33,Giovani Lo Celso,1.6,0.5,1.1,,0.3,0.8,,,7.06
34,Cote,1.9,1.2,0.6,0.5,2.8,0.7,0.1,,7.06
35,Enric Gallego,1.1,0.4,2.4,0.1,1.6,0.8,0.1,,7.05
36,Emiliano Velázquez,2.7,2.6,1.7,0.6,5.7,0.8,0.4,,7.05
37,Zouhair Feddal,1.8,1.5,1.4,0.6,4.3,0.6,0.4,,7.04
38,Rubén Peña,2.0,1.1,0.8,0.5,1.3,0.9,0.3,,7.04
39,Vicente Iborra,1.6,1.2,1.5,,2.2,1.2,0.4,,7.04
40,Daniel Carvajal,1.7,1.1,1.3,,1.1,1,0.3,,7.04
41,Adnan Januzaj,0.6,0.3,0.8,0.1,0.2,0.5,,,7.04
42,Luka Modric,1.4,0.9,0.8,,0.2,1,0.1,,7.03
43,Cristhian Stuani,0.7,0.1,2.8,,1.1,0.5,,,7.03
44,Koke Vegas,,,,,,,,,7.03
45,Sofiane Boufal,1,0.3,1.2,,0.2,0.9,,,7.03
46,Roberto Rosales,2.3,1,1.6,0.1,2.9,1.1,0.3,,7.02
47,Lucas Hernández,2.5,1,0.9,0.1,3.4,0.2,0.6,,7.02
48,Jordi Alba,1.2,1.7,0.7,0.4,1.6,0.8,0.2,,7.01
49,Leandro Cabrera,1.5,1.6,1.1,0.9,6.7,0.5,0.5,1,7.01
50,Sergio Reguilón,1.8,1.4,1.7,0.2,2.5,0.8,0.2,,7.0
51,Sergio Canales,1.4,0.3,0.9,,0.2,1.3,0.1,,7.0
52,Sergio Busquets,2.6,1.5,1.1,,0.6,1.4,0.2,,7.0
53,Iñaki Williams,0.7,0.2,1.1,,0.8,0.4,,,7.0
54,Brais Méndez,2,0.8,1.2,,0.6,1.3,0.1,,6.99
55,Francis Coquelin,1.8,1.9,0.8,,1.1,0.7,0.2,,6.99
56,Diego Godín,1.7,1.5,1.1,0.2,4.5,0.7,0.3,1,6.98
57,José Gayà,2.4,1.2,1,0.4,2.7,1,0.2,,6.98
58,Borja Garcés,,,,,,,,,6.98
59,Yeray Álvarez,1.8,2.1,1,0.8,4.8,0.5,0.5,,6.98
60,Marc Bartra,2.6,1.8,0.9,1.1,3.9,1.1,0.6,,6.97
61,Jorge Molina,0.3,0.2,1.2,,0.7,0.3,,,6.97
62,Fabián Orellana,1.3,0.6,0.7,,0.1,1.0,,,6.97
63,Jean-Clair Todibo,3.5,1.5,2.0,0.5,3.5,0.5,,,6.97
64,Filipe Luís,2.4,1.6,1.0,,1.4,1.0,0.1,,6.96
65,Unai Núñez,1.3,2.3,1.3,0.6,4.8,0.3,1,,6.96
66,Maximiliano Gómez,0.2,0.1,2.0,,1.2,0.3,,,6.95
67,Geoffrey Kondogbia,2.5,1.4,1.1,,1.2,0.8,0.4,,6.95
68,Mario Hermoso,1.2,1.2,0.7,0.7,5.2,0.6,0.8,,6.95
69,Raúl de Tomás,0.2,0.3,1.8,,1.3,0.4,0.1,,6.94
70,Rúben Vezo,1.7,1.3,1.0,0.4,5.7,0.5,1.3,,6.94
71,Dimitrios Siovas,1.7,1.9,0.9,0.3,4.4,0.6,0.4,,6.94
72,André Silva,0.3,0.1,1.6,,1.2,0.4,,,6.93
73,Thomas Partey,2.1,1.5,1.0,,0.6,0.9,0.2,,6.93
74,Aritz Elustondo,1.7,1.4,0.8,0.5,5.1,0.6,0.3,,6.93
75,Jesús Navas,0.9,0.9,0.4,0.2,1.6,0.3,0.2,,6.93
76,Martín Mantovani,1.7,2.4,1.3,0.7,5.2,0.6,0.3,1,6.93
77,Gabriel Paulista,1.0,2.3,0.8,0.6,5.2,0.5,0.7,,6.93
78,Junior Firpo,1.6,1.0,1.3,0.1,1.5,0.6,0.1,,6.93
79,Borja Iglesias,0.6,0.2,1.5,,1.1,0.5,0.2,,6.93
80,Philippe Coutinho,0.5,0.4,0.6,,0.1,0.4,0.1,,6.93
81,Rodrigo,0.6,0.1,0.7,,0.5,0.4,,,6.93
82,Ezequiel Garay,0.8,0.7,0.8,0.4,5.7,0.4,1,,6.92
83,Sergio Ramos,1.5,1.3,1.0,1,3.0,0.6,0.5,,6.91
84,Youssef En-Nesyri,0.5,0.2,1.2,,0.7,0.6,0.1,1,6.91
85,Guido Carrillo,0.8,0.3,1.3,,0.8,0.4,,,6.91
86,Toni Moya,2.0,,1.0,,3.0,1.0,,,6.91
87,Sergi Roberto,1.0,1.5,0.6,0.1,0.9,0.3,0.1,,6.91
88,Santiago Arias,1.9,1.4,0.8,,1.4,0.4,0.1,,6.91
89,Marc Roca,2.1,1,1.7,0.1,1.7,1.2,0.6,,6.9
90,Jan Oblak,,,,,0.6,,,,6.9
91,Jeison Murillo,2,2,1,2,6,1,,,6.9
92,Jorge Miramón,2.4,1.5,0.9,0.4,1.8,0.6,0.4,,6.9
93,Naldo,1.1,1.6,0.8,0.8,6.9,0.3,0.8,,6.9
94,Óscar Rodríguez,1.5,0.5,1,,0.4,1.4,0.1,,6.9
95,Gonçalo Guedes,1.2,0.3,0.8,,,1.2,,,6.89
96,Jony,0.6,0.6,0.9,,0.3,0.8,,,6.89
97,Rubén Alcaraz,2.8,1.1,2,0.1,1.4,1.7,0.3,,6.89
98,Arturo Vidal,2.4,0.9,1.8,0.1,0.6,1.2,0.2,,6.89
99,Antunes,1.5,1.5,1.3,0.4,2.1,0.6,0.3,,6.89
100,Jonathan Silva,1.7,1.0,1.7,0.1,2.3,1,0.1,,6.89
101,Sergio Asenjo,,0.1,,,1.2,,,,6.89
102,Damián Suárez,2.7,1.3,1.6,0.6,1.4,1.9,0.2,,6.89
103,Mikel Merino,1.7,1.0,2.4,,1.2,1.3,0.1,,6.88
104,Jaime Mata,0.9,0.5,2.3,,0.8,0.6,,,6.88
105,Ximo Navarro,1.8,1.5,0.6,0.5,4.2,0.4,0.4,,6.88
106,Gareth Bale,0.6,0.4,0.6,,0.4,0.5,0.1,,6.88
107,Clément Lenglet,2,0.9,1.3,0.7,3.0,0.6,0.9,1,6.88
