Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Lionel Messi,36,13,5,2.7,3.9,1.9,0.5,2.3,1.9,8.48
Álex Sola,0,0,2,1,4,2,0,2,2,8.03
Luis Suárez,21,6,3.4,1.4,1.1,1.7,0.8,1.6,2.3,7.57
Iago Aspas,20,6,2.6,2.1,0.7,1.6,0.3,1.3,1.1,7.51
Daniel Parejo,9,7,1.2,2.3,1,1.5,0,0.6,0.9,7.4
Karim Benzema,21,6,2.9,1.3,1.3,0.6,1,1.3,1.7,7.38
Carlos Isaac,0,0,1,1,2,1,0,1,3,7.35
Antoine Griezmann,15,9,3.1,2,0.5,0.9,0.3,1.3,1.5,7.29
Ousmane Dembélé,8,5,1.3,1.6,2.3,0.8,0.3,1.5,1.3,7.25
Rodri,3,1,0.8,0.5,0.6,1.3,0,0.9,0.6,7.24
Wissam Ben Yedder,18,9,2.2,1.3,1.3,0.7,0.9,1.1,1.9,7.23
Gorka Iraizoz,0,0,0,0,0.1,0,0,0,0,7.21
Guillermo Maripán,2,2,0.7,0.1,0.1,0.4,0,0,0.2,7.2
Gerard Piqué,4,2,0.5,0.2,0.3,0.6,0.1,0.3,0.5,7.18
Jaume Doménech,0,0,0,0,0,0,0,0,0,7.18
Saúl Ñíguez,4,1,1.6,0.5,1,0.8,0.2,1,1.4,7.17
Raúl García,9,3,2.5,0.8,0.4,1.8,0.3,0.9,1.5,7.17
Pablo Sarabia,12,13,2.3,2.1,0.8,1.5,0.5,1.1,1.9,7.16
Casemiro,3,0,1.4,0.5,0.6,1.7,0,0.6,0.5,7.15
Joan Jordán,4,4,1.6,1.9,1.3,1,0.1,0.9,1.3,7.14
José Giménez,0,0,0.7,0.1,0.3,0.9,0,0.1,0.4,7.13
José Campaña,4,9,0.6,1.6,1.3,1,0.1,0.9,1.2,7.1
Álvaro Morata,6,1,2,0.3,1.3,1.3,0.9,1.5,2.2,7.1
Javi Galán,0,2,0.1,1.1,1.8,1.4,0.1,0.9,1.8,7.1
Santi Cazorla,4,10,0.9,2.1,1.4,1.7,0,1.5,1.4,7.09
Toni Kroos,0,4,1.1,2.3,0.5,2,0,0.4,0.6,7.09
Sergio Camello,1,0,3,1,0,0,0,0,1,7.09
Koke,3,4,0.7,2,0.4,1.3,0.1,1.3,1,7.09
Jonathan Calleri,9,2,2.4,0.9,1.2,2.1,0.4,2.2,3.4,7.08
Éver Banega,3,4,1,1.7,1.8,2.1,0.1,1.8,1.3,7.08
Ivan Rakitic,3,5,1.1,0.5,0.6,1.6,0.1,0.7,0.7,7.06
Ander Guevara,0,0,3,1,3,1,0,1,0,7.06
Rubén Rochina,4,5,1.7,1.1,2.4,2,0,2.1,1.9,7.06
Giovani Lo Celso,9,4,2,0.8,2,2.1,0,1.7,2.2,7.06
Cote,1,1,0.7,1.6,1.3,0.5,0,0.5,0.6,7.06
Enric Gallego,5,1,1.7,0.8,0.7,1.5,1,1.2,3.2,7.05
Emiliano Velázquez,0,2,0.4,0.4,0.8,0.3,0,0.3,0.8,7.05
Zouhair Feddal,1,1,0.8,0.3,0.9,0.4,0,0.2,0.7,7.04
Rubén Peña,1,2,0.7,1.4,2,1.1,0,0.9,1.5,7.04
Vicente Iborra,3,1,0.9,0.4,0.4,1.9,0.1,0.7,0.8,7.04
Daniel Carvajal,1,2,0.5,1.3,1.4,1.4,0.1,0.8,1.1,7.04
Adnan Januzaj,1,3,1.6,1.5,3.3,1.8,0.3,2.6,2.6,7.04
Luka Modric,3,6,1.1,1.6,1.6,1.4,0.1,1.2,1.1,7.03
Cristhian Stuani,19,0,2.4,0.4,0.4,2.3,0.8,1.2,1.9,7.03
Koke Vegas,0,0,0,0,0,0,0,0,0,7.03
Sofiane Boufal,3,3,1.5,1.1,4.1,1.7,0,1.8,2.6,7.03
Roberto Rosales,3,1,0.9,0.6,0.6,0.8,0,0.5,1.4,7.02
Lucas Hernández,1,0,0.4,0.2,0.4,1.4,0,0.4,0.3,7.02
Jordi Alba,2,8,0.4,1.3,0.4,0.5,0.3,0.6,0.8,7.01
Leandro Cabrera,2,0,0.7,0.2,0.1,0.4,0.1,0.1,0.3,7.01
Sergio Reguilón,0,2,0.4,1.2,0.8,2.1,0,0.4,1.6,7
Sergio Canales,7,2,2.1,1.7,1.8,1.6,0.3,1.7,2.1,7
Sergio Busquets,0,1,0.2,0.4,0.3,1.5,0,0.7,0.4,7
Iñaki Williams,13,4,2,0.8,1.4,1.4,0.6,1.5,2.7,7
Brais Méndez,6,7,2.3,1.5,0.6,2.1,0.4,1.2,1.6,6.99
Francis Coquelin,0,1,0.3,0.7,1,1.1,0,1,0.6,6.99
Diego Godín,3,1,0.5,0.1,0.3,0.8,0,0,0.4,6.98
José Gayà,1,1,0.4,0.7,1.1,1.6,0.1,0.5,0.9,6.98
Borja Garcés,1,0,3,0,0,0,0,0,1,6.98
Yeray Álvarez,0,0,0.4,0.1,0.2,0.8,0,0.3,0.3,6.98
Marc Bartra,1,0,0.3,0.1,0.4,1.2,0.1,0.4,0.8,6.97
Jorge Molina,14,5,1.5,1.2,0.9,1.2,0.6,1.3,2.3,6.97
Fabián Orellana,3,5,2.4,1.5,2.5,1.8,0.2,3,2.4,6.97
Jean-Clair Todibo,0,0,0,0,1.5,0,0,2,0.5,6.97
Filipe Luís,2,2,0.4,0.6,0.9,0.5,0.1,0.7,0.6,6.96
Unai Núñez,0,0,1,0.3,0.2,0.2,0,0.1,0.2,6.96
