,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Lionel Messi,13,2.7,53.8,81.3,0.4,3.4,0.9,8.48
1,Álex Sola,0.0,1.0,52.0,80.8,1,1,0.0,8.03
2,Luis Suárez,6,1.4,29.0,75.3,0.2,1.5,0.1,7.57
3,Iago Aspas,6,2.1,32.1,82.0,0.2,1.4,0.2,7.51
4,Daniel Parejo,7,2.3,61.5,85.8,1.9,5.6,0.1,7.4
5,Karim Benzema,6,1.3,32.9,82.6,0.1,1.1,0.1,7.38
6,Carlos Isaac,0.0,1.0,41.0,85.4,0.0,0.0,0.0,7.35
7,Antoine Griezmann,9,2.0,37.5,78.3,0.6,1.3,0.1,7.29
8,Ousmane Dembélé,5,1.6,31.4,80.7,0.8,1,0.1,7.25
9,Rodri,1,0.5,56.7,91.1,0.0,3.4,0.0,7.24
10,Wissam Ben Yedder,9,1.3,21.6,73.9,0.1,0.5,0.1,7.23
11,Gorka Iraizoz,0.0,0.0,26.7,60.4,0.0,8.0,0.0,7.21
12,Guillermo Maripán,2,0.1,30.8,75.3,0.0,3.7,0.0,7.2
13,Gerard Piqué,2,0.2,68.3,91.4,0.0,4.3,0.0,7.18
14,Jaume Doménech,0.0,0.0,18.3,56.2,0.0,7.5,0.0,7.18
15,Saúl Ñíguez,1,0.5,44.9,78.8,0.1,1.5,0.1,7.17
16,Raúl García,3,0.8,27.0,55.7,0.1,0.8,0.1,7.17
17,Pablo Sarabia,13,2.1,36.6,79.6,1.3,1.2,0.1,7.16
18,Casemiro,0.0,0.5,55.8,88.0,0.1,4.9,0.0,7.15
19,Joan Jordán,4,1.9,46.8,83.4,1.8,4.8,0.0,7.14
20,José Giménez,0.0,0.1,34.2,80.5,0.0,4.1,0.0,7.13
21,José Campaña,9,1.6,51.6,84.4,1.2,3,0.0,7.1
22,Álvaro Morata,1,0.3,17.1,59.4,0.0,0.1,0.1,7.1
23,Javi Galán,2,1.1,24.8,65.2,0.9,0.9,0.1,7.1
24,Santi Cazorla,10,2.1,44.9,86.6,1.3,3.9,0.1,7.09
25,Toni Kroos,4,2.3,74.0,93.2,1.5,7.8,0.1,7.09
26,Sergio Camello,0.0,1.0,9.0,88.9,0.0,0.0,0.0,7.09
27,Koke,4,2.0,64.7,86.2,1,3.2,0.1,7.09
28,Jonathan Calleri,2,0.9,20.3,59.1,0.3,0.4,0.0,7.08
29,Éver Banega,4,1.7,65.3,85.4,1,6.5,0.1,7.08
30,Ivan Rakitic,5,0.5,74.6,91.4,0.1,4.6,0.1,7.06
31,Ander Guevara,0.0,1.0,42.0,97.6,1,3.0,0.0,7.06
