,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,Lionel Messi,0.4,0.1,0.6,0.0,0.0,0.5,0.0,0.0,36.0,13.0,5.0,2.7,3.9,1.9,0.5,2.3,1.9,13.0,2.7,53.8,81.3,0.4,3.4,0.9
1,Álex Sola,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,52.0,80.8,1.0,1.0,0.0
2,Luis Suárez,0.5,0.2,0.9,0.0,0.7,0.2,0.1,0.0,21.0,6.0,3.4,1.4,1.1,1.7,0.8,1.6,2.3,6.0,1.4,29.0,75.3,0.2,1.5,0.1
3,Iago Aspas,0.6,0.6,0.6,0.0,0.2,0.6,0.0,0.0,20.0,6.0,2.6,2.1,0.7,1.6,0.3,1.3,1.1,6.0,2.1,32.1,82.0,0.2,1.4,0.2
4,Daniel Parejo,2.0,1.3,0.8,0.0,0.6,1.6,0.2,0.0,9.0,7.0,1.2,2.3,1.0,1.5,0.0,0.6,0.9,7.0,2.3,61.5,85.8,1.9,5.6,0.1
5,Karim Benzema,0.7,0.2,0.6,0.0,0.7,0.4,0.0,0.0,21.0,6.0,2.9,1.3,1.3,0.6,1.0,1.3,1.7,6.0,1.3,32.9,82.6,0.1,1.1,0.1
6,Carlos Isaac,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,41.0,85.4,0.0,0.0,0.0
7,Antoine Griezmann,0.8,0.3,0.5,0.0,0.6,0.5,0.0,0.0,15.0,9.0,3.1,2.0,0.5,0.9,0.3,1.3,1.5,9.0,2.0,37.5,78.3,0.6,1.3,0.1
8,Ousmane Dembélé,0.8,0.2,0.8,0.0,0.1,0.4,0.0,0.0,8.0,5.0,1.3,1.6,2.3,0.8,0.3,1.5,1.3,5.0,1.6,31.4,80.7,0.8,1.0,0.1
9,Rodri,3.0,1.2,1.7,0.0,2.0,1.1,0.3,0.0,3.0,1.0,0.8,0.5,0.6,1.3,0.0,0.9,0.6,1.0,0.5,56.7,91.1,0.0,3.4,0.0
10,Wissam Ben Yedder,0.5,0.3,0.7,0.0,0.1,0.3,0.0,0.0,18.0,9.0,2.2,1.3,1.3,0.7,0.9,1.1,1.9,9.0,1.3,21.6,73.9,0.1,0.5,0.1
11,Gorka Iraizoz,0.1,0.1,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,26.7,60.4,0.0,8.0,0.0
12,Guillermo Maripán,2.0,1.7,0.7,0.9,5.7,0.5,0.8,0.0,2.0,2.0,0.7,0.1,0.1,0.4,0.0,0.0,0.2,2.0,0.1,30.8,75.3,0.0,3.7,0.0
13,Gerard Piqué,1.2,1.0,0.7,0.4,4.2,0.4,0.8,0.0,4.0,2.0,0.5,0.2,0.3,0.6,0.1,0.3,0.5,2.0,0.2,68.3,91.4,0.0,4.3,0.0
14,Jaume Doménech,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,56.2,0.0,7.5,0.0
15,Saúl Ñíguez,2.5,1.3,1.7,0.1,2.2,1.5,0.3,1.0,4.0,1.0,1.6,0.5,1.0,0.8,0.2,1.0,1.4,1.0,0.5,44.9,78.8,0.1,1.5,0.1
16,Raúl García,1.8,0.6,3.0,0.0,1.1,1.4,0.0,0.0,9.0,3.0,2.5,0.8,0.4,1.8,0.3,0.9,1.5,3.0,0.8,27.0,55.7,0.1,0.8,0.1
17,Pablo Sarabia,0.9,0.7,1.4,0.1,0.5,1.2,0.1,0.0,12.0,13.0,2.3,2.1,0.8,1.5,0.5,1.1,1.9,13.0,2.1,36.6,79.6,1.3,1.2,0.1
18,Casemiro,3.0,1.4,1.6,0.2,1.8,1.9,0.4,0.0,3.0,0.0,1.4,0.5,0.6,1.7,0.0,0.6,0.5,0.0,0.5,55.8,88.0,0.1,4.9,0.0
19,Joan Jordán,1.8,0.9,1.6,0.0,0.5,1.4,0.1,0.0,4.0,4.0,1.6,1.9,1.3,1.0,0.1,0.9,1.3,4.0,1.9,46.8,83.4,1.8,4.8,0.0
20,José Giménez,1.2,2.1,0.4,0.2,6.0,0.6,0.7,0.0,0.0,0.0,0.7,0.1,0.3,0.9,0.0,0.1,0.4,0.0,0.1,34.2,80.5,0.0,4.1,0.0
21,José Campaña,1.8,1.3,1.2,0.1,1.2,1.6,0.2,0.0,4.0,9.0,0.6,1.6,1.3,1.0,0.1,0.9,1.2,9.0,1.6,51.6,84.4,1.2,3.0,0.0
22,Álvaro Morata,1.3,0.3,1.9,0.0,0.9,0.5,0.0,0.0,6.0,1.0,2.0,0.3,1.3,1.3,0.9,1.5,2.2,1.0,0.3,17.1,59.4,0.0,0.1,0.1
23,Javi Galán,3.8,1.2,0.9,0.3,2.3,1.6,0.1,0.0,0.0,2.0,0.1,1.1,1.8,1.4,0.1,0.9,1.8,2.0,1.1,24.8,65.2,0.9,0.9,0.1
24,Santi Cazorla,2.0,0.8,0.6,0.0,0.4,1.3,0.2,0.0,4.0,10.0,0.9,2.1,1.4,1.7,0.0,1.5,1.4,10.0,2.1,44.9,86.6,1.3,3.9,0.1
25,Toni Kroos,1.8,0.5,0.8,0.0,0.4,1.5,0.1,0.0,0.0,4.0,1.1,2.3,0.5,2.0,0.0,0.4,0.6,4.0,2.3,74.0,93.2,1.5,7.8,0.1
26,Sergio Camello,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,88.9,0.0,0.0,0.0
27,Koke,2.8,1.0,1.1,0.0,1.1,1.7,0.2,0.0,3.0,4.0,0.7,2.0,0.4,1.3,0.1,1.3,1.0,4.0,2.0,64.7,86.2,1.0,3.2,0.1
28,Jonathan Calleri,0.6,0.2,2.1,0.0,1.6,0.7,0.2,0.0,9.0,2.0,2.4,0.9,1.2,2.1,0.4,2.2,3.4,2.0,0.9,20.3,59.1,0.3,0.4,0.0
