,Player,age,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
0,Aarón Martín,23,Defender,Mainz 05,2879,1502,1377,Spain,33,17,16,0,0,0,3,1,2,0,0,7,5,2,50,21,29,3,0,0.09,0.09,0,0,0,0,1.56,58,87,960,960,0.09,329,158,83,25,1.7,1.2,0.9,0.1,1.8,0.5,0.3,0,0,3,0.5,1.9,1.4,0.8,0.2,0.7,0.7,3,1.9,36.2,81.9,1.6,1.8,0
1,Abdou Diallo,24,Defender,Borussia Dortmund,2381,1129,1252,France,28,13,15,1,1,0,1,1,0,0,0,7,2,5,37,19,18,2,1,0.08,0.04,0.04,0.08,0,2381,1.4,64,85,794,2381,0.11,224,207,57,17,1.3,0.9,0.8,0.5,3.1,0.1,0.5,0,1,1,0.4,0.4,1.4,0.4,0,0.6,1,1,0.4,64.9,89,0.3,4.6,0
2,Abdul Rahman Baba,26,Defender,Schalke 04,163,73,90,Ghana,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1.1,82,82,0,0,0,-1,-1,-1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Achraf Hakimi Mouh,22,Defender,Borussia Dortmund,1740,1015,725,Morocco,21,12,9,2,2,0,4,3,1,0,0,6,3,3,22,15,7,4,0,0.31,0.21,0.1,0.18,0,870,1.14,79,83,435,435,0.21,168,55,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Adam Bodzek,35,Defender,Fortuna Düsseldorf,1604,749,855,Germany,21,10,11,0,0,0,1,1,0,0,0,4,2,2,29,8,21,6,1,0.06,0.06,0,0,0,0,1.63,55,76,229,1604,0.39,264,187,89,20,2.1,1.2,1.5,0.2,1.9,1.2,0.3,0,0,1,0.1,0.4,0.1,2,0,0.3,0.3,1,0.4,32.8,84,0,3.2,0
5,Ádám Szalai,33,Forward,Hoffenheim,1619,693,926,Hungary,30,15,15,6,3,3,3,0,3,0,0,4,3,1,28,12,16,3,0,0.5,0.17,0.33,0.39,0.29,270,1.56,58,54,540,540,0.17,60,85,-1,5,0.6,0.1,1.1,0,0.2,0.2,0,0,6,3,2.2,0.9,0.3,0.8,0.3,0.7,1.8,3,0.9,14,71.1,0,0.4,0
6,Adam Zreľák,26,Forward,Nürnberg,940,472,468,Slovakia,14,7,7,2,1,1,1,0,1,0,0,1,1,0,15,5,10,4,0,0.29,0.1,0.19,0.19,0.19,470,1.44,63,67,235,940,0.38,102,143,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Admir Mehmedi,30,Forward,Wolfsburg,1699,914,785,Switzerland,26,15,11,6,3,3,5,4,1,0,0,6,4,2,24,10,14,1,0,0.58,0.26,0.32,0.3,0.34,283,1.27,71,65,1699,340,0.05,62,32,-1,3,1.8,0.5,1.1,0,0.2,1,0,0,6,5,1.4,1.4,0.5,1.5,0.7,1.1,1.7,5,1.4,26,76.4,0.8,1,0.1
8,Ahmed Kutucu,21,Forward,Schalke 04,418,227,191,Germany,13,6,7,2,0,2,0,0,0,0,0,3,2,1,9,3,6,0,0,0.43,0,0.43,0,0.94,209,1.94,46,32,0,0,0,38,255,-1,8,0.6,0,0.8,0,0,0.2,0.1,0,2,0,1,0.2,0.9,0.7,0.2,1.2,1,0,0.2,7.2,68.8,0.1,0.1,0
9,Ahmet Gürleyen,21,Defender,Mainz 05,12,12,0,Germany,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7.5,12,12,0,0,0,-1,-1,-1,17,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,100,0,0,0
