,Player,age,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
0,Abdou Lahad Diakhaté,22,Midfielder,Parma,0,0,0,Senegal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Abukar Mohamed,22,Midfielder,Lazio,0,0,0,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Adam Marušić,28,Defender,Lazio,2113,1162,951,Montenegro,26,13,13,1,1,0,1,0,1,0,0,7,3,4,26,16,10,3,1,0.09,0.04,0.04,0.08,0,2113,1.11,81,81,528,2113,0.17,244,230,55,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Ádám Nagy,25,Midfielder,Bologna,973,484,489,Hungary,14,6,8,0,0,0,0,0,0,0,0,3,2,1,18,6,12,4,1,0,0,0,0,0,0,1.66,54,70,243,0,0.37,367,342,-1,22,2.1,1.7,0.7,0.1,0.8,0.7,0.4,0,0,0,0.4,0.6,0.3,0.6,0,0.5,1,0,0.6,36.4,86.8,0.1,1.6,0
4,Adam Ounas,24,Midfielder,Napoli,532,238,294,Algeria,18,10,8,3,2,1,0,0,0,0,0,10,6,4,4,0,4,0,0,0.51,0,0.51,0.76,0.31,177,0.68,133,30,0,0,0,17,368,-1,8,0.3,0.1,0.2,0,0,0.5,0,0,3,0,1.2,1,1.1,0.6,0,0.6,1,0,1,15.1,83.4,0.1,0.6,0.2
5,Adem Ljajić,29,Forward,Torino,29,0,29,Serbia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,-1,-1,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Adrian Šemper,23,Goalkeeper,Chievo,540,270,270,Croatia,6,3,3,0,0,0,0,0,0,0,0,2,1,1,8,5,3,0,0,0,0,0,0,0,0,1.33,68,90,0,0,0,279,349,88,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Afriyie Acquah,29,Midfielder,Empoli,1514,850,664,Ghana,28,15,13,2,2,0,0,0,0,0,0,4,3,1,27,11,16,4,0,0.12,0,0.12,0.21,0,757,1.61,56,54,379,0,0.24,141,326,-1,8,1,0.4,1,0,0.5,0.3,0,0,2,0,0.8,0.4,1,1.1,0,0.8,1.1,0,0.4,24.7,82.2,0.1,0.6,0
8,Alban Lafont,22,Goalkeeper,Fiorentina,3016,1576,1440,France,34,18,16,0,0,0,0,0,0,0,0,9,6,3,40,18,22,2,0,0,0,0,0,0,0,1.19,75,89,1508,0,0.06,304,302,69,22,0,0,0,0,0.9,0,0,1,0,0,0,0.1,0.1,0.2,0,0,0,0,0.1,24.9,62.6,0,5.6,0
9,Alberto Cerri,25,Forward,Cagliari,667,194,473,Italy,15,6,9,0,0,0,0,0,0,0,0,2,1,1,11,4,7,3,0,0,0,0,0,0,0,1.48,61,44,222,0,0.4,357,334,-1,18,0.2,0.1,1.6,0.1,0.2,0.5,0.1,0,0,0,1.5,0.6,0.3,0.7,0.2,1.1,1.4,0,0.6,14.3,62.3,0,0.5,0
10,Alberto Grassi,26,Midfielder,Parma,461,198,263,Italy,7,4,3,0,0,0,0,0,0,0,0,2,2,0,6,2,4,0,0,0,0,0,0,0,0,1.17,77,66,0,0,0,324,415,-1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Alberto Paloschi,31,Forward,SPAL,851,259,592,Italy,23,10,13,2,1,1,0,0,0,0,0,5,4,1,14,3,11,3,0,0.21,0,0.21,0.35,0.15,426,1.48,61,37,284,0,0.32,81,412,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
