,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,Kevin De Bruyne,1.3,0.5,0.7,0.0,0.7,1.4,0.1,0.0,13.0,20.0,2.8,3.9,1.4,0.8,0.1,0.9,1.3,20.0,3.9,54.5,81.5,2.1,3.5,0.4
1,Bruno Fernandes,1.6,0.8,0.6,0.0,1.0,2.4,0.0,0.0,8.0,7.0,3.1,2.1,1.1,1.0,0.1,0.9,2.1,7.0,2.1,55.5,75.7,1.0,3.3,0.3
2,Ricardo Pereira,4.3,1.8,1.6,0.3,2.6,1.9,0.2,0.0,3.0,2.0,0.6,1.0,2.1,1.3,0.0,1.1,1.6,2.0,1.0,56.1,78.9,0.3,2.1,0.1
3,Adama Traoré,0.9,0.4,1.1,0.0,0.4,0.4,0.1,0.0,4.0,9.0,1.2,1.3,5.0,2.1,0.2,1.8,2.4,9.0,1.3,19.2,74.4,1.2,0.2,0.1
4,Riyad Mahrez,0.8,0.5,0.4,0.0,0.2,0.8,0.0,0.0,11.0,9.0,2.2,1.8,1.6,0.9,0.4,1.0,1.4,9.0,1.8,33.2,90.1,0.6,1.7,0.2
5,Sadio Mané,1.3,0.4,1.3,0.0,0.2,0.8,0.0,0.0,18.0,7.0,2.2,1.7,2.0,1.5,0.4,1.6,2.9,7.0,1.7,31.5,81.6,0.3,1.0,0.1
6,Mohamed Salah,0.5,0.2,0.5,0.0,0.1,0.5,0.0,0.0,19.0,10.0,3.9,1.8,1.5,0.5,0.6,2.0,2.6,10.0,1.8,28.8,76.5,0.3,0.4,0.1
7,Raheem Sterling,0.8,0.5,0.9,0.0,0.1,0.7,0.1,0.0,20.0,1.0,3.0,1.5,1.7,1.2,0.4,1.8,2.0,1.0,1.5,35.4,82.8,0.2,0.3,0.1
8,Marcus Rashford,0.4,0.3,0.7,0.0,0.5,0.5,0.0,0.0,17.0,7.0,3.1,1.1,1.9,1.5,0.4,1.1,2.1,7.0,1.1,30.4,77.3,0.3,1.2,0.2
9,James Maddison,1.9,0.3,1.2,0.0,0.2,1.5,0.0,0.0,6.0,3.0,2.4,2.5,1.6,2.8,0.1,0.9,1.8,3.0,2.5,47.5,83.0,1.9,2.3,0.2
10,Harry Kane,0.6,0.2,1.3,0.0,1.0,0.4,0.2,0.0,18.0,2.0,2.8,0.9,1.0,1.5,0.7,1.1,2.3,2.0,0.9,19.1,66.7,0.1,0.8,0.2
11,Virgil van Dijk,0.6,1.1,0.4,1.0,4.3,0.2,0.4,0.0,5.0,1.0,0.8,0.2,0.1,0.7,0.0,0.1,0.1,1.0,0.2,85.8,89.1,0.0,5.4,0.1
12,Anthony Martial,0.5,0.2,0.9,0.0,0.5,0.5,0.0,0.0,17.0,6.0,2.5,0.9,1.6,1.3,0.4,1.9,2.3,6.0,0.9,22.3,80.6,0.1,0.3,0.1
13,Willian,1.3,0.6,0.5,0.0,0.2,0.8,0.0,0.0,9.0,7.0,2.0,2.1,1.8,1.3,0.1,0.8,1.7,7.0,2.1,39.9,82.7,1.4,1.8,0.1
14,Marcos Alonso,1.6,1.1,0.9,0.2,1.4,1.1,0.1,0.0,4.0,2.0,1.7,1.4,0.7,0.8,0.1,0.6,1.8,2.0,1.4,50.4,82.6,1.1,1.4,0.1
15,Michail Antonio,0.5,0.4,1.7,0.0,0.2,0.4,0.1,0.0,10.0,3.0,2.8,1.1,2.7,1.5,0.5,1.9,3.0,3.0,1.1,18.6,68.4,0.4,0.4,0.1
16,Allan Saint-Maximin,0.5,0.3,0.7,0.0,0.2,0.5,0.1,0.0,3.0,4.0,1.8,1.3,4.7,1.8,0.1,2.0,2.8,4.0,1.3,16.6,79.1,0.3,0.8,0.0
17,Joel Matip,1.4,1.3,0.8,1.0,4.1,0.8,0.4,0.0,1.0,0.0,0.4,0.1,0.2,0.7,0.0,0.2,0.3,0.0,0.1,61.4,84.3,0.0,2.9,0.0
18,David Silva,1.0,0.5,0.7,0.0,0.2,0.7,0.1,0.0,6.0,10.0,1.7,1.8,1.2,0.7,0.1,0.7,1.3,10.0,1.8,54.9,89.3,0.1,1.1,0.1
19,Gabriel Jesus,0.5,0.3,0.8,0.0,0.2,0.5,0.0,0.0,14.0,7.0,3.0,0.9,1.3,0.9,0.6,1.0,1.4,7.0,0.9,17.9,86.5,0.1,0.6,0.0
20,Raúl Jiménez,0.5,0.4,1.0,0.0,0.8,0.7,0.0,0.0,17.0,6.0,3.1,1.3,1.6,0.9,0.5,1.8,2.9,6.0,1.3,26.1,72.2,0.1,1.2,0.1
21,Son Heung-Min,0.8,0.6,0.6,0.0,0.6,1.6,0.0,0.0,11.0,10.0,2.7,1.4,2.1,0.9,0.6,1.9,2.2,10.0,1.4,26.6,84.7,0.4,0.7,0.2
22,Jack Grealish,0.8,0.6,0.9,0.0,0.3,0.6,0.3,0.0,8.0,6.0,2.0,2.5,2.0,4.6,0.1,1.6,1.9,6.0,2.5,38.1,84.8,0.8,2.3,0.1
23,Wilfred Ndidi,4.0,2.5,1.8,0.0,1.9,1.4,0.2,0.0,2.0,1.0,0.8,0.5,0.7,0.8,0.0,0.8,1.0,1.0,0.5,52.2,85.1,0.0,2.5,0.0
24,Jamie Vardy,0.4,0.1,0.6,0.0,0.6,0.1,0.1,0.0,23.0,5.0,2.5,0.9,0.7,0.3,0.8,0.5,1.5,5.0,0.9,12.6,70.6,0.2,0.2,0.0
25,João Cancelo,2.4,1.2,1.0,0.1,0.9,0.9,0.1,0.0,0.0,0.0,0.9,1.0,2.2,0.5,0.0,0.5,0.9,0.0,1.0,59.4,90.4,0.4,2.2,0.0
26,Trent Alexander-Arnold,1.4,1.2,0.6,0.5,1.8,1.1,0.2,0.0,4.0,13.0,1.2,2.3,0.6,0.2,0.1,0.3,1.2,13.0,2.3,64.2,76.7,2.1,5.1,0.0
