,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Jeff Reine-Adélaïde,3,0.0,1.0,0.0,1,0.0,0.0,0.0,9.23
1,Neymar,0.8,0.3,0.9,0.0,0.0,1.2,0.0,0.0,8.58
2,Kylian Mbappé,0.4,0.2,0.6,0.0,0.0,0.4,0.0,0.0,8.14
3,Ángel Di María,0.7,0.4,0.5,0.0,0.0,1.2,0.1,0.0,7.75
4,Dimitri Payet,1,0.4,0.7,0.0,0.5,0.7,0.0,0.0,7.73
5,Anthony Caci,3.6,2.4,1.4,0.1,1.1,1.1,0.6,0.0,7.6
6,Memphis Depay,0.3,0.2,0.6,0.0,0.2,0.4,0.0,0.0,7.59
7,Hianga'a M'Bock,0.5,2,0.5,0.0,0.0,0.0,0.0,0.0,7.49
8,Téji Savanier,2.7,1.8,2.1,0.0,1,2.7,0.0,0.0,7.45
9,Donovan Léon,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,7.38
10,Souleyman Doumbia,1,0.0,1,0.0,3,0.0,2,0.0,7.38
11,Moreto Cassamã,2.4,0.7,0.9,0.0,0.9,0.3,0.3,0.0,7.38
12,Wissam Ben Yedder,0.8,0.2,0.4,0.0,0.0,0.4,0.0,0.0,7.35
13,Idrissa Gueye,3.3,1.7,1.9,0.0,0.6,1.3,0.2,0.0,7.33
14,Marco Verratti,2.7,1,1.3,0.0,0.3,1.8,0.2,0.0,7.32
15,Mounir Chouiar,1.8,0.7,1.7,0.0,0.4,1.5,0.0,0.0,7.3
16,Jessy Moulin,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,7.3
17,Zinédine Ould Khaled,2,4,2,0.0,0.0,2,0.0,0.0,7.23
18,Hassane Kamara,2.6,2.6,0.9,0.0,2.1,0.5,0.1,0.0,7.23
19,Yassine Benrahou,1.4,0.2,1,0.0,0.0,1.2,0.0,0.0,7.22
20,Bruno Guimarães,4.0,1.3,2.0,0.0,0.3,1.7,0.0,0.0,7.21
21,Marquinhos,2.1,1.3,1.0,0.3,1.6,0.8,0.4,0.0,7.19
22,Adil Aouchiche,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7.17
23,Youcef Atal,1.8,1.8,1.2,0.1,0.5,1.4,0.1,0.0,7.15
24,Mauro Icardi,0.2,0.1,0.6,0.1,0.6,0.5,0.1,0.0,7.15
25,Andy Delort,1.1,0.1,2.7,0.0,0.4,0.8,0.2,0.0,7.15
26,Victor Osimhen,0.3,0.4,2.1,0.0,1.2,0.4,0.0,0.0,7.14
27,Lucas Perrin,1.3,2.5,2.3,0.8,3.8,1.3,0.5,0.0,7.14
28,Pierre Lees-Melou,2.4,1.2,1.5,0.0,1.5,2.2,0.5,0.0,7.14
29,Júlio Tavares,0.5,0.3,0.9,0.0,1.2,0.6,0.1,0.0,7.14
30,Raphinha,1,0.8,0.9,0.0,0.5,1,0.0,0.0,7.13
31,Zinedine Ferhat,1,0.6,0.7,0.0,0.7,1.2,0.1,0.0,7.13
32,Renato Sanches,1.5,0.8,1.8,0.0,0.5,1.3,0.1,0.0,7.13
33,Steven Nzonzi,1,0.8,0.6,0.0,3.6,0.2,0.4,0.0,7.12
34,Islam Slimani,0.4,0.1,2.1,0.0,0.6,0.6,0.0,0.0,7.12
35,Eduardo Camavinga,4.2,1.4,1.9,0.0,1.3,1.9,0.3,0.0,7.12
36,Nicolas de Preville,1.5,0.3,2,0.0,0.8,1.6,0.1,0.0,7.12
37,Aleksandr Golovin,2,1.2,1.3,0.1,0.7,2.2,0.0,0.0,7.11
38,Valentin Rongier,1.7,0.7,1.7,0.0,0.0,0.7,0.0,0.0,7.11
39,Marcin Bulka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11
40,Benjamin André,2.7,2.3,2.1,0.0,1.3,1.7,0.3,0.0,7.11
41,Adam Ounas,0.6,0.7,0.4,0.0,0.4,0.5,0.1,0.0,7.1
42,Baptiste Santamaría,3.3,1.5,0.7,0.0,1.2,1.6,0.2,0.0,7.1
43,Yunis Abdelhamid,1.6,1.7,0.8,0.3,3.4,0.4,0.5,0.0,7.1
44,Ludovic Baal,2.5,1.5,0.9,0.1,1.2,1.1,0.3,0.0,7.09
45,Fabien Centonze,2.7,2.1,0.7,0.0,3.0,0.8,0.4,0.0,7.08
46,Fábio,3.8,1.8,1.2,0.1,1.8,1,0.5,0.0,7.07
47,Lucas Deaux,2.9,0.9,1.5,0.0,1.0,1.7,0.2,0.0,7.07
48,Lucas Dias,0.3,0.0,0.0,0.0,1.5,0.0,0.0,0.0,7.07
49,Jordan Amavi,2.1,2.2,1.6,0.2,3.3,1.3,0.2,0.0,7.07
50,Valentin Rongier,3.3,1.6,1.5,0.0,0.6,1.8,0.2,0.0,7.07
51,Angelo Fulgini,1.4,1.0,1.4,0.0,0.5,0.6,0.1,0.0,7.06
52,Wylan Cyprien,0.9,0.9,0.7,0.0,0.8,1.0,0.1,0.0,7.06
53,Xavier Chavalerin,3.0,1.5,1.7,0.0,1.2,1.3,0.3,0.0,7.06
54,Moussa Dembele,0.4,0.2,1.6,0.0,1.1,0.4,0.1,0.0,7.06
55,Gaëtan Laborde,0.8,0.3,1.5,0.0,1.1,1.0,0.0,0.0,7.06
56,Tiemoué Bakayoko,2.4,1.5,1.7,0.0,0.9,1.3,0.2,0.0,7.05
57,Juan Bernat,2.3,0.6,0.9,0.1,1.2,1.7,0.1,0.0,7.05
58,Gil Dias,3.8,0.9,0.9,0.0,1.2,2.0,0.1,0.0,7.05
59,Denis Bouanga,1.7,0.4,2.0,0.0,0.5,1.3,0.0,0.0,7.04
60,Nayef Aguerd,1.2,1.6,1.2,0.5,4.7,0.4,1,0.0,7.04
61,Gerónimo Rulli,0.1,0.1,0.1,0.0,0.7,0.0,0.0,0.0,7.04
62,Nolan Roux,0.7,0.6,1.3,0.0,0.7,0.3,0.0,0.0,7.03
63,Tanguy Nianzou,0.3,0.5,1.2,0.3,1.0,0.3,0.3,0.0,7.03
64,Predrag Rajkovic,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,7.03
65,Pablo,1.1,1.6,1,0.3,5.2,0.6,0.6,0.0,7.02
66,Houssem Aouar,1.1,0.5,1,0.0,0.3,1,0.0,0.0,7.02
67,Marçal,2.5,2.4,1.5,0.0,2.2,1.2,0.3,2,7.02
68,Gautier Larsonneur,0.1,0.1,0.1,0.0,0.9,0.1,0.0,0.0,7.02
69,Ludovic Ajorque,0.6,0.1,1.5,0.1,0.7,0.4,0.0,0.0,7.01
