,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Jeff Reine-Adélaïde,1,1,2,1,9,2.0,0.0,2,4,9.23
1,Neymar,13,6,4.7,2.6,6,4.1,0.1,3.1,4.9,8.58
2,Kylian Mbappé,18,5,4.4,2,2.8,1.1,0.9,1.3,2.4,8.14
3,Ángel Di María,8,14,2.8,3,2.6,0.8,0.2,1.1,2,7.75
4,Dimitri Payet,9,4,2.9,4,2.3,1.4,0.1,2.3,2,7.73
5,Anthony Caci,1,4,0.5,1.5,0.4,0.6,0.0,1.1,1.1,7.6
6,Memphis Depay,9,2,3.7,1.9,2,1.4,0.2,1.5,2.7,7.59
7,Hianga'a M'Bock,1,0.0,2,0.5,1,1.5,0.0,1,0.5,7.49
8,Téji Savanier,6,2,1.6,1.5,1.7,2.9,0.0,0.8,2.2,7.45
9,Donovan Léon,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.38
10,Souleyman Doumbia,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.0,7.38
11,Moreto Cassamã,1,1,0.6,1.1,1.9,1.6,0.0,1.1,1.7,7.38
12,Wissam Ben Yedder,18,4,2.5,1.7,1.3,0.7,0.3,1.5,1.9,7.35
13,Idrissa Gueye,1,2,0.6,1.2,1.1,1.1,0.1,0.7,1.3,7.33
14,Marco Verratti,0.0,5,0.1,1.4,1.3,1.7,0.0,1.1,0.7,7.32
15,Mounir Chouiar,4,0.0,2,2.2,3.5,1,0.2,1.8,2.5,7.3
16,Jessy Moulin,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,7.3
17,Zinédine Ould Khaled,0.0,0.0,0.0,0.0,1,0.0,0.0,2,0.0,7.23
18,Hassane Kamara,2,0.0,1.3,0.5,1.6,1,0.1,0.7,1.6,7.23
19,Yassine Benrahou,2,3,2.6,2.1,1.9,3,0.1,4,5.3,7.22
20,Bruno Guimarães,0.0,0.0,0.7,1.7,1.3,2.7,0.0,1.3,2.0,7.21
21,Marquinhos,3,1,0.6,0.2,0.4,0.3,0.0,0.5,0.4,7.19
22,Adil Aouchiche,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,7.17
23,Youcef Atal,1,1,1.5,0.8,3.6,1.9,0.3,1.4,2.7,7.15
24,Mauro Icardi,12,2,1.8,0.6,0.3,0.5,0.6,0.2,0.8,7.15
25,Andy Delort,9,3,3.2,1.5,1.1,1.5,0.8,1,3.1,7.15
26,Victor Osimhen,13,4,3.2,0.8,0.6,1.5,1.2,1.4,2.7,7.14
27,Lucas Perrin,0.0,0.0,0.8,0.0,0.8,1.5,0.0,0.0,1.3,7.14
