,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Robert Lewandowski,0.6,0.2,1.0,0.0,0.4,0.4,0.0,0.0,8.13
1,Jadon Sancho,0.4,0.4,0.3,0.0,0.1,0.5,0.0,0.0,7.64
2,Timo Werner,0.6,0.1,0.5,0.0,0.0,0.4,0.0,0.0,7.6
3,Matheus Cunha,0.9,0.9,2.3,0.0,0.1,0.6,0.1,0.0,7.56
4,Alphonso Davies,2.4,1.1,0.9,0.6,1.2,0.7,0.2,0.0,7.52
5,Marco Reus,1.4,0.5,0.9,0.0,0.6,0.8,0.1,0.0,7.5
6,Serge Gnabry,1.2,0.5,0.5,0.0,0.0,0.6,0.0,0.0,7.49
7,Thiago,1.9,1.9,1.0,0.2,0.5,0.9,0.1,0.0,7.47
8,Erling Haaland,0.3,0.3,0.7,0.0,0.3,0.3,0.3,0.0,7.45
9,Paulo Otávio,4.2,1.8,1.6,0.2,1.4,0.6,0.4,0.0,7.44
10,Thomas Müller,1.4,0.4,0.5,0.0,0.2,1.4,0.1,0.0,7.42
11,Filip Kostic,1.8,0.7,1.1,0.0,0.2,1.1,0.1,0.0,7.41
12,Joshua Kimmich,1.6,0.9,0.8,0.1,0.8,1,0.3,0.0,7.4
13,Philipp Pentke,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,7.36
14,Christopher Nkunku,0.7,0.6,0.8,0.0,0.2,0.8,0.1,0.0,7.33
15,Kevin Mbabu,3.5,1.2,1.6,0.2,2.4,1,0.5,0.0,7.32
16,Simon Falette,0.0,3,0.0,1,5.0,1,3,0.0,7.32
17,Raphael Guerreiro,1.5,1.4,0.4,0.2,0.7,0.4,0.1,0.0,7.32
18,Achraf Hakimi,1.8,0.9,0.7,0.1,0.6,1.1,0.1,0.0,7.32
19,Suat Serdar,2.8,1.2,1.5,0.1,0.4,2.2,0.4,0.0,7.31
20,Marcus Thuram,0.8,0.4,1.7,0.0,0.5,0.6,0.0,0.0,7.3
21,Niclas Füllkrug,0.3,0.4,1.3,0.0,0.8,0.3,0.0,0.0,7.29
22,Alassane Plea,0.6,0.3,0.9,0.0,0.2,0.7,0.1,0.0,7.24
23,Kai Havertz,0.7,0.1,0.9,0.0,0.6,1.1,0.0,0.0,7.24
24,Marcel Sabitzer,1.2,0.7,0.6,0.0,0.8,1.2,0.1,0.0,7.24
25,Philippe Coutinho,0.9,0.3,0.2,0.0,0.0,0.5,0.1,0.0,7.22
26,Thorgan Hazard,1.2,0.4,1.1,0.0,0.0,1.2,0.0,0.0,7.21
27,Andrej Kramaric,0.1,0.2,0.3,0.0,0.2,0.3,0.0,0.0,7.21
28,Benjamin Pavard,1.1,1.6,1.3,0.4,1.8,0.4,0.3,1,7.19
29,Leon Goretzka,1.2,1.0,1.0,0.1,0.3,0.9,0.1,0.0,7.17
30,Christopher Trimmel,2.2,1.6,1.1,0.1,2.5,0.7,0.3,0.0,7.16
31,Denis Zakaria,2.1,1.6,1.0,0.2,1.1,0.8,0.5,0.0,7.15
32,Marcel Halstenberg,1.6,1.6,0.8,0.5,2.2,1.0,0.4,0.0,7.15
33,Emre Can,1.6,1.6,1.2,0.0,1.1,0.6,0.5,0.0,7.14
34,Ramy Bensebaini,1.7,2,1.4,0.0,2.1,0.7,0.2,0.0,7.14
35,Mark Flekken,0.0,0.0,0.1,0.0,0.5,0.1,0.0,0.0,7.14
