,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Cristiano Ronaldo,31,5,6.3,1.5,1.6,1.8,0.9,1,2.2,7.82
1,Josip Ilicic,15,5,3.1,2.1,2.3,2.3,0.1,1.8,2,7.65
2,Ciro Immobile,36,9,3.8,1.6,0.6,1,0.6,0.8,2.6,7.57
3,Luis Alberto,6,15,2.7,2.9,2,1.1,0.0,1.3,1.4,7.55
4,Papu Gómez,7,16,2.6,2.8,1.8,2.1,0.1,1.1,1.6,7.55
5,Gianluca Pegolo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.54
6,Zlatan Ibrahimovic,10,5,3.7,1.4,0.7,0.9,1.1,0.9,2,7.51
7,Edin Dzeko,16,7,3.5,1.5,1,1.4,0.5,1.1,2.4,7.48
8,Domenico Berardi,14,10,3.9,1.9,1.3,2.1,0.2,1,2.1,7.45
9,Paulo Dybala,11,6,3,2.1,2,1.6,0.2,1.2,1.8,7.44
10,Duván Zapata,18,6,3.2,1.4,0.8,1.6,0.4,2.2,3.4,7.41
11,Kevin Bonifazi,1,0.0,1,0.3,0.3,0.3,0.0,0.3,0.3,7.35
12,Romelu Lukaku,23,2,2.8,1.5,0.6,0.6,0.6,1.9,1.9,7.3
13,Demba Thiam ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3
14,Andrea Ranocchia,0.0,0.0,0.6,0.1,0.3,0.6,0.0,0.0,0.4,7.29
15,Musa Barrow,9,2,3.6,1.9,1.9,0.7,0.1,1,3.3,7.28
16,Sergej Milinkovic-Savic,7,4,2.4,1.3,1.1,1.2,0.2,1.3,2.2,7.27
17,Rodrigo de Paul,7,6,2.5,2.3,1.8,2.2,0.1,1.4,2.1,7.25
18,Antonio Mirante,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,7.23
19,Robin Gosens,9,8,1.5,1.2,0.5,1.1,0.2,0.3,1.1,7.22
20,Radja Nainggolan,6,7,2.5,1.9,1.5,1.1,0.0,1.7,2.0,7.21
21,Theo Hernández,6,3,1.5,1.3,1.7,2.1,0.2,0.6,1.5,7.19
22,Hakan Calhanoglu,9,9,2.9,2.0,0.8,0.8,0.0,0.9,1.8,7.19
23,Jeremie Boga,11,2,1.7,1.0,3.9,1.6,0.3,1.4,1.9,7.17
24,Joaquín Correa,9,2,2.6,1.1,1.7,1.6,0.2,0.9,1.9,7.16
25,Marcelo Brozovic,3,6,1.7,1.2,0.8,0.6,0.0,0.6,1.2,7.15
26,Aleksandar Kolarov,7,3,2.3,1.8,0.6,0.9,0.1,0.3,0.7,7.14
27,Manuel Locatelli,0.0,5,1.0,1.5,1.5,1.8,0.0,0.9,1.2,7.13
28,Andrea Belotti,16,3,2.9,1.2,1.3,2.9,0.6,1.7,2.6,7.12
29,Dejan Kulusevski ,10,8,1.7,2.2,2.1,1.1,0.2,2.3,3.5,7.12
30,Stefano Sensi,3,2,2.4,1.2,1.0,1.2,0.0,0.9,1.3,7.11
31,Juan Cuadrado,2,5,0.6,1.3,1.3,2.4,0.1,0.8,1.0,7.11
32,Lorenzo Insigne,8,6,3.3,2.3,1.5,0.8,0.2,1.3,1.6,7.11
33,Rodrigo Bentancur,0.0,7,0.5,1.5,1.2,0.9,0.1,0.6,0.8,7.1
34,Henrikh Mkhitaryan,9,5,2,1.2,1.0,1.2,0.0,0.9,1.7,7.09
35,Filippo Falco,4,6,1.9,1.8,2.0,2.8,0.2,1.2,1.2,7.08
36,Sebastián Cristóforo,0.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,2.0,7.08
37,Francesco Caputo,21,7,2,1.5,0.6,1.3,0.6,1.2,1.6,7.08
38,Miralem Pjanic,3,6,0.7,1.9,0.5,0.8,0.0,0.4,0.9,7.08
39,Ismaël Bennacer,1,0.0,0.5,0.9,2.4,1.2,0.0,1.0,1.3,7.07
40,Diego Godín,1,1,0.5,0.4,0.7,0.7,0.1,0.5,0.4,7.07
41,Christian Kouamé,5,2,2,1.3,0.9,2.2,0.5,1.9,2.9,7.07
42,Riccardo Saponara,2,4,2,2.5,1.5,1.3,0.2,1.5,1.5,7.07
43,Federico Chiesa,10,6,3.3,1.4,1.5,1.4,0.2,1.4,1.9,7.05
44,Lorenzo Pellegrini,1,9,2.1,2.4,0.9,1.2,0.1,0.7,2.6,7.05
45,Merih Demiral,1,1,0.3,0.2,0.0,0.2,0.2,0.0,0.0,7.05
46,Simone Colombi ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05
47,João Pedro,18,4,2.4,0.9,0.7,2.1,0.3,1,2.4,7.05
48,Miguel Veloso,3,4,1.1,1.7,0.9,0.4,0.0,0.4,0.8,7.05
49,Franck Ribéry,3,3,1.1,1.7,2.5,1.9,0.1,2.4,2.7,7.04
50,Erick Pulgar,7,6,0.9,2.2,0.3,0.9,0.1,0.4,0.9,7.03
51,Andreas Cornelius ,12,3,1.8,0.8,0.5,1.2,0.1,1.4,2.4,7.03
52,Fabián Ruiz,3,6,2.2,1.5,1,0.8,0.0,0.9,0.9,7.03
53,Jesse Joronen,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.01
54,Chris Smalling,3,2,0.6,0.3,0.2,0.3,0.0,0.1,0.2,7.0
55,Ruslan Malinovskiy,8,3,2.3,1.4,1.4,1.6,0.1,1.2,1.6,7.0
56,Mauro Vigorito,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7.0
57,Marco Faraoni,5,3,1.2,0.9,0.8,1.1,0.1,0.4,1.2,6.99
58,Lautaro Martínez,14,3,3.6,0.9,1.1,2.1,0.6,1.3,2.9,6.99
59,Salvatore Bocchetti,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,6.98
60,Juraj Kucka ,6,3,1.8,0.7,1,2.1,0.1,1.2,1.7,6.98
61,Francesco Acerbi,2,2,0.4,0.2,0.4,1.1,0.1,0.2,0.3,6.98
62,Alex Sandro,1,3,0.6,1.1,1.3,1.6,0.0,0.6,0.8,6.97
63,Gastón Ramírez,7,2,1.5,1.3,1.8,1.6,0.1,1,1.9,6.96
64,José Luis Palomino,2,1,0.5,0.2,0.2,0.6,0.0,0.1,0.7,6.96
65,Dries Mertens,9,7,2.5,1.7,0.7,0.8,0.2,0.6,0.8,6.96
66,Wojciech Szczesny,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.96
67,Alessio Cragno,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,6.96
68,Ashley Young,4,4,0.8,1.2,0.8,1.2,0.2,0.2,0.8,6.96
69,Luis Muriel,18,1,2.3,1.1,0.9,0.8,0.1,1.2,1.9,6.95
70,Pietro Terracciano,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,6.95
71,Suso,1,2,1.9,2.6,1.6,1.8,0.1,1.4,1.1,6.94
72,Gaetano Castrovilli,3,2,1.5,1.1,2.8,2.4,0.0,1.9,2.6,6.94
73,Mario Pasalic,9,5,1.7,1.2,0.6,0.7,0.0,0.7,1.3,6.94
74,Kwadwo Asamoah,0.0,1,0.4,1.4,1.5,0.8,0.3,0.8,0.5,6.94
75,Alexis Sánchez,4,8,1,1.5,1,1.5,0.4,0.8,1.5,6.94
76,Robin Olsen,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,6.93
77,Juan Musso,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,6.93
78,Roberto Gagliardini,4,2,1.4,0.8,0.4,1.0,0.2,0.6,1.1,6.92
79,Stefan de Vrij,4,3,0.6,0.3,0.2,0.3,0.0,0.0,0.3,6.92
80,Giuseppe Pezzella,0.0,0.0,0.0,1.0,1,0.0,0.0,1,0.0,6.92
81,Bremer,3,1,0.5,0.2,0.6,0.7,0.1,0.3,0.6,6.92
82,Roberto Soriano,5,5,1.3,1.9,1,1.6,0.1,1,1.1,6.91
83,Berat Djimsiti,2,1,0.6,0.4,0.2,1.1,0.0,0.2,0.5,6.91
84,Marten de Roon,2,5,0.9,1.0,0.3,0.6,0.0,0.3,0.6,6.9
85,Seko Fofana,3,7,1.4,1.5,2.2,0.6,0.0,1,1.2,6.89
86,Riccardo Orsolini,8,6,2.4,1.5,1.4,2.1,0.4,1.3,2.3,6.89
87,Alex Berenguer,6,2,1.4,1.2,2.2,1.4,0.3,1.7,1.9,6.88
88,Arkadiusz Milik,11,0.0,2.6,0.8,0.3,1.1,0.5,0.6,1.5,6.88
