,Player,Tackles,Inter,Fouls,Offsides,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,Cristiano Ronaldo,0.4,0.2,0.8,0.0,0.6,0.1,0.0,31.0,5.0,6.3,1.5,1.6,1.8,0.9,1.0,2.2,5.0,1.5,36.5,85.1,0.2,0.9,0.0
1,Josip Ilicic,1.0,0.3,0.4,0.0,0.2,0.0,0.0,15.0,5.0,3.1,2.1,2.3,2.3,0.1,1.8,2.0,5.0,2.1,34.6,81.9,0.7,1.8,0.3
2,Ciro Immobile,0.2,0.3,1.0,0.0,0.2,0.1,0.0,36.0,9.0,3.8,1.6,0.6,1.0,0.6,0.8,2.6,9.0,1.6,23.9,77.0,0.0,0.9,0.1
3,Luis Alberto,1.4,0.6,0.6,0.0,0.2,0.0,0.0,6.0,15.0,2.7,2.9,2.0,1.1,0.0,1.3,1.4,15.0,2.9,57.6,83.5,1.2,3.1,0.4
4,Papu Gómez,0.8,0.5,0.5,0.0,0.1,0.0,0.0,7.0,16.0,2.6,2.8,1.8,2.1,0.1,1.1,1.6,16.0,2.8,47.8,85.3,1.8,2.1,0.1
5,Gianluca Pegolo,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,80.6,0.0,3.6,0.0
6,Zlatan Ibrahimovic,0.3,0.3,1.7,0.0,1.2,0.2,0.0,10.0,5.0,3.7,1.4,0.7,0.9,1.1,0.9,2.0,5.0,1.4,32.8,70.9,0.2,1.1,0.1
7,Edin Dzeko,0.5,0.2,1.1,0.0,0.9,0.1,0.0,16.0,7.0,3.5,1.5,1.0,1.4,0.5,1.1,2.4,7.0,1.5,22.0,69.9,0.1,1.5,0.1
8,Domenico Berardi,1.0,1.1,1.8,0.0,0.8,0.1,0.0,14.0,10.0,3.9,1.9,1.3,2.1,0.2,1.0,2.1,10.0,1.9,35.1,78.4,0.6,1.5,0.3
9,Paulo Dybala,0.6,0.4,0.7,0.0,0.0,0.0,0.0,11.0,6.0,3.0,2.1,2.0,1.6,0.2,1.2,1.8,6.0,2.1,42.2,88.1,0.8,2.2,0.1
10,Duván Zapata,0.3,0.1,1.3,0.0,0.3,0.3,0.0,18.0,6.0,3.2,1.4,0.8,1.6,0.4,2.2,3.4,6.0,1.4,19.6,79.6,0.3,0.4,0.0
11,Kevin Bonifazi,3.0,1.7,1.3,0.0,3.3,0.7,0.0,1.0,0.0,1.0,0.3,0.3,0.3,0.0,0.3,0.3,0.0,0.3,32.3,82.5,0.0,1.7,0.0
12,Romelu Lukaku,0.4,0.0,1.3,0.0,0.8,0.2,0.0,23.0,2.0,2.8,1.5,0.6,0.6,0.6,1.9,1.9,2.0,1.5,21.5,70.7,0.2,0.7,0.0
13,Demba Thiam ,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,74.6,0.0,4.5,0.0
14,Andrea Ranocchia,2.4,1.1,1.3,0.1,2.4,0.9,0.0,0.0,0.0,0.6,0.1,0.3,0.6,0.0,0.0,0.4,0.0,0.1,48.3,88.2,0.0,4.3,0.0
15,Musa Barrow,1.1,0.3,1.2,0.0,0.6,0.0,0.0,9.0,2.0,3.6,1.9,1.9,0.7,0.1,1.0,3.3,2.0,1.9,29.1,78.2,0.6,1.4,0.1
16,Sergej Milinkovic-Savic,1.6,1.0,1.9,0.0,1.6,0.4,0.0,7.0,4.0,2.4,1.3,1.1,1.2,0.2,1.3,2.2,4.0,1.3,45.8,77.2,0.3,3.2,0.1
17,Rodrigo de Paul,1.8,0.9,1.0,0.0,0.2,0.1,0.0,7.0,6.0,2.5,2.3,1.8,2.2,0.1,1.4,2.1,6.0,2.3,46.0,82.0,1.6,3.6,0.1
18,Antonio Mirante,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,28.2,80.1,0.0,7.0,0.0
19,Robin Gosens,1.6,1.1,0.9,0.2,1.0,0.3,0.0,9.0,8.0,1.5,1.2,0.5,1.1,0.2,0.3,1.1,8.0,1.2,38.0,78.4,0.6,1.1,0.0
20,Radja Nainggolan,1.2,0.5,0.8,0.0,1.1,0.2,0.0,6.0,7.0,2.5,1.9,1.5,1.1,0.0,1.7,2.0,7.0,1.9,39.8,79.8,0.8,4.4,0.2
21,Theo Hernández,1.7,1.3,1.0,0.3,1.5,0.2,1.0,6.0,3.0,1.5,1.3,1.7,2.1,0.2,0.6,1.5,3.0,1.3,49.8,84.3,0.4,1.9,0.0
22,Hakan Calhanoglu,1.2,0.7,1.1,0.0,0.7,0.1,0.0,9.0,9.0,2.9,2.0,0.8,0.8,0.0,0.9,1.8,9.0,2.0,41.5,84.0,0.9,1.9,0.1
23,Jeremie Boga,0.4,0.1,0.4,0.0,0.1,0.0,0.0,11.0,2.0,1.7,1.0,3.9,1.6,0.3,1.4,1.9,2.0,1.0,28.1,86.8,0.0,0.1,0.0
24,Joaquín Correa,0.4,0.2,0.6,0.0,0.3,0.0,0.0,9.0,2.0,2.6,1.1,1.7,1.6,0.2,0.9,1.9,2.0,1.1,22.2,81.7,0.1,0.7,0.0
25,Marcelo Brozovic,2.1,1.4,1.4,0.0,1.2,0.3,0.0,3.0,6.0,1.7,1.2,0.8,0.6,0.0,0.6,1.2,6.0,1.2,65.0,89.9,0.3,5.7,0.0
26,Aleksandar Kolarov,1.2,1.0,0.9,0.5,1.6,0.3,0.0,7.0,3.0,2.3,1.8,0.6,0.9,0.1,0.3,0.7,3.0,1.8,45.5,83.7,1.7,2.8,0.1
27,Manuel Locatelli,2.3,1.0,1.4,0.0,0.9,0.4,1.0,0.0,5.0,1.0,1.5,1.5,1.8,0.0,0.9,1.2,5.0,1.5,64.0,88.0,0.5,3.5,0.2
28,Andrea Belotti,0.8,0.1,1.8,0.0,0.5,0.1,1.0,16.0,3.0,2.9,1.2,1.3,2.9,0.6,1.7,2.6,3.0,1.2,19.7,68.8,0.2,0.6,0.0
29,Dejan Kulusevski ,1.1,0.6,1.5,0.0,0.4,0.0,0.0,10.0,8.0,1.7,2.2,2.1,1.1,0.2,2.3,3.5,8.0,2.2,29.4,80.5,0.3,0.8,0.1
30,Stefano Sensi,1.5,0.8,1.2,0.0,0.3,0.1,0.0,3.0,2.0,2.4,1.2,1.0,1.2,0.0,0.9,1.3,2.0,1.2,39.1,86.6,0.5,2.4,0.0
31,Juan Cuadrado,2.0,1.1,0.8,0.2,1.1,0.2,0.0,2.0,5.0,0.6,1.3,1.3,2.4,0.1,0.8,1.0,5.0,1.3,61.4,89.5,0.7,3.0,0.0
32,Lorenzo Insigne,0.6,0.8,0.2,0.0,0.1,0.0,0.0,8.0,6.0,3.3,2.3,1.5,0.8,0.2,1.3,1.6,6.0,2.3,44.4,85.4,0.6,2.0,0.1
33,Rodrigo Bentancur,1.9,1.1,1.8,0.1,0.9,0.3,0.0,0.0,7.0,0.5,1.5,1.2,0.9,0.1,0.6,0.8,7.0,1.5,52.1,88.9,0.7,2.0,0.1
34,Henrikh Mkhitaryan,1.5,0.5,0.8,0.0,0.2,0.1,0.0,9.0,5.0,2.0,1.2,1.0,1.2,0.0,0.9,1.7,5.0,1.2,30.5,84.1,0.1,1.4,0.1
35,Filippo Falco,0.4,0.1,0.4,0.0,0.0,0.0,0.0,4.0,6.0,1.9,1.8,2.0,2.8,0.2,1.2,1.2,6.0,1.8,29.5,87.8,1.1,1.6,0.0
36,Sebastián Cristóforo,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,2.0,0.0,3.0,46.0,89.1,2.0,2.0,0.0
37,Francesco Caputo,0.2,0.0,0.7,0.0,0.2,0.0,0.0,21.0,7.0,2.0,1.5,0.6,1.3,0.6,1.2,1.6,7.0,1.5,21.7,79.3,0.1,0.4,0.1
38,Miralem Pjanic,1.5,1.1,1.3,0.1,0.9,0.4,0.0,3.0,6.0,0.7,1.9,0.5,0.8,0.0,0.4,0.9,6.0,1.9,63.6,90.4,0.8,3.3,0.0
39,Ismaël Bennacer,2.2,1.7,1.5,0.0,0.4,0.2,0.0,1.0,0.0,0.5,0.9,2.4,1.2,0.0,1.0,1.3,0.0,0.9,56.8,88.3,0.4,3.4,0.0
40,Diego Godín,1.7,2.0,1.3,0.2,2.5,0.3,0.0,1.0,1.0,0.5,0.4,0.7,0.7,0.1,0.5,0.4,1.0,0.4,47.8,85.1,0.2,3.3,0.1
41,Christian Kouamé,0.2,0.1,1.8,0.0,1.0,0.2,0.0,5.0,2.0,2.0,1.3,0.9,2.2,0.5,1.9,2.9,2.0,1.3,21.3,73.5,0.1,0.3,0.0
42,Riccardo Saponara,0.9,0.4,0.7,0.0,0.4,0.0,0.0,2.0,4.0,2.0,2.5,1.5,1.3,0.2,1.5,1.5,4.0,2.5,36.1,80.4,0.7,2.0,0.1
43,Federico Chiesa,1.1,0.2,1.6,0.0,0.1,0.0,0.0,10.0,6.0,3.3,1.4,1.5,1.4,0.2,1.4,1.9,6.0,1.4,21.2,76.7,0.3,0.7,0.1
44,Lorenzo Pellegrini,1.1,0.6,1.5,0.0,0.6,0.0,0.0,1.0,9.0,2.1,2.4,0.9,1.2,0.1,0.7,2.6,9.0,2.4,38.7,81.1,2.0,2.1,0.3
45,Merih Demiral,1.3,0.7,0.8,0.3,2.5,0.5,0.0,1.0,1.0,0.3,0.2,0.0,0.2,0.2,0.0,0.0,1.0,0.2,52.5,92.1,0.2,1.0,0.0
46,Simone Colombi ,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,81.6,0.0,2.8,0.0
47,João Pedro,0.5,0.3,1.3,0.0,0.9,0.2,0.0,18.0,4.0,2.4,0.9,0.7,2.1,0.3,1.0,2.4,4.0,0.9,22.1,76.9,0.1,1.6,0.1
48,Miguel Veloso,1.5,0.9,1.0,0.0,1.1,0.4,0.0,3.0,4.0,1.1,1.7,0.9,0.4,0.0,0.4,0.8,4.0,1.7,46.6,82.3,1.5,2.7,0.0
49,Franck Ribéry,1.0,0.1,1.0,0.0,0.1,0.0,0.0,3.0,3.0,1.1,1.7,2.5,1.9,0.1,2.4,2.7,3.0,1.7,33.8,85.6,0.1,2.0,0.1
50,Erick Pulgar,2.0,1.3,1.1,0.0,1.3,0.4,0.0,7.0,6.0,0.9,2.2,0.3,0.9,0.1,0.4,0.9,6.0,2.2,40.2,88.0,1.6,2.4,0.1
51,Andreas Cornelius ,0.3,0.1,1.6,0.0,1.0,0.0,0.0,12.0,3.0,1.8,0.8,0.5,1.2,0.1,1.4,2.4,3.0,0.8,15.7,66.7,0.1,0.4,0.0
52,Fabián Ruiz,1.3,1.0,0.6,0.0,0.5,0.1,0.0,3.0,6.0,2.2,1.5,1.0,0.8,0.0,0.9,0.9,6.0,1.5,70.6,90.7,0.2,3.9,0.2
53,Jesse Joronen,0.1,0.2,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,23.8,61.3,0.0,5.1,0.0
54,Chris Smalling,0.8,1.9,1.1,0.7,4.0,1.2,0.0,3.0,2.0,0.6,0.3,0.2,0.3,0.0,0.1,0.2,2.0,0.3,48.0,90.5,0.0,2.4,0.0
55,Ruslan Malinovskiy,0.6,0.1,0.9,0.0,0.1,0.1,0.0,8.0,3.0,2.3,1.4,1.4,1.6,0.1,1.2,1.6,3.0,1.4,26.3,82.5,0.8,1.2,0.1
56,Mauro Vigorito,0.0,0.0,0.2,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,24.2,68.6,0.0,6.0,0.0
57,Marco Faraoni,1.9,1.0,0.9,0.1,2.8,0.4,0.0,5.0,3.0,1.2,0.9,0.8,1.1,0.1,0.4,1.2,3.0,0.9,35.9,73.4,0.9,2.4,0.0
58,Lautaro Martínez,0.6,0.4,1.5,0.0,0.3,0.1,0.0,14.0,3.0,3.6,0.9,1.1,2.1,0.6,1.3,2.9,3.0,0.9,13.7,63.0,0.0,0.6,0.0
59,Salvatore Bocchetti,1.0,3.2,1.0,0.2,4.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,32.6,81.6,0.0,1.2,0.0
60,Juraj Kucka ,1.7,1.1,2.0,0.0,1.2,0.2,0.0,6.0,3.0,1.8,0.7,1.0,2.1,0.1,1.2,1.7,3.0,0.7,26.1,71.4,0.2,1.3,0.1
61,Francesco Acerbi,1.6,1.2,0.7,0.3,2.8,0.8,0.0,2.0,2.0,0.4,0.2,0.4,1.1,0.1,0.2,0.3,2.0,0.2,56.2,89.9,0.2,5.9,0.1
62,Alex Sandro,1.5,1.6,1.4,0.1,1.3,0.2,0.0,1.0,3.0,0.6,1.1,1.3,1.6,0.0,0.6,0.8,3.0,1.1,58.3,87.0,0.6,2.4,0.1
63,Gastón Ramírez,1.2,0.4,1.2,0.0,0.3,0.1,0.0,7.0,2.0,1.5,1.3,1.8,1.6,0.1,1.0,1.9,2.0,1.3,21.0,80.2,0.9,1.0,0.1
64,José Luis Palomino,2.7,2.0,1.6,0.5,2.3,0.5,1.0,2.0,1.0,0.5,0.2,0.2,0.6,0.0,0.1,0.7,1.0,0.2,44.8,84.5,0.1,2.7,0.0
65,Dries Mertens,0.4,0.2,0.9,0.0,0.1,0.0,0.0,9.0,7.0,2.5,1.7,0.7,0.8,0.2,0.6,0.8,7.0,1.7,20.3,81.9,0.7,0.8,0.1
66,Wojciech Szczesny,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,20.7,83.8,0.0,3.9,0.0
67,Alessio Cragno,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,24.8,58.3,0.0,5.1,0.0
68,Ashley Young,0.6,0.8,0.4,0.0,1.0,0.2,0.0,4.0,4.0,0.8,1.2,0.8,1.2,0.2,0.2,0.8,4.0,1.2,27.3,82.1,0.4,1.0,0.1
69,Luis Muriel,0.4,0.1,0.8,0.0,0.0,0.0,0.0,18.0,1.0,2.3,1.1,0.9,0.8,0.1,1.2,1.9,1.0,1.1,14.1,72.1,0.3,0.4,0.0
70,Pietro Terracciano,0.0,0.0,0.1,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.1,24.6,64.0,0.0,4.3,0.0
71,Suso,0.4,0.5,0.6,0.0,0.1,0.0,0.0,1.0,2.0,1.9,2.6,1.6,1.8,0.1,1.4,1.1,2.0,2.6,40.5,83.2,1.4,2.3,0.2
72,Gaetano Castrovilli,1.8,0.5,2.0,0.1,0.7,0.1,0.0,3.0,2.0,1.5,1.1,2.8,2.4,0.0,1.9,2.6,2.0,1.1,32.5,81.2,0.2,1.3,0.1
73,Mario Pasalic,1.3,0.8,1.0,0.0,0.6,0.2,1.0,9.0,5.0,1.7,1.2,0.6,0.7,0.0,0.7,1.3,5.0,1.2,40.1,88.2,0.1,2.9,0.0
74,Kwadwo Asamoah,1.3,1.1,0.8,0.0,1.5,0.1,0.0,0.0,1.0,0.4,1.4,1.5,0.8,0.3,0.8,0.5,1.0,1.4,38.9,83.0,0.1,1.1,0.0
75,Alexis Sánchez,0.4,0.1,0.9,0.0,0.0,0.0,0.0,4.0,8.0,1.0,1.5,1.0,1.5,0.4,0.8,1.5,8.0,1.5,16.3,75.5,0.7,1.3,0.0
76,Robin Olsen,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,25.0,61.6,0.0,6.0,0.0
77,Juan Musso,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,26.3,72.9,0.0,6.1,0.0
78,Roberto Gagliardini,1.6,1.3,1.4,0.0,0.8,0.3,0.0,4.0,2.0,1.4,0.8,0.4,1.0,0.2,0.6,1.1,2.0,0.8,38.4,85.0,0.2,1.9,0.0
79,Stefan de Vrij,1.0,1.5,1.1,0.5,3.4,0.7,0.0,4.0,3.0,0.6,0.3,0.2,0.3,0.0,0.0,0.3,3.0,0.3,48.9,91.8,0.0,2.9,0.0
80,Giuseppe Pezzella,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,35.0,71.4,1.0,1.0,0.0
81,Bremer,2.3,2.7,1.2,0.5,4.1,0.8,0.0,3.0,1.0,0.5,0.2,0.6,0.7,0.1,0.3,0.6,1.0,0.2,42.0,80.3,0.0,3.3,0.0
