,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,Lionel Messi,0.6,0.2,0.6,0.0,0.0,0.0,25.0,21.0,4.8,2.7,5.5,2.1,0.4,2.4,2.1,21.0,2.7,59.8,82.6,0.8,2.2,0.6
1,Guillermo Maripán,1.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,75.0,0.0,1.0,0.0
2,Casemiro,2.7,1.9,2.5,1.9,0.3,0.0,4.0,3.0,1.3,0.4,0.8,1.9,0.1,0.8,0.7,3.0,0.4,61.5,84.1,0.2,6.5,0.0
3,Karim Benzema,0.5,0.2,0.6,0.8,0.1,0.0,21.0,8.0,3.4,1.6,1.0,0.4,0.7,1.1,1.7,8.0,1.6,34.7,86.2,0.0,1.4,0.1
4,Luis Suárez,0.1,0.0,0.5,0.4,0.0,0.0,16.0,8.0,2.8,0.9,0.8,0.9,0.6,0.9,1.2,8.0,0.9,23.4,75.5,0.1,0.9,0.0
5,Mikel Merino,2.2,1.4,2.1,1.4,0.2,0.0,5.0,1.0,1.2,0.9,1.0,2.5,0.1,1.4,1.6,1.0,0.9,53.7,75.8,0.2,2.2,0.0
6,Gerard Moreno,0.5,0.3,1.0,1.4,0.1,0.0,18.0,5.0,2.5,1.4,1.7,1.4,0.5,1.3,2.6,5.0,1.4,27.5,74.5,0.3,1.9,0.1
7,Eden Hazard,0.4,0.4,0.8,0.0,0.0,0.0,1.0,3.0,1.2,1.3,3.1,3.1,0.1,2.1,1.8,3.0,1.3,35.9,85.9,0.2,1.4,0.0
8,Nabil Fekir,1.3,0.3,2.2,0.1,0.1,0.0,7.0,4.0,3.2,1.3,3.1,3.5,0.4,1.9,2.6,4.0,1.3,29.8,83.9,0.5,1.2,0.0
9,Saúl Ñíguez,2.7,1.6,1.8,1.6,0.4,0.0,6.0,0.0,1.3,0.4,0.8,0.7,0.2,0.9,1.1,0.0,0.4,47.7,79.3,0.1,2.2,0.1
