,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
0,Aaron Herzog,23,Midfielder,Borussia M'gladbach,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Aarón Martín,24,Defender,Mainz 05,1797,797,1000,Spain,22,9,13,0,0,0,0,0,0,0,0,2,0,2,48,20,28,2,0,0,0,0,0,0,0,2.4,37,82,899,0,0.1,296,300,142,24,1.3,1.4,0.8,1.3,0.6,0.2,0,0,0,0.4,1.5,0.9,0.5,0.1,0.7,0.7,0,1.5,27.3,79.7,1.5,0.9,0
2,Abdelhamid Sabiri,24,Midfielder,Paderborn,1037,580,457,Morocco,24,12,12,4,3,1,1,1,0,1,0,4,1,3,23,14,9,6,0,0.43,0.09,0.35,0.47,0.2,259,2,45,43,173,1037,0.52,55,171,-1,4,0.8,0.3,1.1,0.8,0.8,0.1,0,4,1,1.8,0.3,1,1.1,0,1.1,1.2,1,0.3,18,79.6,0,1.5,0
3,Achraf Hakimi Mouh,22,Defender,Borussia Dortmund,2715,1344,1371,Morocco,33,17,16,5,0,5,10,6,4,0,0,14,9,5,34,11,23,5,0,0.5,0.33,0.17,0,0.33,543,1.13,80,82,543,272,0.17,114,21,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Adam Bodzek,35,Defender,Fortuna Düsseldorf,2017,1002,1015,Germany,28,15,13,0,0,0,0,0,0,0,0,4,3,1,44,18,26,10,0,0,0,0,0,0,0,1.96,46,72,202,0,0.45,241,255,126,16,1.5,0.9,1.1,1.4,1.1,0.4,0,0,0,0.3,0.3,0.1,1.2,0,0.4,0.6,0,0.3,25.2,80.9,0,2.1,0
5,Ádám Szalai,33,Forward,Mainz 05,1139,692,447,Hungary,27,14,13,1,1,0,1,0,1,0,0,5,2,3,20,8,12,1,0,0.16,0.08,0.08,0.13,0,1139,1.58,57,42,1139,1139,0.08,178,183,-1,11,0.3,0.1,0.9,0.5,0.4,0,0,1,1,1.1,0.5,0.4,0.9,0.3,1.4,1.5,1,0.5,10.9,61,0,0.1,0
6,Ademola Lookman,23,Forward,RB Leipzig,299,132,167,England,11,5,6,0,0,0,0,0,0,0,0,4,0,4,4,3,1,0,0,0,0,0,0,0,0,1.2,75,27,0,0,0,286,280,-1,21,0.5,0.1,0.7,0,0,0,0,0,0,0.9,0.6,0.7,0.4,0,0.8,0.9,0,0.6,11.6,82,0,0.2,0
7,Admir Mehmedi,30,Forward,Wolfsburg,1205,558,647,Switzerland,21,10,11,2,2,0,2,1,1,0,0,7,3,4,14,8,6,0,0,0.3,0.15,0.15,0.32,0,603,1.05,86,57,0,603,0,126,102,-1,10,0.7,0.2,1.2,0.1,0.5,0,0,2,2,1.1,0.9,0.3,1.2,0.4,0.9,1,2,0.9,24.6,74.9,0.6,0.9,0
8,Adrian Oeynhausen,19,Midfielder,Paderborn,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Adrian Stanilewicz,21,Midfielder,Bayer Leverkusen,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Ahmed Kutucu,21,Forward,Schalke 04,660,393,267,Germany,25,15,10,3,2,1,2,1,1,0,0,4,3,1,17,8,9,2,0,0.68,0.27,0.41,0.46,0.34,220,2.32,39,26,330,330,0.27,40,35,-1,4,0.4,0.1,0.4,0.2,0.4,0,0,3,2,0.6,0.3,0.8,0.2,0.2,0.7,0.8,2,0.3,6.5,71.6,0,0.1,0
11,Ahmet Gürleyen,22,Defender,Mainz 05,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Akaki Gogia,29,Midfielder,Union Berlin,120,76,44,Germany,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.75,120,40,0,0,0,-1,-1,-1,15,0.7,0,0.7,0,0.7,0.7,0,0,0,0.3,1.3,1.7,1,0,0,1.7,0,1.3,13.7,70.7,0.3,0,0
13,Alaa Bakir,20,Forward,Borussia Dortmund,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Alassane Pléa,28,Forward,Borussia M'gladbach,2150,1082,1068,France,27,14,13,10,5,5,10,6,4,0,1,6,2,4,23,12,11,4,2,0.84,0.42,0.42,0.42,0.42,215,0.96,93,80,538,215,0.17,36,10,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Aleksandar Dragović,30,Defender,Bayer Leverkusen,1027,515,512,Austria,15,8,7,0,0,0,0,0,0,0,0,4,1,3,17,11,6,7,1,0,0,0,0,0,0,1.49,60,68,147,0,0.61,380,377,69,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Alessandro Schöpf,27,Midfielder,Schalke 04,1426,748,678,Austria,22,11,11,0,0,0,1,0,1,0,0,5,3,2,30,16,14,3,0,0.06,0.06,0,0,0,0,1.89,48,65,475,1426,0.19,271,214,-1,17,1.3,1.2,0.9,0.3,1,0,0,0,1,0.7,0.5,1,0.8,0,1.8,2.1,1,0.5,29.3,82.8,0.1,0.8,0
17,Alexander Esswein,31,Midfielder,Hertha BSC,209,56,153,Germany,7,2,5,0,0,0,0,0,0,0,0,1,1,0,5,3,2,1,0,0,0,0,0,0,0,2.15,42,30,209,0,0.43,-1,-1,-1,26,0.9,1,0.7,0.9,0.7,0.1,0,0,0,0.3,0.4,0.1,0.9,0,0.1,0.3,0,0.4,10.6,64.9,0.1,0.3,0
18,Alexander Hack,27,Defender,Mainz 05,802,335,467,Germany,14,6,8,0,0,0,0,0,0,0,0,1,0,1,26,6,20,2,0,0,0,0,0,0,0,2.92,31,57,401,0,0.22,298,302,149,18,1.9,1.6,0.9,4.1,0.8,0.6,0,0,0,0.6,0.3,0.2,0.9,0,0,0.4,0,0.3,30,77.4,0,3.1,0
19,Alexander Nübel,24,Goalkeeper,Schalke 04,2316,1146,1170,Germany,26,13,13,0,0,0,0,0,0,0,0,6,3,3,39,20,19,2,1,0,0,0,0,0,0,1.52,59,89,772,0,0.12,388,388,74,21,0,0.1,0,0.8,0,0,1,0,0,0,0,0,0.2,0,0,0.1,0,0,34.2,68.4,0,6.3,0
