,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
0,Aaron Ramsey,30,Midfielder,Juventus,1049,587,462,Wales,24,12,12,3,2,1,1,1,0,0,0,7,5,2,12,3,9,2,0,0.34,0.09,0.26,0.31,0.19,350,1.03,87,44,525,1049,0.17,80,181,-1,5,0.8,0.5,0.9,0.5,0.1,0,3,1,1.2,0.8,0.6,0.8,0.1,0.8,1.2,1,0.8,29.6,88,0,0.5,0
1,Abdoulaye Traorè,21,Forward,Hellas Verona,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Adam Marušić,28,Defender,Lazio,940,500,440,Montenegro,15,9,6,2,1,1,1,0,1,0,0,7,5,2,10,4,6,3,0,0.29,0.1,0.19,0.18,0.2,470,0.96,94,63,313,940,0.29,109,152,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Adrien Rabiot,26,Midfielder,Juventus,1917,1110,807,France,28,15,13,1,0,1,1,1,0,0,0,9,7,2,20,8,12,7,1,0.09,0.05,0.05,0,0.11,1917,0.94,96,68,274,1917,0.33,230,226,-1,12,1.7,1.1,1.8,0.5,0.2,0,1,1,0.7,0.5,1.3,1,0,0.9,1.2,1,0.5,39,90,0.1,0.9,0
4,Adrien Tameze,26,Midfielder,Atalanta,206,91,115,France,7,2,5,0,0,0,0,0,0,0,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0.87,103,29,0,0,0,-1,-1,-1,16,0.6,0.4,0.7,0.6,0.1,0,0,0,0,0.4,0.7,0.3,0,0.4,0,0,0.4,28,90.3,0,0.9,0
5,Alan Pereira Empereur,27,Defender,Hellas Verona,852,410,442,Brazil,13,6,7,0,0,0,0,0,0,0,0,0,0,0,14,5,9,3,0,0,0,0,0,0,0,1.48,61,66,284,0,0.32,423,430,116,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Alberto Cerri,25,Forward,SPAL,655,279,376,Italy,19,9,10,2,2,0,0,0,0,0,0,2,0,2,22,12,10,2,0,0.27,0,0.27,0.65,0,328,3.02,30,34,328,0,0.27,77,342,-1,6,0.3,0.2,0.4,0.4,0,0,1,0,0.6,0.3,0.3,0.4,0.2,0.4,0.4,0,0.3,8.7,64.6,0,0.2,0
7,Alberto Grassi,26,Midfielder,Parma,636,351,285,Italy,16,9,7,1,1,0,1,0,1,0,0,4,2,2,12,4,8,6,0,0.28,0.14,0.14,0.26,0,636,1.7,53,40,106,636,0.85,143,108,-1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Alberto Paloschi,31,Forward,Cagliari,637,295,342,Italy,17,9,8,0,0,0,0,0,0,0,0,3,2,1,10,5,5,0,0,0,0,0,0,0,0,1.41,64,37,0,0,0,401,408,-1,20,0,0.1,0.4,0.4,0,0,0,0,0.4,0.3,0.1,0.3,0.4,0.3,1.4,0,0.3,5.4,81.6,0,0.1,0
9,Albin Ekdal,31,Midfielder,Sampdoria,2386,1206,1180,Sweden,32,16,16,0,0,0,2,1,1,0,0,9,6,3,39,16,23,8,0,0.08,0.08,0,0,0,0,1.47,61,75,298,1193,0.3,449,185,-1,25,1.6,1,1.3,1.3,0.4,0,0,2,0.5,0.7,0.8,1.8,0,0.8,1.1,2,0.7,35.8,85.9,0.1,1.4,0
10,Alejandro Gómez,33,Midfielder,Atalanta,2860,1394,1466,Argentina,36,18,18,7,3,4,16,9,7,0,0,10,5,5,35,19,16,2,0,0.72,0.5,0.22,0.19,0.25,409,1.1,82,79,1430,179,0.06,93,4,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Aleksa Terzić,21,Defender,Fiorentina,6,6,0,Serbia,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,-1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Aleksandar Kolarov,35,Defender,Roma,2730,1560,1170,Serbia,32,19,13,7,2,5,3,1,2,2,2,7,2,5,35,24,11,6,0,0.33,0.1,0.23,0.12,0.38,390,1.15,78,85,455,910,0.2,89,161,61,3,1.2,1,0.9,1.6,0.3,0,7,3,2.3,1.8,0.6,0.9,0.1,0.3,0.7,3,1.8,45.5,83.7,1.7,2.8,0.1
13,Aleš Matějů,24,Defender,Brescia,2548,1281,1267,Czech Republic,31,15,16,0,0,0,1,1,0,0,0,5,3,2,53,22,31,10,1,0.04,0.04,0,0,0,0,1.87,48,82,255,2548,0.35,299,251,168,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Alessandro Bastoni,22,Defender,Inter Milan,1922,1033,889,Italy,25,13,12,2,0,2,0,0,0,0,0,7,4,3,23,12,11,9,1,0.09,0,0.09,0,0.2,961,1.08,84,77,214,0,0.42,194,305,43,11,1.3,1,1.5,1.8,0.4,0,2,0,0.3,0.5,0.4,1.1,0,0.3,0.5,0,0.5,56.4,88.9,0.1,4.2,0
15,Alessandro Berardi,30,Goalkeeper,Hellas Verona,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Alessandro Buongiorno,21,Defender,Torino,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Alessandro Deiola,25,Midfielder,Lecce,718,345,373,Italy,11,6,5,1,1,0,1,1,0,0,0,2,1,1,18,8,10,3,0,0.25,0.13,0.13,0.26,0,718,2.26,40,65,239,718,0.38,150,114,-1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
