,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
0,Aarón Escandell Banacloche,25,Goalkeeper,Granada CF,270,90,180,Spain,3,1,2,0,0,0,0,0,0,0,0,1,0,1,3,2,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Abdallahi Mohamed Mahmoud,21,Defender,Deportivo Alavés,150,25,125,Mauritania,3,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1.8,50,50,150,0,0.6,-1,-1,-1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Abdón Prats Bastidas,28,Forward,RCD Mallorca,260,124,136,Spain,20,9,11,0,0,0,0,0,0,0,1,1,1,0,4,1,3,1,0,0,0,0,0,0,0,1.38,65,13,260,0,0.35,-1,-1,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Abdul Rahman Baba,26,Defender,RCD Mallorca,109,90,19,Ghana,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0.83,109,55,109,0,0.83,-1,-1,-1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Adnan Januzaj,26,Midfielder,Real Sociedad,1164,537,627,Belgium,24,13,11,3,2,1,3,1,2,0,0,6,5,1,13,4,9,3,0,0.46,0.23,0.23,0.34,0.14,388,1.01,90,49,388,388,0.23,75,35,-1,7,0.3,0.3,1,0,0,0,3,3,1,1,1.5,1.6,0.1,1.3,2.1,3,1,17.6,70.4,0.6,1.3,0.1
5,Adrià Giner Pedrosa,22,Defender,RCD Espanyol,1081,601,480,Spain,20,11,9,1,0,1,0,0,0,0,0,3,1,2,17,10,7,3,0,0.08,0,0.08,0,0.19,1081,1.42,64,54,360,0,0.25,178,294,142,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Adrián,34,Goalkeeper,CA Osasuna,1453,854,599,Spain,26,14,12,2,1,1,0,0,0,1,0,5,4,1,20,13,7,0,0,0.12,0,0.12,0.11,0.15,727,1.24,73,56,0,0,0,145,290,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Adrián Embarba Blázquez,28,Forward,RCD Espanyol,1381,649,732,Spain,18,9,9,2,0,2,4,3,1,1,0,4,3,1,18,8,10,4,0,0.39,0.26,0.13,0,0.25,691,1.17,77,77,345,345,0.26,140,26,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Adrián Guerrero,23,Midfielder,Valencia CF,126,82,44,Spain,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,2.14,42,63,126,0,0.71,-1,-1,-1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Adrián Marín Gómez,24,Defender,Deportivo Alavés,852,288,564,Spain,12,5,7,0,0,0,0,0,0,0,0,2,2,0,17,5,12,1,0,0,0,0,0,0,0,1.8,50,71,852,0,0.11,418,347,174,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Aihen Muñoz Capellán,23,Midfielder,Real Sociedad,980,357,623,Spain,15,7,8,0,0,0,0,0,0,0,0,4,3,1,11,4,7,1,0,0,0,0,0,0,0,1.01,89,65,980,0,0.09,314,323,-1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Aimar Oroz,19,Midfielder,CA Osasuna,10,10,0,Spain,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,-1,31,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80,0,1,0
12,Aïssa Mandi,29,Defender,Real Betis,2578,1433,1145,Algeria,29,16,13,0,0,0,0,0,0,0,0,6,3,3,34,20,14,10,0,0,0,0,0,0,0,1.19,76,89,258,0,0.35,284,315,91,23,1.1,1.3,1,3,0.5,0,0,0,0.4,0.2,0.2,0.6,0.2,0.2,0.3,0,0.2,62,89.7,0,4.7,0
13,Aitor Fernández Abarisketa,29,Goalkeeper,Levante UD,3240,1620,1620,Spain,36,18,18,0,0,0,0,0,0,0,0,5,4,1,51,19,32,2,0,0,0,0,0,0,0,1.42,64,90,1620,0,0.06,372,350,143,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Aitor Ruibal García,25,Forward,Leganés,1216,557,659,Spain,25,11,14,0,0,0,0,0,0,0,0,7,3,4,11,4,7,5,0,0,0,0,0,0,0,0.81,111,49,243,0,0.37,287,374,-1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Alberto Moreno,28,Defender,Villarreal,1474,690,784,Spain,18,8,10,0,0,0,0,0,0,0,0,6,2,4,20,13,7,6,0,0,0,0,0,0,0,1.22,74,82,246,0,0.37,406,265,100,19,1.5,1.4,1.1,1.7,0.2,0,0,0,0.5,0.6,0.8,0.4,0,0.6,1.5,0,0.6,42.2,86.7,0.4,1.4,0
