,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Kevin De Bruyne,1.3,0.5,0.7,,0.7,1.4,0.1,,7.97
1,Bruno Fernandes,1.6,0.8,0.6,,1.0,2.4,,,7.73
2,Ricardo Pereira,4.3,1.8,1.6,0.3,2.6,1.9,0.2,,7.5
3,Adama Traoré,0.9,0.4,1.1,,0.4,0.4,0.1,,7.49
4,Riyad Mahrez,0.8,0.5,0.4,,0.2,0.8,,,7.48
5,Sadio Mané,1.3,0.4,1.3,,0.2,0.8,,,7.45
6,Mohamed Salah,0.5,0.2,0.5,,0.1,0.5,,,7.4
7,Raheem Sterling,0.8,0.5,0.9,,0.1,0.7,0.1,,7.35
8,Marcus Rashford,0.4,0.3,0.7,,0.5,0.5,,,7.35
9,James Maddison,1.9,0.3,1.2,,0.2,1.5,,,7.34
10,Harry Kane,0.6,0.2,1.3,,1.0,0.4,0.2,,7.33
11,Virgil van Dijk,0.6,1.1,0.4,1,4.3,0.2,0.4,,7.32
12,Anthony Martial,0.5,0.2,0.9,,0.5,0.5,,,7.31
13,Willian,1.3,0.6,0.5,,0.2,0.8,,,7.31
14,Marcos Alonso,1.6,1.1,0.9,0.2,1.4,1.1,0.1,,7.3
15,Michail Antonio,0.5,0.4,1.7,,0.2,0.4,0.1,,7.29
16,Allan Saint-Maximin,0.5,0.3,0.7,,0.2,0.5,0.1,,7.29
17,Joel Matip,1.4,1.3,0.8,1,4.1,0.8,0.4,,7.29
18,David Silva,1.0,0.5,0.7,,0.2,0.7,0.1,,7.29
19,Gabriel Jesus,0.5,0.3,0.8,,0.2,0.5,,,7.26
20,Raúl Jiménez,0.5,0.4,1.0,,0.8,0.7,,,7.25
21,Son Heung-Min,0.8,0.6,0.6,,0.6,1.6,,,7.24
22,Jack Grealish,0.8,0.6,0.9,,0.3,0.6,0.3,,7.23
23,Wilfred Ndidi,4.0,2.5,1.8,,1.9,1.4,0.2,,7.23
24,Jamie Vardy,0.4,0.1,0.6,,0.6,0.1,0.1,,7.22
25,João Cancelo,2.4,1.2,1.0,0.1,0.9,0.9,0.1,,7.21
26,Trent Alexander-Arnold,1.4,1.2,0.6,0.5,1.8,1.1,0.2,,7.2
27,Aaron Wan-Bissaka,3.7,1.9,0.6,0.4,1.7,0.6,0.4,,7.19
28,Richarlison,1.9,0.3,1.2,,1.1,0.8,0.1,,7.19
29,Willy Boly,2.6,1.8,1.1,0.1,4.7,0.8,0.5,,7.19
30,James Tarkowski,1.7,1.7,1.3,0.4,5.3,0.6,1.2,,7.19
31,Paul Pogba,1.3,0.4,1.6,,0.6,0.5,0.3,,7.18
32,Christian Pulisic,0.9,0.2,0.6,,0.3,0.7,,,7.18
33,Sergio Agüero,0.3,0.1,0.4,,0.1,0.3,,,7.16
34,Lucas Digne,2.1,1.2,1.2,0.2,2.7,1.0,0.3,1,7.16
35,James Ward-Prowse,2.4,1.6,1.5,0.1,1.9,1.4,0.4,,7.15
36,Jordan Henderson,2.1,1.0,1.0,0.1,0.6,1.1,0.1,,7.15
37,Tomas Soucek,2.2,1.7,0.8,,2.6,1.0,0.1,1,7.14
38,Roberto Firmino,1.0,0.2,0.8,0.1,0.3,0.9,0.1,,7.14
39,César Azpilicueta,2.4,1.9,1.1,0.1,2.3,0.9,0.6,,7.12
40,Harry Maguire,1.0,1.9,0.9,0.4,4.1,0.4,0.6,,7.12
41,Danny Ings,1.1,0.2,0.9,,0.6,1.4,0.1,,7.12
42,Andrew Robertson,1.5,1.1,0.5,0.5,1.6,0.9,0.2,,7.11
43,Dejan Lovren,1.3,1.0,0.4,1.7,4.1,0.5,0.6,,7.09
44,Rodri,1.4,0.7,1.2,0.1,0.9,1.1,0.1,,7.09
45,Sébastien Haller,0.7,0.3,1.4,,0.8,0.8,0.2,,7.08
46,Emiliano Buendía,2.3,0.6,1.0,,0.7,2.2,0.1,,7.08
47,Luke Thomas,0.3,1.0,0.3,1.3,2.3,1.0,,,7.07
48,Nicolas Pépé,1.0,0.3,0.5,,0.1,0.3,0.1,,7.06
49,Serge Aurier,2.8,1.4,1.2,0.2,2.5,0.9,0.2,1,7.06
50,Dwight McNeil,1.2,0.8,0.8,,0.7,1.3,0.2,,7.06
51,Diego Rico,2.3,3.1,0.7,0.2,2.2,1.1,0.3,,7.06
52,Troy Deeney,0.7,0.4,1.4,,1.0,0.9,,,7.05
53,Çaglar Söyüncü,1.8,1.3,0.9,0.6,4.4,0.6,0.6,,7.04
54,Bernardo Silva,1.1,0.7,0.7,,0.4,0.9,,,7.03
55,Pierre-Emerick Aubameyang,0.9,0.4,0.4,,0.4,1.1,,,7.03
56,Emiliano Martínez,,,,,0.2,,,,7.02
57,João Moutinho,2.4,1.3,1.1,,0.5,2.4,0.3,,7.01
58,Declan Rice,3.1,2,1.1,,1.3,1.3,0.2,,7.01
59,Nemanja Matic,2.2,1,1.3,,1.2,1.1,0.4,,7.0
60,John McGinn,1.9,0.9,1.3,,0.5,1.5,,,7.0
61,Aymeric Laporte,0.9,1.3,0.6,0.7,1.7,0.3,0.3,,7.0
62,Japhet Tanganga,2.8,1.8,1.3,0.3,4.8,1.2,1,,7.0
63,Jarrod Bowen,1.5,1.2,0.3,,0.3,1,,,6.99
64,Matt Doherty,1.5,1.1,0.8,0.1,1.3,0.4,0.1,,6.99
65,Hugo Lloris,,,,,0.6,,,,6.98
66,Wilfried Zaha,1.1,0.5,1.3,,0.1,1,0.1,,6.98
67,Chris Basham,2.2,2,0.7,0.3,4.4,0.9,0.4,,6.98
68,Jonjo Shelvey,1.1,0.9,0.7,,1.3,1.2,0.2,,6.97
69,Lucas Moura,1.6,0.4,0.9,,0.7,1.2,0.1,,6.96
70,Ben Chilwell,1.6,1.0,1.1,0.2,2.0,1.1,0.2,,6.96
71,Nathan Redmond,1.5,0.5,0.7,,0.3,1.1,0.1,,6.96
72,Felipe Anderson,1.8,0.9,0.7,,0.4,1.4,,,6.96
73,Pablo Marí,1.0,0.5,1.0,0.5,4.5,,,,6.95
74,Mateo Kovacic,2.0,0.7,0.6,,0.5,1.3,,,6.94
75,Naby Keïta,1.7,0.6,0.5,,0.1,0.8,,,6.94
76,Shkodran Mustafi,1.1,1.2,0.9,0.3,4.7,0.4,0.4,,6.94
77,John Egan,1.2,1.6,0.9,0.4,4.6,0.6,0.8,,6.93
78,Jack O'Connell,0.7,1.3,0.6,0.4,4.4,0.3,0.5,,6.93
79,Jordan Ayew,1.3,0.4,1.6,,0.5,0.9,0.1,,6.93
80,Alexandre Lacazette,1.0,0.2,1.5,,0.5,0.5,,,6.92
81,Djibril Sidibé,3.3,1.6,1.0,0.1,1.3,1.2,0.1,,6.92
82,Scott McTominay,1.6,1.1,1.3,,1.2,0.6,0.2,,6.92
83,Phil Bardsley,2.3,1.4,1.7,0.1,3.1,0.6,0.5,,6.92
84,Mason Mount,1.0,0.4,1.0,,0.5,0.9,0.1,,6.91
85,Kurt Zouma,0.8,2.1,1.1,0.4,4.0,0.3,0.5,1,6.91
86,Etienne Capoue,2.5,2.3,1.9,,1.9,1.6,0.4,,6.91
87,Tammy Abraham,0.2,0.2,0.5,,0.8,0.3,0.1,1,6.91
88,Kyle Walker,1.0,1.0,0.9,0.2,1.2,0.6,0.2,,6.9
89,Reece James,1.5,0.9,0.9,0.1,0.9,0.8,0.3,,6.9
90,Jonny Evans,1.3,1.5,0.9,0.4,4.5,0.3,0.5,1,6.9
91,N'Golo Kanté,2.0,2.0,2.0,,1.4,0.9,0.2,,6.9
92,Gerard Deulofeu,1.2,0.9,1.0,,0.2,1.7,,,6.9
93,Philip Billing,2.1,1.9,1.1,,2.8,1.4,0.5,,6.9
94,Dan Burn,2.0,1.2,0.9,0.3,3.6,0.8,0.6,,6.9
95,Olivier Giroud,0.4,0.1,0.9,,0.7,0.6,0.1,,6.89
96,Lewis Dunk,1.1,1.5,0.5,0.7,3.4,0.5,0.9,,6.89
97,Ciaran Clark,1.4,0.8,0.6,0.2,5.6,0.4,1,,6.89
98,Frédéric Guilbert,3.0,2.0,1.4,0.2,2.4,1.2,0.4,,6.89
99,Oliver McBurnie,1.0,0.4,0.8,,1.1,0.8,0.1,,6.89
100,Fabinho,2.2,1.2,1.1,,0.6,1.5,0.1,,6.89
101,Romain Saïss,1.7,1.7,1.3,0.3,3.7,0.4,0.5,,6.88
102,Charlie Taylor,1.6,1.2,0.7,0.1,2.6,0.8,0.4,,6.88
103,Bernd Leno,,,,,0.9,0.1,,,6.88
104,Fikayo Tomori,1.9,1.5,0.5,0.4,2.8,0.3,0.5,,6.88
105,Youri Tielemans,1.4,0.6,0.9,,0.3,1.4,0.1,,6.88
106,Ben Mee,1.3,1.3,0.8,0.5,5.0,0.4,1,,6.88
107,Fred,2.1,1.3,1.4,,0.9,2.6,0.3,,6.87
108,Dele Alli,1.4,0.7,0.5,,0.6,1.0,0.1,,6.87
109,Dominic Calvert-Lewin,0.2,0.2,1.6,,1.0,0.3,0.1,,6.87
110,Kyle Walker-Peters,1.3,1.4,0.6,0.1,1.7,1.0,0.3,,6.86
111,Calum Chambers,1.9,1.1,1.3,0.2,2.9,0.4,0.5,,6.86
112,John Fleck,1.2,0.8,0.8,,0.7,1.4,0.1,,6.86
113,Phil Foden,0.6,0.3,0.5,,0.1,0.6,,,6.86
114,Matt Targett,1.9,2.0,1.0,0.1,2.4,1.1,0.3,,6.86
115,Fernandinho,1.7,0.8,0.9,0.6,2.7,0.6,0.5,1,6.86
116,Luke Shaw,1.4,1.0,1.0,0.2,2.1,0.6,0.3,,6.85
117,Jorginho,2.1,2.1,0.9,,0.8,1.8,0.2,,6.85
118,Ross Barkley,0.8,0.3,0.4,,0.3,0.6,0.1,,6.84
119,Jetro Willems,1.9,0.9,0.5,0.2,2.0,1.1,0.3,,6.84
120,Tariq Lamptey,0.9,2.0,1.6,0.1,1.9,0.9,,,6.84
121,Dani Ceballos,1.9,1.3,0.8,,0.5,1.8,0.1,,6.84
122,Benjamin Mendy,0.9,0.8,0.6,0.3,0.9,0.9,0.1,,6.83
123,Michael Keane,1.0,1.4,0.6,0.6,4.8,0.3,0.9,1,6.83
124,Pierre-Emile Højbjerg,2.4,1.4,1.4,0.1,1.5,1.6,0.2,,6.83
125,Jan Bednarek,1.9,2.3,1.0,0.6,5.7,0.9,0.7,1,6.83
126,Yerry Mina,1.3,1.0,0.7,1,3.4,0.2,0.5,1,6.83
127,Jannik Vestergaard,1.0,1.4,0.5,0.6,5.1,0.9,0.5,,6.82
128,James Tomkins,1.6,1.2,0.8,0.3,5.5,0.4,0.8,,6.82
129,Toby Alderweireld,1.2,0.9,0.5,0.2,5.2,0.4,1,1,6.82
130,Enda Stevens,2.1,0.9,1.0,0.1,1.6,1.4,0.2,,6.82
131,Rúben Neves,1.6,1.5,0.8,,0.8,1.4,0.2,,6.82
132,Sokratis Papastathopoulos,1.3,0.9,1.0,0.2,3.5,0.6,1.3,,6.82
133,Oliver Norwood,1.7,1.2,0.8,,1.0,1.8,0.3,,6.82
134,Christian Benteke,0.4,0.2,1.0,,1.2,0.4,0.2,,6.81
135,Georginio Wijnaldum,1.0,0.5,0.4,0.1,0.9,0.8,0.1,,6.81
136,Sander Berge,1.6,0.7,1.3,,0.9,0.4,0.1,,6.81
137,James McArthur,2.4,1.6,1.5,,1.3,1.9,0.5,,6.81
138,Jonny,2.6,1.5,1.0,,0.8,1.5,0.3,,6.81
139,Matt Ritchie,1.2,0.8,1.4,0.1,1.5,0.7,0.3,,6.81
140,David McGoldrick,1.5,0.1,1.1,,0.8,0.5,0.1,,6.81
141,Nicolás Otamendi,1.2,0.9,0.9,0.5,3.0,0.7,0.4,,6.8
142,Ryan Fredericks,3.0,0.9,0.9,0.3,2.4,0.9,0.4,,6.8
143,James Justin,2.8,0.8,0.6,0.3,1.8,0.8,0.5,1,6.8
144,Adam Webster,1.0,1.5,0.4,0.4,3.5,0.6,0.8,1,6.79
145,Robert Snodgrass,1.2,0.2,0.8,,0.5,1.3,,,6.79
146,Jan Vertonghen,1.7,1.4,0.3,0.3,2.9,0.5,0.4,,6.79
147,Ashley Westwood,1.5,0.9,0.9,,0.7,0.9,0.3,,6.79
148,George Baldock,1.6,0.9,1.2,0.1,1.8,0.5,0.1,,6.79
149,Angeliño,0.8,1.5,0.3,0.2,2.5,0.3,,,6.78
150,Granit Xhaka,1.5,0.7,1.8,0.1,1.8,1,0.5,,6.78
151,Pedro,1.4,0.8,0.7,,0.1,1.1,,,6.78
152,Moussa Djenepo,1.5,0.5,1.3,,0.5,0.6,0.1,,6.78
153,Joe Gomez,0.8,1.4,0.8,0.6,2.1,0.4,0.3,,6.78
154,Antonio Rüdiger,1.4,0.8,1,0.3,2.8,0.5,0.5,1,6.77
155,Nick Pope,,0.1,,,0.7,,,,6.77
156,Grant Hanley,1.6,2.1,0.8,0.3,5.1,0.4,1.2,1,6.77
157,Ayoze Pérez,1.4,0.4,0.9,,0.2,1.4,,,6.77
158,Kortney Hause,1.2,1.1,1.3,0.2,5.2,0.4,1.1,,6.77
159,Kyle Walker-Peters,2.7,1.0,0.3,1.7,1.7,1.3,0.7,,6.77
160,Ben Davies,1.6,1.2,1.5,0.4,2.3,0.8,0.7,,6.77
161,Sam Byram,2.4,1.5,0.9,,3.6,1.1,0.5,,6.77
162,Mason Holgate,1.6,1.3,0.6,0.3,3.5,0.4,0.5,,6.77
163,Joshua King,0.6,0.3,1.4,,0.3,0.5,0.1,,6.76
164,Ben Johnson,2.7,1.0,2.7,,3.3,1.0,0.7,,6.76
165,Harvey Barnes,0.4,0.2,0.6,,0.1,0.5,0.1,,6.76
166,Diogo Jota,0.8,0.3,1.2,,0.3,1.1,,,6.76
167,Jean-Philippe Gbamin,2.0,0.5,1.0,,2.0,0.5,,,6.76
168,Wesley,0.7,0.2,2.0,,1.1,0.2,0.1,,6.76
169,Cédric Soares,2.8,1.2,0.6,0.2,2.8,1.0,0.3,,6.76
170,Ashley Young,1.2,0.9,1.2,0.1,1.8,1.0,0.2,,6.76
171,Patrick van Aanholt,1.5,1.6,0.3,0.1,1.5,0.9,0.3,1,6.76
172,Fabian Schär,1.8,2.1,1.3,0.3,3.3,1.0,0.8,,6.75
173,Nathan Aké,1.1,1.2,0.3,0.7,5.1,0.3,1,,6.75
174,Andreas Christensen,1.8,1.4,0.8,0.4,2.7,0.3,0.4,,6.75
175,Angelo Ogbonna,1.2,0.9,0.7,0.8,4.2,0.5,1,1,6.74
176,Chris Mepham,1.7,1.4,0.9,0.5,5.2,0.3,0.9,,6.73
177,Daryl Janmaat,1.8,0.9,0.6,0.4,2.4,0.9,0.3,1,6.73
178,Mason Greenwood,0.5,0.2,0.4,,0.2,0.5,,,6.73
179,Moussa Sissoko,1.3,0.9,1.5,0.1,1.2,1.0,0.1,,6.73
180,Federico Fernández,1.3,0.8,0.5,0.3,5.8,0.7,0.9,1,6.73
181,Ondrej Duda,1.8,0.6,0.9,,0.7,0.9,0.2,,6.72
182,Kasper Schmeichel,,,,,0.3,,,,6.72
183,Chris Wood,0.2,0.1,1.1,,0.6,0.3,0.1,1,6.72
184,Martin Dúbravka,,,,,0.9,,,,6.72
185,Steve Cook,0.8,1.5,0.6,0.7,5.2,0.4,0.8,,6.72
186,Dean Henderson,,,,,0.8,,,,6.72
187,Isaac Hayden,1.9,1.3,0.9,,1.1,1,0.2,,6.72
188,Craig Dawson,1,1.2,1.1,0.6,3.8,0.5,1.1,,6.72
189,Ismaila Sarr,0.4,0.6,0.8,,0.2,0.6,,,6.71
190,Yves Bissouma,2.2,1,1.4,,1.0,1,0.1,,6.71
191,Alex McCarthy,,,,,0.9,,,,6.71
192,Mesut Özil,0.9,0.3,0.8,,0.1,1.1,,,6.71
193,Josh Brownhill,1.4,1.4,0.6,,1.7,0.8,0.4,,6.71
194,Shane Duffy,0.9,1.1,0.7,0.4,3.7,0.6,0.4,,6.71
195,Eric Dier,1.1,1.1,1,0.2,3.2,0.5,0.5,,6.71
196,Victor Lindelöf,0.8,0.7,0.6,0.6,3.5,0.1,0.5,1,6.71
197,Emerson,1.5,1.2,0.3,0.2,0.9,0.3,0.1,,6.71
198,Brandon Williams,1.2,0.9,0.8,0.4,0.8,1.2,0.2,,6.71
199,Tanguy Ndombele,1.1,0.7,0.7,,0.3,0.6,0.1,,6.71
200,Jefferson Lerma,1.6,1.7,1.3,,1.5,0.8,0.4,,6.7
201,Ilkay Gündogan,0.9,1,0.5,,0.4,1,0.2,,6.7
202,Oleksandr Zinchenko,1.6,0.9,0.7,0.3,1.0,0.8,,,6.7
203,John Lundstram,1.4,1,0.8,0.1,1.3,1.3,0.1,,6.7
204,Christian Kabasele,1.4,1.3,0.8,0.8,4.6,0.6,0.9,,6.7
205,Miguel Almirón,1.7,0.9,0.8,,0.4,0.9,,,6.7
206,Jamaal Lascelles,0.6,1.2,0.9,0.4,4.8,0.2,0.8,,6.7
207,Conor Hourihane,0.6,0.3,0.5,,1.0,0.6,0.1,,6.69
208,Aaron Ramsdale,0.1,,,,1.1,,,,6.69
209,Mattéo Guendouzi,1.3,1.2,0.7,,1.4,1.2,0.3,,6.69
210,Gary Cahill,0.6,0.7,0.6,0.2,4.4,0.3,1,,6.69
211,Eric García,0.5,1.4,0.7,0.8,2.4,0.3,,,6.69
212,Vicente Guaita,,,,,1.1,,,1,6.69
