,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Cristiano Ronaldo,0.4,0.2,0.8,,0.6,0.5,0.1,,7.82
1,Josip Ilicic,1,0.3,0.4,,0.2,0.8,,,7.65
2,Ciro Immobile,0.2,0.3,1,,0.2,0.6,0.1,,7.57
3,Luis Alberto,1.4,0.6,0.6,,0.2,1.5,,,7.55
4,Papu Gómez,0.8,0.5,0.5,,0.1,0.9,,,7.55
5,Gianluca Pegolo,,,,,0.8,,,,7.54
6,Zlatan Ibrahimovic,0.3,0.3,1.7,,1.2,0.7,0.2,,7.51
7,Edin Dzeko,0.5,0.2,1.1,,0.9,0.3,0.1,,7.48
8,Domenico Berardi,1,1.1,1.8,,0.8,1.5,0.1,,7.45
9,Paulo Dybala,0.6,0.4,0.7,,,0.9,,,7.44
10,Duván Zapata,0.3,0.1,1.3,,0.3,0.2,0.3,,7.41
11,Kevin Bonifazi,3,1.7,1.3,,3.3,0.3,0.7,,7.35
12,Romelu Lukaku,0.4,,1.3,,0.8,0.2,0.2,,7.3
13,Demba Thiam ,,0.5,,,0.5,,,,7.3
14,Andrea Ranocchia,2.4,1.1,1.3,0.1,2.4,0.4,0.9,,7.29
15,Musa Barrow,1.1,0.3,1.2,,0.6,0.8,,,7.28
16,Sergej Milinkovic-Savic,1.6,1,1.9,,1.6,1.7,0.4,,7.27
17,Rodrigo de Paul,1.8,0.9,1,,0.2,1.1,0.1,,7.25
18,Antonio Mirante,,,,,1.2,0.2,,,7.23
19,Robin Gosens,1.6,1.1,0.9,0.2,1.0,0.8,0.3,,7.22
20,Radja Nainggolan,1.2,0.5,0.8,,1.1,0.8,0.2,,7.21
21,Theo Hernández,1.7,1.3,1.0,0.3,1.5,0.6,0.2,1,7.19
22,Hakan Calhanoglu,1.2,0.7,1.1,,0.7,0.7,0.1,,7.19
23,Jeremie Boga,0.4,0.1,0.4,,0.1,0.4,,,7.17
24,Joaquín Correa,0.4,0.2,0.6,,0.3,0.6,,,7.16
25,Marcelo Brozovic,2.1,1.4,1.4,,1.2,1.6,0.3,,7.15
26,Aleksandar Kolarov,1.2,1.0,0.9,0.5,1.6,0.5,0.3,,7.14
27,Manuel Locatelli,2.3,1.0,1.4,,0.9,1.1,0.4,1,7.13
28,Andrea Belotti,0.8,0.1,1.8,,0.5,0.7,0.1,1,7.12
29,Dejan Kulusevski ,1.1,0.6,1.5,,0.4,1.3,,,7.12
30,Stefano Sensi,1.5,0.8,1.2,,0.3,1.4,0.1,,7.11
31,Juan Cuadrado,2.0,1.1,0.8,0.2,1.1,0.8,0.2,,7.11
32,Lorenzo Insigne,0.6,0.8,0.2,,0.1,0.8,,,7.11
33,Rodrigo Bentancur,1.9,1.1,1.8,0.1,0.9,1.2,0.3,,7.1
34,Henrikh Mkhitaryan,1.5,0.5,0.8,,0.2,1.2,0.1,,7.09
35,Filippo Falco,0.4,0.1,0.4,,,0.4,,,7.08
36,Sebastián Cristóforo,5.0,1,,,,4.0,1,,7.08
37,Francesco Caputo,0.2,,0.7,,0.2,0.2,,,7.08
38,Miralem Pjanic,1.5,1.1,1.3,0.1,0.9,1.4,0.4,,7.08
39,Ismaël Bennacer,2.2,1.7,1.5,,0.4,1.4,0.2,,7.07
40,Diego Godín,1.7,2,1.3,0.2,2.5,0.6,0.3,,7.07
41,Christian Kouamé,0.2,0.1,1.8,,1.0,0.7,0.2,,7.07
42,Riccardo Saponara,0.9,0.4,0.7,,0.4,0.5,,,7.07
43,Federico Chiesa,1.1,0.2,1.6,,0.1,1.2,,,7.05
44,Lorenzo Pellegrini,1.1,0.6,1.5,,0.6,0.8,,,7.05
45,Merih Demiral,1.3,0.7,0.8,0.3,2.5,0.3,0.5,,7.05
46,Simone Colombi ,,,,,0.3,,,,7.05
47,João Pedro,0.5,0.3,1.3,,0.9,0.6,0.2,,7.05
48,Miguel Veloso,1.5,0.9,1,,1.1,1.2,0.4,,7.05
