,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,Neymar,0.8,0.5,1.8,0.0,0.0,0.0,9.0,5.0,3.9,3.3,4.8,3.7,0.2,2.7,4.1,5.0,3.3,50.9,79.6,0.9,2.0,0.4
1,Kylian Mbappé,0.1,0.1,0.7,0.1,0.0,0.0,27.0,7.0,3.4,1.1,2.9,1.2,0.5,1.5,2.6,7.0,1.1,30.7,80.7,0.2,0.2,0.0
2,Andy Delort,0.4,0.1,1.8,1.1,0.0,0.0,15.0,9.0,3.0,1.8,1.0,1.4,0.6,0.8,2.5,9.0,1.8,26.3,62.5,1.0,1.1,0.0
3,Memphis Depay,0.1,0.1,0.8,0.1,0.0,0.0,20.0,12.0,3.0,2.5,2.1,1.4,0.3,1.5,3.2,12.0,2.5,29.9,76.1,1.3,1.1,0.1
4,Baptiste Santamaría,3.0,2.3,2.3,2.3,0.0,0.0,0.0,0.0,1.3,1.3,0.7,1.7,0.3,1.0,0.7,0.0,1.3,50.3,86.1,0.3,2.3,0.0
5,Yvann Maçon,5.0,1.5,1.8,1.5,0.3,0.0,1.0,1.0,0.3,0.2,1.3,1.2,0.0,1.5,1.8,1.0,0.2,37.5,73.3,0.2,1.2,0.0
6,Ángel Di María,1.0,0.2,0.4,0.2,0.0,0.0,4.0,9.0,2.2,2.6,1.5,1.0,0.3,0.8,2.1,9.0,2.6,36.8,81.2,1.8,2.1,0.3
7,Karl Toko Ekambi,0.5,0.7,0.8,0.2,0.0,0.0,14.0,6.0,2.6,1.4,1.7,0.8,0.4,0.7,2.1,6.0,1.4,25.9,80.3,0.3,0.7,0.1
8,Benjamin André,3.3,2.2,2.0,1.2,0.3,0.0,0.0,1.0,0.5,0.6,0.8,1.5,0.0,1.1,1.1,1.0,0.6,57.7,84.1,0.1,2.3,0.0
9,Téji Savanier,1.8,1.4,2.1,0.6,0.2,0.0,5.0,5.0,2.1,2.3,1.9,2.4,0.0,1.6,1.8,5.0,2.3,40.0,74.4,2.0,4.7,0.0
10,Gaëtan Laborde,1.1,0.4,1.6,0.6,0.1,0.0,16.0,8.0,2.6,1.0,0.9,0.8,0.2,0.8,2.7,8.0,1.0,22.0,67.0,0.3,0.3,0.0
11,Marco Verratti,2.5,1.2,1.3,0.1,0.2,0.0,0.0,2.0,0.5,1.1,2.3,2.4,0.0,1.4,1.4,2.0,1.1,84.0,91.7,0.1,2.6,0.0
12,Fabien Centonze,2.9,3.1,1.2,3.1,0.5,0.0,1.0,0.0,0.7,0.6,1.6,1.6,0.1,0.9,1.8,0.0,0.6,37.8,79.5,0.6,1.0,0.1
13,Ludovic Ajorque,0.9,0.3,1.1,1.5,0.1,0.0,16.0,4.0,2.0,1.0,0.3,1.3,0.3,0.9,2.1,4.0,1.0,25.6,68.3,0.1,1.2,0.0
14,Farid Boulaya,0.7,0.4,0.6,0.2,0.1,0.0,6.0,8.0,2.4,2.3,1.8,1.9,0.0,1.1,2.2,8.0,2.3,41.4,74.4,1.4,3.5,0.1
15,Lucas Paquetá,2.3,0.7,2.2,0.4,0.1,0.0,9.0,5.0,1.8,1.5,1.1,2.3,0.2,1.1,1.8,5.0,1.5,40.9,81.0,0.1,1.6,0.1
16,Zinedine Ferhat,1.1,1.0,0.7,1.0,0.0,0.0,6.0,10.0,1.9,1.5,1.9,2.0,0.3,1.5,2.7,10.0,1.5,33.0,71.0,0.8,1.6,0.1
17,Frédéric Guilbert,2.8,2.5,1.4,1.8,0.1,0.0,1.0,4.0,1.2,1.0,1.2,1.0,0.0,0.5,1.5,4.0,1.0,35.7,73.1,1.3,2.5,0.0
18,Romain Faivre,1.5,0.8,1.0,0.4,0.0,1.0,6.0,5.0,1.8,1.8,2.5,2.0,0.0,0.9,2.1,5.0,1.8,36.6,84.8,1.2,1.5,0.0
19,Aleksandr Golovin,1.3,0.5,0.9,0.1,0.0,0.0,5.0,9.0,1.3,1.7,0.9,0.6,0.1,0.6,1.4,9.0,1.7,22.5,76.5,1.5,0.5,0.2
20,Steve Mounié,0.4,0.3,1.9,1.1,0.1,0.0,9.0,4.0,2.3,0.5,0.4,0.8,0.6,1.1,2.0,4.0,0.5,20.9,58.0,0.1,0.5,0.0
21,Aurelien Tchouameni,3.5,1.7,1.6,1.2,0.3,0.0,2.0,3.0,1.5,0.5,0.6,1.7,0.0,0.9,1.4,3.0,0.5,50.7,82.8,0.1,2.6,0.0
22,Raphinha,0.8,0.5,1.0,0.5,0.0,0.0,1.0,2.0,1.8,1.5,1.7,2.0,0.0,0.5,1.2,2.0,1.5,19.8,68.9,0.7,0.5,0.0
23,Marçal,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,84.1,1.0,11.0,0.0
24,Burak Yilmaz,0.5,0.2,1.2,0.8,0.0,0.0,16.0,5.0,2.4,1.0,0.5,1.3,1.0,0.8,2.0,5.0,1.0,17.9,77.6,0.0,0.2,0.0
25,Angelo Fulgini,0.7,0.5,0.9,0.3,0.0,0.0,7.0,4.0,2.0,1.7,2.5,4.0,0.1,2.1,3.0,4.0,1.7,45.7,83.2,0.9,2.1,0.2
26,Amine Gouiri,0.9,0.5,1.3,0.5,0.2,0.0,12.0,7.0,2.4,1.5,1.5,1.1,0.2,1.6,2.4,7.0,1.5,30.9,79.6,0.5,0.9,0.1
27,Kiki Kouyate,2.4,2.4,1.6,5.2,1.1,0.0,1.0,0.0,0.5,0.1,0.1,1.2,0.2,0.2,0.5,0.0,0.1,34.9,80.8,0.0,1.4,0.0
28,Romain Philippoteaux,0.3,0.7,0.3,0.0,0.0,0.0,1.0,1.0,0.7,2.0,1.0,0.0,0.0,0.7,1.3,1.0,2.0,21.3,68.8,1.0,0.7,0.0
29,Dimitry Bertaud,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,29.6,64.3,0.0,12.1,0.0
30,Jérémy Doku,1.5,0.4,1.2,0.0,0.0,0.0,2.0,3.0,1.2,1.4,3.7,2.3,0.2,2.0,2.8,3.0,1.4,30.1,83.4,0.5,0.6,0.0
31,Wesley Fofana,1.5,2.0,1.5,3.3,0.8,0.0,0.0,0.0,0.3,0.3,0.5,1.3,0.3,0.3,0.0,0.0,0.3,44.0,83.0,0.0,2.3,0.0
32,Jonathan Bamba,1.2,0.6,0.7,0.3,0.1,0.0,6.0,9.0,1.6,1.7,1.4,1.8,0.1,1.9,2.3,9.0,1.7,38.6,82.6,1.1,1.3,0.0
33,Yohann Pelé,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,93.8,0.0,0.0,0.0
34,Arkadiusz Milik,0.9,0.1,1.0,0.5,0.1,0.0,9.0,1.0,3.1,0.5,0.5,1.3,0.3,0.8,2.2,1.0,0.5,19.7,75.9,0.1,0.3,0.0
35,Kevin Volland,0.9,0.1,1.7,0.1,0.0,0.0,16.0,7.0,1.6,0.9,0.5,1.3,0.4,1.1,2.3,7.0,0.9,21.6,67.8,0.2,0.5,0.1
36,Wissam Ben Yedder,0.5,0.4,0.3,0.1,0.0,0.0,20.0,7.0,2.2,1.1,0.8,1.1,0.5,1.2,1.9,7.0,1.1,23.4,74.2,0.1,0.6,0.1
37,Ludovic Blas,1.6,0.6,1.5,0.4,0.1,0.0,10.0,4.0,2.0,0.8,2.6,1.4,0.1,1.8,2.4,4.0,0.8,25.9,80.7,0.2,1.3,0.1
38,José Fonte,1.1,1.0,0.8,3.8,0.6,1.0,3.0,0.0,0.8,0.3,0.2,0.4,0.0,0.0,0.3,0.0,0.3,65.7,90.4,0.1,4.1,0.0
39,Reinildo,2.7,1.6,1.3,1.5,0.1,0.0,0.0,0.0,0.1,0.6,1.0,1.2,0.1,0.4,0.8,0.0,0.6,44.1,81.3,0.7,1.3,0.0
40,Marquinhos,1.1,1.1,0.6,2.9,0.4,0.0,3.0,1.0,0.6,0.1,0.1,0.2,0.0,0.1,0.3,1.0,0.1,69.2,93.0,0.0,4.2,0.0
41,Pape Abou Cissé,1.1,1.9,0.7,6.1,0.3,0.0,0.0,0.0,0.9,0.2,0.1,0.6,0.1,0.0,0.6,0.0,0.2,48.4,76.7,0.0,4.8,0.0
42,Rafinha,2.3,0.6,1.0,0.1,0.1,0.0,0.0,4.0,1.0,1.0,1.3,1.7,0.0,1.5,1.5,4.0,1.0,50.1,90.9,0.3,1.3,0.1
43,Mahdi Camara,2.7,2.1,1.3,1.4,0.3,0.0,3.0,2.0,0.6,0.6,0.8,1.1,0.0,0.6,1.1,2.0,0.6,42.9,86.4,0.3,1.9,0.0
44,Léo Dubois,1.0,0.9,0.6,1.3,0.2,0.0,2.0,4.0,0.5,1.8,0.8,0.9,0.1,0.4,1.2,4.0,1.8,47.2,83.0,1.7,1.9,0.0
45,Mehmet Zeki Çelik,2.5,1.3,1.9,1.3,0.2,1.0,3.0,2.0,0.5,0.8,0.7,0.5,0.1,0.5,1.2,2.0,0.8,45.2,78.6,0.4,2.0,0.0
46,Sven Botman,0.8,1.5,0.4,3.2,0.6,0.0,0.0,0.0,0.4,0.1,0.2,0.7,0.1,0.1,0.5,0.0,0.1,70.0,86.5,0.0,3.8,0.0
47,Florian Thauvin,1.1,0.4,0.7,0.3,0.1,0.0,8.0,8.0,2.0,1.6,1.6,1.5,0.2,1.4,2.2,8.0,1.6,32.8,79.1,1.2,1.6,0.1
48,Mathieu Debuchy,2.2,1.7,1.5,2.0,0.3,0.0,2.0,1.0,1.0,0.7,0.5,0.7,0.2,0.5,1.3,1.0,0.7,33.8,72.6,0.8,1.7,0.0
49,Marcelo,1.3,1.4,1.1,3.5,0.7,0.0,3.0,0.0,0.7,0.2,0.1,0.3,0.0,0.1,0.3,0.0,0.2,60.6,88.2,0.0,3.9,0.0
50,Alfred Gomis,0.2,0.2,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,31.2,59.6,0.0,7.2,0.0
51,Massadio Haïdara,1.9,1.4,1.3,2.0,0.2,0.0,2.0,1.0,0.5,0.7,0.6,1.4,0.1,0.3,1.3,1.0,0.7,41.3,82.2,0.4,2.2,0.0
52,Moise Kean,0.4,0.3,1.3,0.4,0.0,0.0,13.0,0.0,2.0,0.3,1.0,0.2,0.2,1.2,1.7,0.0,0.3,11.6,78.8,0.1,0.3,0.0
53,Sofiane Diop,1.5,1.0,1.0,0.3,0.0,0.0,7.0,1.0,1.4,0.9,1.4,1.8,0.1,1.1,1.7,1.0,0.9,29.2,80.6,0.3,1.0,0.0
54,Loic Badé,1.8,2.4,1.4,4.3,0.5,0.0,0.0,0.0,0.4,0.2,0.7,0.5,0.0,0.4,0.7,0.0,0.2,63.0,85.5,0.1,3.6,0.0
55,Tinotenda Kadewere,1.1,0.6,1.1,0.8,0.1,0.0,10.0,3.0,1.8,0.6,0.9,0.8,0.3,1.0,1.6,3.0,0.6,17.9,75.2,0.2,0.4,0.0
56,Boubacar Kamara,2.5,1.0,1.4,1.3,0.4,0.0,0.0,2.0,0.5,0.7,1.0,1.6,0.0,0.7,1.1,2.0,0.7,58.0,86.7,0.0,3.0,0.0
57,Nayef Aguerd,1.1,1.3,0.6,2.9,0.6,0.0,3.0,1.0,0.8,0.1,0.3,0.8,0.1,0.3,0.3,1.0,0.1,77.4,90.4,0.0,3.7,0.0
58,Valentin Rongier,3.6,1.1,1.7,0.8,0.1,0.0,1.0,2.0,0.7,0.5,1.0,0.9,0.0,0.3,1.3,2.0,0.5,52.7,86.3,0.1,1.7,0.0
