,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Fabian Bredlow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44
1,Robert Lewandowski,41,7,4.7,1.1,0.8,1,0.7,1.5,2.4,8.07
2,Erling Haaland,27,6,3.3,1,1.1,0.8,0.6,0.4,1.9,7.63
3,Joshua Kimmich,4,10,1.4,2.4,1.1,1.6,0.0,0.7,1.5,7.57
4,Jadon Sancho,8,11,2,2.6,3,0.8,0.3,1.3,2.8,7.54
5,André Silva,28,5,3.7,1,0.8,1.1,0.9,1.5,2.7,7.51
6,Thomas Müller,11,18,1.6,2.9,0.8,0.7,0.4,1.3,2.5,7.51
7,Matheus Cunha,7,4,2.6,1.8,3,2.8,0.2,2.5,2.7,7.33
8,Wout Weghorst,20,8,2.7,1.3,0.5,0.8,1.1,0.8,2.1,7.31
9,Maximilian Arnold,3,6,1.8,1.6,0.6,2.1,0.0,0.7,1,7.3
10,Elias Bördner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3
11,Filip Kostic,4,14,1.7,3,0.8,0.7,0.1,1.2,2,7.29
12,Christopher Nkunku,6,6,2,2.5,1.3,1.8,0.6,1.3,2,7.26
13,Mats Hummels,5,0.0,0.9,0.4,0.2,0.5,0.2,0.1,0.3,7.26
14,Leon Bailey,9,8,1.9,1.6,2.5,1.4,0.5,1,2.4,7.26
15,Raphael Guerreiro,5,10,1.4,2,1.2,0.4,0.1,0.7,1.5,7.24
16,Andrej Kramaric,20,5,3.4,1.4,0.9,1.5,0.3,1.4,2,7.23
17,Ermin Bicakcic,1,0.0,1,0.0,0.0,1,0.0,0.0,0.0,7.2
18,Leon Goretzka,5,5,1.8,0.8,0.5,0.7,0.0,0.3,1.1,7.2
19,Serge Gnabry,10,2,2.2,1.4,0.9,0.8,0.2,0.9,1.9,7.18
20,Willi Orban,4,1,0.8,0.3,0.3,0.5,0.1,0.3,0.3,7.17
21,Silas,11,4,1.8,0.9,1.9,1.6,0.5,1.7,2.7,7.13
22,Jonas Hofmann,6,11,1.0,2.4,0.7,0.8,0.4,0.8,1.3,7.13
23,Kingsley Coman,5,10,1.8,1.6,1.9,1.2,0.2,1.3,1.7,7.11
24,Marco Reus,8,6,1.8,1.5,1.3,1.1,0.3,0.8,1.5,7.1
25,Angeliño,4,4,1.3,2.0,0.6,1.0,0.3,0.5,1.0,7.09
26,Bas Dost,4,2,1.3,0.9,0.0,0.8,0.3,0.8,0.3,7.08
27,Vincenzo Grifo,9,10,1.9,2.1,1,0.6,0.1,1.1,1.9,7.07
28,Emre Can,1,4,0.6,0.6,1.1,0.8,0.0,0.5,0.7,7.06
29,Daniel Caligiuri,6,4,1.2,1.5,1.8,1.8,0.1,1.9,2.4,7.05
30,Alphonso Davies,1,2,0.2,0.9,2.7,1.6,0.1,1.2,2.7,7.04
31,Borna Sosa,0.0,9,0.5,2.2,1.0,0.5,0.1,0.6,1.1,7.04
32,Wataru Endo,3,3,0.8,0.8,1.2,1.6,0.0,1.6,1.5,7.04
33,Maxence Lacroix,1,1,0.5,0.1,0.4,0.9,0.0,0.3,0.6,7.03
34,Christopher Trimmel,1,9,0.3,1.9,0.3,0.4,0.1,0.4,0.6,7.03
35,Sasa Kalajdzic,16,5,2.1,0.8,0.5,1.1,0.1,0.9,2.4,7.02
36,Lars Stindl,14,8,1.9,1.5,0.3,1.0,0.1,1,1.4,7.01
37,Marcel Sabitzer,8,3,2.2,1.1,0.6,1.3,0.3,0.9,1.3,7.0
38,Martin Hinteregger,2,1,0.8,0.3,0.2,1.2,0.0,0.3,0.8,7.0
39,Nico Elvedi,3,0.0,0.4,0.1,0.1,0.5,0.0,0.0,0.4,7.0
40,Kevin Mbabu,0.0,1,0.5,0.6,1.6,0.9,0.0,0.5,1.2,7.0
41,Nicolás González,6,2,3.3,0.8,1.3,2.2,0.5,0.9,2.3,6.99
42,Max Kruse,11,5,1.4,1.7,0.5,0.5,0.3,0.5,1.6,6.99
43,Stefan Bell,1,1,0.5,0.2,0.0,0.4,0.1,0.1,0.3,6.99
