,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Fabian Bredlow,0.0,0.0,33.0,75.8,0.0,4.0,0.0,8.44
1,Robert Lewandowski,7,1.1,22.8,77.2,0.2,0.5,0.0,8.07
2,Erling Haaland,6,1,16.3,72.7,0.0,0.1,0.0,7.63
3,Joshua Kimmich,10,2.4,71.0,88.3,2.2,6.5,0.2,7.57
4,Jadon Sancho,11,2.6,50.2,82.4,1,0.8,0.2,7.54
5,André Silva,5,1,23.4,73.4,0.1,0.3,0.0,7.51
6,Thomas Müller,18,2.9,43.5,75.0,0.8,1.2,0.1,7.51
7,Matheus Cunha,4,1.8,23.1,70.9,1.2,1.7,0.0,7.33
8,Wout Weghorst,8,1.3,23.1,66.1,0.0,0.6,0.1,7.31
9,Maximilian Arnold,6,1.6,50.1,84.4,1.4,5.2,0.1,7.3
10,Elias Bördner,0.0,0.0,34.0,58.8,0.0,4.0,0.0,7.3
11,Filip Kostic,14,3,35.1,69.9,2.6,1.4,0.0,7.29
12,Christopher Nkunku,6,2.5,29.8,84.3,1.6,0.6,0.0,7.26
13,Mats Hummels,0.0,0.4,80.0,87.6,0.0,7.6,0.0,7.26
14,Leon Bailey,8,1.6,25.9,78.1,1.3,1.6,0.0,7.26
15,Raphael Guerreiro,10,2,70.4,86.9,0.8,2.0,0.3,7.24
16,Andrej Kramaric,5,1.4,31.9,82.2,0.9,1.3,0.1,7.23
17,Ermin Bicakcic,0.0,0.0,30.5,86.9,0.0,0.5,0.0,7.2
18,Leon Goretzka,5,0.8,43.5,87.7,0.1,3.0,0.0,7.2
19,Serge Gnabry,2,1.4,28.3,83.5,0.5,0.8,0.0,7.18
20,Willi Orban,1,0.3,72.0,87.5,0.1,2.4,0.0,7.17
21,Silas,4,0.9,17.0,70.8,0.2,0.5,0.0,7.13
22,Jonas Hofmann,11,2.4,36.3,80.3,2.1,2.3,0.0,7.13
23,Kingsley Coman,10,1.6,25.5,84.9,0.9,0.9,0.0,7.11
24,Marco Reus,6,1.5,33.1,81.7,0.4,1.3,0.1,7.1
25,Angeliño,4,2.0,42.8,74.4,2,1.7,0.0,7.09
26,Bas Dost,2,0.9,25.1,64.8,0.0,0.4,0.1,7.08
27,Vincenzo Grifo,10,2.1,32.3,78.6,1.4,2.3,0.1,7.07
28,Emre Can,4,0.6,62.3,87.0,0.3,3.8,0.0,7.06
29,Daniel Caligiuri,4,1.5,29.6,71.0,1,1.9,0.0,7.05
30,Alphonso Davies,2,0.9,56.2,89.6,0.3,1.0,0.0,7.04
31,Borna Sosa,9,2.2,34.0,77.5,1.9,1.0,0.0,7.04
32,Wataru Endo,3,0.8,55.1,83.6,0.0,2.2,0.1,7.04
33,Maxence Lacroix,1,0.1,58.9,83.4,0.0,4.3,0.0,7.03
34,Christopher Trimmel,9,1.9,33.9,73.9,2,2.4,0.0,7.03
35,Sasa Kalajdzic,5,0.8,20.0,68.7,0.0,0.3,0.0,7.02
36,Lars Stindl,8,1.5,33.4,83.0,0.4,1.4,0.2,7.01
37,Marcel Sabitzer,3,1.1,47.4,79.7,0.3,2.6,0.0,7.0
38,Martin Hinteregger,1,0.3,63.9,81.7,0.0,3.4,0.0,7.0
39,Nico Elvedi,0.0,0.1,65.3,91.2,0.0,1.9,0.0,7.0
40,Kevin Mbabu,1,0.6,36.0,69.2,0.7,1.6,0.0,7.0
41,Nicolás González,2,0.8,14.7,63.8,0.1,0.5,0.1,6.99
42,Max Kruse,5,1.7,31.0,78.0,1,2.0,0.1,6.99
43,Stefan Bell,1,0.2,36.1,75.4,0.0,1.9,0.0,6.99
44,Marcus Thuram,2,0.6,19.0,71.4,0.1,0.2,0.0,6.99
45,Lucas Hernández,2,0.6,50.6,85.1,0.7,2.0,0.0,6.98
46,Ridle Baku,6,1.4,36.7,76.0,0.6,1.4,0.0,6.98
47,Xaver Schlager,4,0.8,38.9,76.8,0.0,1.9,0.1,6.97
48,Niklas Süle,0.0,0.4,62.9,90.7,0.3,2.6,0.0,6.97
49,Pavao Pervan,0.0,0.0,32.5,67.7,0.0,6.0,0.0,6.97
50,Tobias Sippel,0.0,0.0,33.5,61.2,0.0,8.3,0.0,6.97
51,Edmond Tapsoba,0.0,0.1,90.4,89.7,0.0,6.7,0.0,6.96
52,Ihlas Bebou,7,1.2,18.0,76.9,0.5,0.3,0.0,6.96
53,Dani Olmo,9,1.3,38.0,77.6,0.2,1.3,0.1,6.95
54,John Brooks,0.0,0.2,60.3,83.4,0.0,4.3,0.0,6.94
