,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,Fabian Bredlow,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,75.8,0.0,4.0,0.0
1,Robert Lewandowski,0.5,0.1,1.4,0.4,0.0,0.0,41.0,7.0,4.7,1.1,0.8,1.0,0.7,1.5,2.4,7.0,1.1,22.8,77.2,0.2,0.5,0.0
2,Erling Haaland,0.3,0.1,0.7,0.6,0.1,0.0,27.0,6.0,3.3,1.0,1.1,0.8,0.6,0.4,1.9,6.0,1.0,16.3,72.7,0.0,0.1,0.0
3,Joshua Kimmich,1.5,1.3,0.7,0.7,0.2,0.0,4.0,10.0,1.4,2.4,1.1,1.6,0.0,0.7,1.5,10.0,2.4,71.0,88.3,2.2,6.5,0.2
4,Jadon Sancho,0.7,0.6,0.0,0.2,0.0,0.0,8.0,11.0,2.0,2.6,3.0,0.8,0.3,1.3,2.8,11.0,2.6,50.2,82.4,1.0,0.8,0.2
5,André Silva,0.3,0.1,0.6,0.5,0.0,0.0,28.0,5.0,3.7,1.0,0.8,1.1,0.9,1.5,2.7,5.0,1.0,23.4,73.4,0.1,0.3,0.0
6,Thomas Müller,1.5,0.7,0.7,0.5,0.1,0.0,11.0,18.0,1.6,2.9,0.8,0.7,0.4,1.3,2.5,18.0,2.9,43.5,75.0,0.8,1.2,0.1
7,Matheus Cunha,1.3,1.1,1.7,0.3,0.1,0.0,7.0,4.0,2.6,1.8,3.0,2.8,0.2,2.5,2.7,4.0,1.8,23.1,70.9,1.2,1.7,0.0
8,Wout Weghorst,0.4,0.1,0.9,0.8,0.1,0.0,20.0,8.0,2.7,1.3,0.5,0.8,1.1,0.8,2.1,8.0,1.3,23.1,66.1,0.0,0.6,0.1
9,Maximilian Arnold,1.6,1.6,1.3,1.8,0.1,0.0,3.0,6.0,1.8,1.6,0.6,2.1,0.0,0.7,1.0,6.0,1.6,50.1,84.4,1.4,5.2,0.1
