,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
0,Aaron Anthony Connolly,21,Forward,Brighton & Hove Albion,790,397,393,Republic of Ireland,17,8,9,2,1,1,1,0,1,0,0,4,2,2,17,10,7,0,0,0.34,0.11,0.23,0.23,0.23,395,1.94,46,46,0,790,0,74,126,-1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Aaron Cresswell,31,Defender,West Ham United,3172,1552,1620,England,36,18,18,0,0,0,8,2,6,0,0,11,6,5,40,19,21,3,0,0.23,0.23,0,0,0,0,1.13,79,88,1057,397,0.09,317,32,58,22,0.9,0.9,0.4,0.1,2,0.4,0.4,0,0,8,0.5,1.6,0.1,0.5,0,0.3,0.4,8,1.6,45.9,78.9,1.6,3.3,0
2,Aaron Ramsdale,23,Goalkeeper,Sheffield United,3420,1710,1710,England,38,19,19,0,0,0,0,0,0,0,0,5,4,1,61,26,35,1,0,0,0,0,0,0,0,1.61,56,90,3420,0,0.03,394,403,131,16,0,0.1,0,0,0.9,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.1,0,0.1,26.8,43.4,0,7.4,0
3,Aaron Wan-Bissaka,23,Midfielder,Manchester United,3060,1530,1530,England,34,17,17,2,1,1,4,3,1,0,0,13,6,7,33,21,12,3,0,0.18,0.12,0.06,0.06,0.06,1530,0.97,93,90,1020,765,0.09,201,110,-1,10,2.6,1.8,0.9,0.2,1.8,0.4,0.5,0,2,4,0.2,0.9,1,0.4,0,0.6,1,4,0.9,53.1,84.9,0.4,0.8,0
4,Abdoulaye Doucouré,28,Midfielder,Everton,2452,1211,1241,France,29,14,15,2,0,2,3,1,2,0,0,9,3,6,33,17,16,6,0,0.18,0.11,0.07,0,0.15,1226,1.21,74,85,409,817,0.22,184,130,-1,7,1.8,1.3,0.8,0.1,0.9,1,0.2,0,2,3,0.6,0.7,0.7,0.4,0,0.9,1.2,3,0.7,46.2,85.1,0,1.3,0.1
5,Aboubakar Kamara,26,Forward,Fulham,312,208,104,France,11,7,4,0,0,0,0,0,0,0,0,1,1,0,9,5,4,2,1,0,0,0,0,0,0,2.6,35,28,104,0,0.87,343,334,-1,22,0.2,0.1,0.8,0,0,0.5,0,0,0,0,0.4,0.5,0.4,0.3,0,0.7,1.2,0,0.5,10.2,75.9,0.1,0.4,0
6,Adam David Lallana,33,Midfielder,Brighton & Hove Albion,1588,784,804,England,30,15,15,1,1,0,1,0,1,0,0,9,5,4,17,7,10,0,0,0.11,0.06,0.06,0.11,0,1588,0.96,93,53,0,1588,0,202,183,-1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Adam Webster,26,Defender,Brighton & Hove Albion,2595,1260,1335,England,29,14,15,1,1,0,0,0,0,0,0,9,4,5,33,17,16,4,0,0.03,0,0.03,0.07,0,2595,1.14,79,89,649,0,0.14,263,389,61,11,1,1.6,0.8,0.3,2.9,0.4,0.6,0,1,0,0.9,0.2,0.6,0.5,0,0.2,0.9,0,0.2,63.4,80.9,0,3.4,0
8,Adama Traoré Diarra,25,Midfielder,Wolverhampton Wanderers,2643,1209,1434,Spain,37,18,19,2,1,1,2,2,0,0,0,10,5,5,36,18,18,4,0,0.14,0.07,0.07,0.07,0.06,1322,1.23,73,71,661,1322,0.14,179,169,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Ademipo Odubeko,18,Midfielder,West Ham United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Ademola Lookman,23,Forward,Fulham,2756,1412,1344,England,34,16,18,4,2,2,4,3,1,0,1,9,5,4,32,20,12,5,0,0.26,0.13,0.13,0.13,0.13,689,1.04,86,81,551,689,0.16,127,105,-1,2,1,0.6,1.4,0,0.2,0.9,0,0,4,4,2,1.8,2.4,1.7,0.4,2.1,3.1,4,1.8,30.9,80.9,0.9,0.6,0.1
11,Adrian Bernabe Garcia,20,Midfielder,Manchester City,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Adrián San Miguel del Castillo,34,Goalkeeper,Liverpool,270,0,270,Spain,3,0,3,0,0,0,0,0,0,0,0,1,0,1,9,0,9,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Ahmed Eissa El Mohamady Abdel Fattah,33,Midfielder,Aston Villa,833,442,391,Egypt,14,8,6,0,0,0,0,0,0,0,0,6,4,2,8,4,4,2,0,0,0,0,0,0,0,0.86,104,60,417,0,0.22,387,301,-1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Ahmed Hegazi,30,Defender,West Bromwich Albion,90,90,0,Egypt,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,21,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,56,67.9,0,4,0
15,Ainsley Maitland-Niles,23,Midfielder,West Bromwich Albion,1718,788,930,England,26,12,14,0,0,0,0,0,0,0,0,10,4,6,22,5,17,2,0,0,0,0,0,0,0,1.15,78,66,859,0,0.1,348,339,-1,14,1,1.3,0.5,0.1,0.5,0.4,0.2,0,0,0,0.2,0.2,0.5,0.3,0.2,0.6,0.9,0,0.2,22.8,78.1,0.2,0.9,0
