,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
0,Aaron Kamardin,19,Defender,Olympique Marseille,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Aaron Leya Iseka,23,Forward,Metz,1010,609,401,Belgium,21,12,9,4,1,3,0,0,0,2,1,6,2,4,15,10,5,4,0,0.36,0,0.36,0.15,0.67,253,1.34,67,48,253,0,0.36,44,267,-1,3,0.3,0,1.2,0.3,0.1,0,4,0,1,0.6,0.5,0.6,0.1,0.9,1.7,0,0.6,9,75,0,0.2,0
2,Abdou Diallo,25,Defender,PSG,1488,716,772,France,22,10,12,0,0,0,1,0,1,0,0,12,5,7,10,4,6,4,2,0.06,0.06,0,0,0,0,0.6,149,68,298,1488,0.3,308,194,8,24,0.7,1.1,0.8,1.5,0.4,0,0,1,0.2,0,0.8,0.4,0,0,0.7,1,0,51.3,93.1,0.2,2.1,0
3,Abdoulaye Bakayoko,0,Defender,Saint-Étienne,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Abdoulaye Bamba,31,Defender,Angers SCO,1350,643,707,Côte d'Ivoire,16,8,8,0,0,0,0,0,0,0,0,5,2,3,22,9,13,2,0,0,0,0,0,0,0,1.47,61,84,675,0,0.13,366,361,115,30,1.7,1.2,0.9,1.6,0.1,0,0,0,0.1,0.5,0.3,0.4,0,0.2,0.8,0,0.5,40.5,79.2,0.4,1.6,0.1
5,Abdoulaye Ousame,21,Defender,Strasbourg,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Abdoulaye Sidibe,19,Forward,Saint-Étienne,10,0,10,Mali,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,9,10,10,10,0,9,-1,-1,-1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Abdoulaye Sylla,0,Defender,Nantes,6,6,0,France,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,6,3,0,0,0,-1,-1,-1,25,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
8,Abdoulaye Touré,27,Midfielder,Nantes,1681,881,800,France,29,15,14,2,1,1,2,1,1,1,0,2,1,1,28,15,13,2,0,0.21,0.11,0.11,0.1,0.11,841,1.5,60,58,841,841,0.11,155,127,-1,8,1,0.8,0.7,0.6,0.1,0,2,2,0.9,0.5,0.7,1,0,0.6,1,2,0.5,32.3,85.1,0.1,1.2,0.1
9,Abdul Majeed Waris,29,Forward,Strasbourg,546,155,391,Ghana,15,7,8,1,1,0,0,0,0,1,0,5,3,2,9,1,8,0,0,0.16,0,0.16,0.58,0,546,1.48,61,36,0,0,0,128,419,-1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
