,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
0,Aarón Martín,24.0,Defender,Mainz 05,261.0,94.0,167.0,Spain,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,131.0,52.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,20.0,0.6,0.4,0.8,0.4,0.0,0.0,0.0,0.0,0.2,0.6,0.6,0.0,0.0,0.4,0.6,0.0,0.6,22.6,73.5,0.8,1.4,0.0
1,Ádám Szalai,33.0,Forward,Mainz 05,732.0,350.0,382.0,Hungary,18.0,9.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,7.0,4.0,3.0,1.0,0.0,0.12,0.0,0.12,0.0,0.24,732.0,0.86,105.0,41.0,732.0,0.0,0.12,150.0,241.0,-1.0,12.0,0.4,0.1,1.0,0.2,0.1,0.0,1.0,0.0,0.8,0.3,0.3,0.7,0.3,1.1,2.3,0.0,0.3,11.2,56.2,0.0,0.3,0.1
2,Ademola Lookman,23.0,Forward,RB Leipzig,0.0,0.0,0.0,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Admir Mehmedi,30.0,Forward,Wolfsburg,819.0,419.0,400.0,Switzerland,18.0,9.0,9.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,5.0,2.0,5.0,4.0,1.0,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.55,164.0,46.0,0.0,410.0,0.0,390.0,57.0,-1.0,22.0,0.9,0.3,1.1,0.1,0.0,0.0,0.0,2.0,0.4,1.0,0.4,0.8,0.6,1.0,1.3,2.0,1.0,23.0,80.4,0.2,0.8,0.1
4,Adrian Fein,22.0,Midfielder,Bayern München,0.0,0.0,0.0,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ahmed Kutucu,21.0,Forward,Schalke 04,101.0,55.0,46.0,Germany,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,51.0,14.0,101.0,0.0,0.89,-1.0,-1.0,-1.0,33.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.1,0.0,0.1,0.7,0.0,0.1,4.6,71.9,0.0,0.1,0.0
6,Ajdin Hrustic,25.0,Midfielder,Eintracht Frankfurt,265.0,182.0,83.0,Australia,11.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.34,0.0,0.34,0.49,0.0,265.0,0.0,0.0,24.0,133.0,0.0,0.68,-1.0,-1.0,-1.0,15.0,0.5,0.4,0.6,0.3,0.0,0.0,1.0,0.0,0.6,0.4,0.4,0.5,0.0,0.3,0.8,0.0,0.4,18.8,87.0,0.6,0.7,0.0
7,Akaki Gogia,29.0,Midfielder,Union Berlin,134.0,95.0,39.0,Germany,7.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.67,0.67,0.0,0.0,0.0,0.0,1.34,67.0,19.0,134.0,134.0,0.67,-1.0,-1.0,-1.0,24.0,0.1,0.1,0.9,0.0,0.0,0.0,0.0,1.0,0.3,0.3,0.3,0.6,0.0,0.3,0.1,1.0,0.3,8.0,71.4,0.0,0.3,0.1
8,Alassane Pléa,28.0,Forward,Borussia M'gladbach,1805.0,863.0,942.0,France,29.0,13.0,16.0,6.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,7.0,4.0,3.0,26.0,7.0,19.0,2.0,0.0,0.35,0.05,0.3,0.1,0.48,301.0,1.3,69.0,62.0,903.0,1805.0,0.1,60.0,206.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Aleksandar Dragović,30.0,Defender,Bayer Leverkusen,1130.0,574.0,556.0,Austria,18.0,11.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,13.0,7.0,6.0,3.0,0.0,0.08,0.0,0.08,0.0,0.16,1130.0,1.04,87.0,63.0,377.0,0.0,0.24,176.0,246.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
