,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
0,Lorenzo Chiti,20,Defender,Fiorentina,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Aaron Hickey,0,Midfielder,Bologna,763,364,399,Scotland,11,5,6,0,0,0,0,0,0,0,0,1,1,0,15,7,8,4,1,0,0,0,0,0,0,1.77,51,69,153,0,0.59,329,294,-1,26,1.1,1.4,1,1.1,0.1,0,0,0,0.2,0.2,0.6,1.3,0,0.7,1.5,0,0.2,29.1,88.4,0.2,1.4,0
2,Aaron Ramsey,30,Midfielder,Juventus,1093,572,521,Wales,22,12,10,2,1,1,4,3,1,0,0,6,4,2,11,4,7,2,0,0.49,0.33,0.16,0.16,0.17,547,0.91,99,50,547,273,0.16,131,17,-1,9,1,0.3,0.9,0.3,0.1,0,2,4,1.1,1.4,0.5,0.8,0.1,0.4,1.4,4,1.4,31.8,87.1,0.5,1.5,0
3,Abdallah Basit,21,Midfielder,Benevento,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Abdoul Hate Bane,20,Defender,Parma,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Achraf Hakimi Mouh,22,Defender,Inter Milan,2671,1261,1410,Morocco,37,18,19,7,4,3,8,5,3,0,0,13,6,7,26,12,14,6,0,0.51,0.27,0.24,0.29,0.19,382,0.88,103,72,445,334,0.2,94,35,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Adam Marušić,28,Defender,Lazio,2968,1471,1497,Montenegro,36,18,18,2,0,2,3,2,1,0,0,11,6,5,45,20,25,3,0,0.15,0.09,0.06,0,0.12,1484,1.36,66,82,989,989,0.09,236,180,82,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Adam Ounas,24,Midfielder,Crotone,1516,780,736,Algeria,22,10,12,4,3,1,3,2,1,0,0,2,2,0,32,11,21,1,0,0.42,0.18,0.24,0.35,0.12,379,1.9,47,69,1516,505,0.06,89,88,-1,3,0.4,0.4,0.4,0,0,0,0,0,0.9,1,2.7,1.3,0.1,1.4,1.6,0,1,15.9,72.1,0.4,1,0
8,Adam Ounas,24,Midfielder,Crotone,1516,780,736,Algeria,22,10,12,4,3,1,3,2,1,0,0,2,2,0,32,11,21,1,0,0.42,0.18,0.24,0.35,0.12,379,1.9,47,69,1516,505,0.06,89,88,-1,3,0.6,0.2,0.7,0.1,0.1,0,4,3,1.7,1.4,3.8,2.1,0.6,1.5,2.5,3,1.4,30.2,83,0.5,2.3,0.2
9,Adolfo Julián Gaich,22,Forward,Benevento,771,345,426,Argentina,15,7,8,2,0,2,0,0,0,0,0,1,0,1,17,9,8,1,0,0.23,0,0.23,0,0.42,386,1.98,45,51,771,0,0.12,101,293,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Adrien Rabiot,26,Midfielder,Juventus,2312,1152,1160,France,34,16,18,4,1,3,2,0,2,0,0,6,5,1,26,12,14,7,1,0.23,0.08,0.16,0.08,0.23,578,1.01,89,68,330,1156,0.27,130,200,-1,7,2.1,1.3,1.3,0.8,0.3,0,4,2,1,0.3,1.1,0.6,0,0.4,1.1,2,0.3,41.6,90.8,0.1,1.2,0
11,Adrien Sebastian Perruchet Silva,32,Midfielder,Sampdoria,1603,878,725,Portugal,24,14,10,1,1,0,1,1,0,0,0,5,3,2,22,12,10,8,1,0.11,0.06,0.06,0.1,0,1603,1.24,73,67,200,1603,0.45,226,222,-1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Adrien Tameze,26,Midfielder,Hellas Verona,2312,1157,1155,France,33,16,17,1,0,1,0,0,0,0,0,7,3,4,29,16,13,6,0,0.04,0,0.04,0,0.08,2312,1.13,80,70,385,0,0.23,257,302,-1,12,1.2,1,1.1,1.2,0.2,0,1,0,0.5,0.4,1.1,0.9,0.1,0.8,1.2,0,0.4,30.5,80,0.2,1.8,0
13,Ahmed Benali,29,Midfielder,Crotone,1218,642,576,Libya,18,8,10,0,0,0,1,0,1,0,0,2,1,1,28,12,16,2,0,0.07,0.07,0,0,0,0,2.07,44,68,609,1218,0.15,331,211,-1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Alan Pereira Empereur,27,Defender,Hellas Verona,222,132,90,Brazil,4,3,1,0,0,0,0,0,0,0,0,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0.41,222,56,222,0,0.41,-1,-1,-1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Alberto Cerri,25,Forward,Cagliari,353,228,125,Italy,24,12,12,1,1,0,0,0,0,0,0,4,2,2,5,5,0,1,0,0.25,0,0.25,0.39,0,353,1.27,71,15,353,0,0.25,84,309,-1,9,0.1,0.1,0.8,0.3,0.1,0,1,0,0.7,0.3,0.3,0.6,0,0.5,0.6,0,0.3,6,61.5,0,0.2,0
16,Alberto Grassi,26,Midfielder,Parma,1179,500,679,Italy,23,10,13,0,0,0,0,0,0,0,0,3,3,0,23,9,14,3,0,0,0,0,0,0,0,1.76,51,51,393,0,0.23,426,423,-1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Alberto Paleari,28,Goalkeeper,Genoa,205,90,115,Italy,3,1,2,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0.88,103,68,0,0,0,-1,-1,-1,15,0,0,0,1,0,0,0,0,0,0,0,0.3,0,0,0,0,0,22.3,62.7,0,3,0
