,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
0,Aaron Anthony Connolly,21.0,Forward,Brighton & Hove Albion,790.0,397.0,393.0,Republic of Ireland,17.0,8.0,9.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,17.0,10.0,7.0,0.0,0.0,0.34,0.11,0.23,0.23,0.23,395.0,1.94,46.0,46.0,0.0,790.0,0.0,74.0,126.0,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Aaron Cresswell,31.0,Defender,West Ham United,3172.0,1552.0,1620.0,England,36.0,18.0,18.0,0.0,0.0,0.0,8.0,2.0,6.0,0.0,0.0,11.0,6.0,5.0,40.0,19.0,21.0,3.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,1.13,79.0,88.0,1057.0,397.0,0.09,317.0,32.0,58.0,22.0,0.9,0.9,0.4,0.1,2.0,0.4,0.4,0.0,0.0,8.0,0.5,1.6,0.1,0.5,0.0,0.3,0.4,8.0,1.6,45.9,78.9,1.6,3.3,0.0
2,Aaron Hickey,0.0,Midfielder,Bologna,763.0,364.0,399.0,Scotland,11.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,15.0,7.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,51.0,69.0,153.0,0.0,0.59,329.0,294.0,-1.0,26.0,1.1,1.4,1.0,,1.1,0.6,0.1,0.0,0.0,0.0,0.2,0.2,,1.3,0.0,0.7,1.5,0.0,0.2,29.1,88.4,0.2,1.4,0.0
3,Aaron Kamardin,19.0,Defender,Olympique Marseille,0.0,0.0,0.0,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Aaron Leya Iseka,23.0,Forward,Metz,1010.0,609.0,401.0,Belgium,21.0,12.0,9.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,6.0,2.0,4.0,15.0,10.0,5.0,4.0,0.0,0.36,0.0,0.36,0.15,0.67,253.0,1.34,67.0,48.0,253.0,0.0,0.36,44.0,267.0,-1.0,3.0,0.3,0.0,1.2,,0.3,0.5,0.1,0.0,4.0,0.0,1.0,0.6,,0.6,0.1,0.9,1.7,0.0,0.6,9.0,75.0,0.0,0.2,0.0
5,Aaron Ramsdale,23.0,Goalkeeper,Sheffield United,3420.0,1710.0,1710.0,England,38.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,61.0,26.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,56.0,90.0,3420.0,0.0,0.03,394.0,403.0,131.0,16.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,26.8,43.4,0.0,7.4,0.0
6,Aaron Ramsey,30.0,Midfielder,Juventus,1093.0,572.0,521.0,Wales,22.0,12.0,10.0,2.0,1.0,1.0,4.0,3.0,1.0,0.0,0.0,6.0,4.0,2.0,11.0,4.0,7.0,2.0,0.0,0.49,0.33,0.16,0.16,0.17,547.0,0.91,99.0,50.0,547.0,273.0,0.16,131.0,17.0,-1.0,9.0,1.0,0.3,0.9,,0.3,0.5,0.1,0.0,2.0,4.0,1.1,1.4,,0.8,0.1,0.4,1.4,4.0,1.4,31.8,87.1,0.5,1.5,0.0
7,Aaron Wan-Bissaka,23.0,Midfielder,Manchester United,3060.0,1530.0,1530.0,England,34.0,17.0,17.0,2.0,1.0,1.0,4.0,3.0,1.0,0.0,0.0,13.0,6.0,7.0,33.0,21.0,12.0,3.0,0.0,0.18,0.12,0.06,0.06,0.06,1530.0,0.97,93.0,90.0,1020.0,765.0,0.09,201.0,110.0,-1.0,10.0,2.6,1.8,0.9,0.2,1.8,0.4,0.5,0.0,2.0,4.0,0.2,0.9,1.0,0.4,0.0,0.6,1.0,4.0,0.9,53.1,84.9,0.4,0.8,0.0
8,Aarón Escandell Banacloche,25.0,Goalkeeper,Granada CF,450.0,180.0,270.0,Spain,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,56.0,90.0,450.0,0.0,0.2,287.0,378.0,166.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Aarón Martín,24.0,Defender,Celta de Vigo,1539.0,668.0,871.0,Spain,19.0,9.0,10.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,5.0,3.0,2.0,24.0,11.0,13.0,1.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,1.4,64.0,81.0,1539.0,513.0,0.06,326.0,77.0,136.0,14.0,1.8,0.7,1.3,,1.8,0.9,0.2,0.0,0.0,3.0,0.3,0.3,,0.8,0.2,0.4,0.7,3.0,0.3,35.4,82.3,0.2,1.1,0.0
