,Short Name,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
0,AC Milan,Italy,38,19,19,0,24,8,16,7,6,1,7,5,2,2.08,1.58,2.58,2,8,1,2,74,41,33,115,55,60,31,43,24,17,7,26,46,55,40,83,71,101,14,7,7,19,9,10,6,4,2,26,10,16,213,126,87,88,42,46,52,54,50,602,347,255,240,130,110,362,217,145,504,265,239,34,14,20,12,9,3,22,5,17,22,7,15,11,8,3,5,4,1,2.03,1.53,2.53,3.03,2.89,3.16,1.95,1.63,2.26,1.08,1.26,0.89,1.21,1.21,1.21,0.89,0.74,1.05,0.32,0.47,0.16,37,36,24,11,4,2,18,17,11,6,2,1,19,19,13,5,2,1,1,2,14,27,34,36,1,2,8,13,17,18,0,0,6,14,17,18,97,95,63,29,11,5,95,89,58,32,11,5,100,100,68,26,11,5,3,5,37,71,89,95,5,11,42,68,89,95,0,0,32,74,89,95,31,12,3,14,7,2,17,5,1,82,32,8,74,37,11,89,26,5,63,42,84,-17,37,37,37,50,47,53,16,21,11,68,53,84,27,11,16,71,58,84,11,8,3,29,42,16,7,5,2,18,26,11,58,37,79,29,42,16,13,21,5,5.61,6.63,4.58,2.32,2.21,2.42,92,87,84,71,47,39,34,26,1.8,2.06,1.53,1.43,1.3,1.57,71,7,9,9,2,12,10,6,8,11,3,5,3,1,4,9,6,4,6,18,32,5,18,26,11,13
1,Angers SCO,France,38,19,19,0,12,6,6,8,3,5,18,10,8,1.16,1.11,1.21,13,13,14,13,40,58,-18,98,47,51,20,20,27,31,-7,-11,86,86,86,59,63,55,9,3,6,17,8,9,16,8,8,13,7,6,168,84,84,67,34,33,46,49,44,438,225,213,173,85,88,265,140,125,443,247,196,22,11,11,30,14,16,-8,-3,-5,10,5,5,14,8,6,14,6,8,1.16,1.21,1.11,2.58,2.47,2.68,1.05,1.05,1.05,1.53,1.42,1.63,1.37,1.32,1.42,0.58,0.58,0.58,0.79,0.74,0.84,34,27,20,9,5,2,19,14,9,4,1,0,15,13,11,5,4,2,4,11,18,29,33,36,0,5,10,15,18,19,4,6,8,14,15,17,89,71,53,24,13,5,100,74,47,21,5,0,79,68,58,26,21,11,11,29,47,76,87,95,0,26,53,79,95,100,21,32,42,74,79,89,27,18,7,12,9,4,15,9,3,71,47,18,63,47,21,79,47,16,32,32,32,4,24,16,32,45,42,47,42,42,42,34,37,32,18,10,8,47,53,42,21,11,10,55,58,53,10,5,5,26,26,26,26,26,26,37,42,32,37,32,42,4.42,4.42,4.42,1.76,1.79,1.74,82,66,55,34,32,24,13,13,1.31,1.35,1.28,1.32,1.16,1.48,55,8,1,7,4,4,6,0,3,7,8,5,5,5,11,3,2,7,12,21,16,26,47,53,42,3
2,Arminia Bielefeld,Germany,34,17,17,0,9,6,3,8,2,6,17,9,8,1.03,1.18,0.88,15,14,16,15,26,52,-26,78,36,42,13,13,23,29,-10,-16,118,118,118,59,67,53,11,6,5,12,5,7,15,7,8,11,6,5,118,60,58,54,27,27,42,41,44,345,181,164,128,63,65,217,118,99,380,171,209,8,5,3,21,9,12,-13,-4,-9,4,2,2,20,11,9,10,4,6,0.94,1.0,0.88,2.29,2.12,2.47,0.76,0.76,0.76,1.53,1.35,1.71,0.85,0.82,0.88,0.24,0.29,0.18,0.62,0.53,0.71,30,21,14,6,5,2,16,9,6,2,2,1,14,12,8,4,3,1,4,13,20,28,29,32,1,8,11,15,15,16,3,5,9,13,14,16,88,62,41,18,15,6,94,53,35,12,12,6,82,71,47,24,18,6,12,38,59,82,85,94,6,47,65,88,88,94,18,29,53,76,82,94,15,9,4,7,4,2,8,5,2,44,26,12,41,24,12,47,29,12,26,35,18,6,32,35,29,35,29,41,44,41,47,32,35,29,23,12,11,68,71,65,28,13,15,82,76,88,2,2,0,6,12,0,12,12,12,59,65,53,29,24,35,3.47,3.53,3.41,1.59,1.59,1.59,74,59,44,35,28,21,18,15,0.9,0.92,0.86,1.61,1.53,1.69,56,1,1,3,3,4,4,3,6,1,5,5,8,1,8,9,4,4,8,24,12,35,50,53,47,9
3,Arsenal,England,38,19,19,0,18,8,10,7,4,3,13,7,6,1.61,1.47,1.74,8,9,7,8,55,39,16,94,45,49,24,31,21,18,3,13,62,71,55,87,81,95,12,4,8,17,9,8,12,8,4,18,7,11,207,116,91,57,23,34,54,54,53,496,262,234,189,97,92,307,165,142,341,187,154,26,10,16,22,7,15,4,3,1,11,3,8,17,12,5,10,4,6,1.32,1.11,1.53,2.47,2.37,2.58,1.45,1.26,1.63,1.03,1.11,0.95,1.26,0.89,1.63,0.68,0.53,0.84,0.58,0.37,0.79,35,26,20,9,2,2,17,13,10,3,1,1,18,13,10,6,1,1,3,12,18,29,36,36,2,6,9,16,18,18,1,6,9,13,18,18,92,68,53,24,5,5,89,68,53,16,5,5,95,68,53,32,5,5,8,32,47,76,95,95,11,32,47,84,95,95,5,32,47,68,95,95,25,15,7,9,6,2,16,9,5,66,39,18,47,32,11,84,47,26,47,42,53,-11,32,21,42,45,47,42,32,42,21,47,37,58,22,13,9,58,68,47,19,13,6,50,68,32,10,3,7,26,16,37,29,16,42,45,63,26,26,21,32,5.45,6.11,4.79,1.5,1.21,1.79,84,82,74,53,37,32,13,11,1.5,1.56,1.44,1.34,1.24,1.44,68,4,2,6,9,9,7,8,3,7,4,4,5,4,6,2,5,5,4,18,21,16,34,37,32,8
4,Aston Villa,England,38,19,19,0,16,7,9,7,4,3,15,8,7,1.45,1.32,1.58,11,11,9,11,55,46,9,101,56,45,29,26,27,19,2,7,62,59,66,74,63,90,15,7,8,19,10,9,8,5,3,21,9,12,213,118,95,71,35,36,48,49,48,566,293,273,226,116,110,340,177,163,434,227,207,26,12,14,18,11,7,8,1,7,15,6,9,15,8,7,8,5,3,1.58,1.37,1.79,2.66,2.95,2.37,1.45,1.53,1.37,1.21,1.42,1.0,1.16,1.21,1.11,0.68,0.63,0.74,0.47,0.58,0.37,34,27,22,8,4,2,16,14,12,6,2,2,18,13,10,2,2,0,4,11,16,30,34,36,3,5,7,13,17,17,1,6,9,17,17,19,89,71,58,21,11,5,84,74,63,32,11,11,95,68,53,11,11,0,11,29,42,79,89,95,16,26,37,68,89,89,5,32,47,89,89,100,26,11,5,12,6,3,14,5,2,68,29,13,63,32,16,74,26,11,42,37,47,-6,39,37,42,50,53,47,21,26,16,55,47,63,24,12,12,63,63,63,19,11,8,50,58,42,7,3,4,18,16,21,39,32,47,39,42,37,21,26,16,5.61,6.21,5.0,1.87,1.84,1.89,95,92,74,61,50,34,26,21,1.72,1.76,1.68,1.71,1.66,1.75,63,8,6,4,4,8,3,5,6,11,2,4,5,6,3,10,5,5,6,18,21,16,39,42,37,16
5,Atalanta,Italy,38,19,19,0,23,12,11,9,3,6,6,4,2,2.05,2.05,2.05,3,6,3,3,90,47,43,137,73,64,49,41,24,23,25,18,38,35,42,73,71,74,11,6,5,24,11,13,5,3,2,25,12,13,201,98,103,72,31,41,55,56,53,664,339,325,266,126,140,398,213,185,557,264,293,41,17,24,18,9,9,23,8,15,21,8,13,11,7,4,6,4,2,1.95,1.63,2.26,3.61,3.84,3.37,2.37,2.58,2.16,1.24,1.26,1.21,1.55,1.37,1.74,1.08,0.89,1.26,0.47,0.47,0.47,36,33,23,19,15,8,18,17,13,11,8,5,18,16,10,8,7,3,2,5,15,19,23,30,1,2,6,8,11,14,1,3,9,11,12,16,95,87,61,50,39,21,95,89,68,58,42,26,95,84,53,42,37,16,5,13,39,50,61,79,5,11,32,42,58,74,5,16,47,58,63,84,29,15,8,13,6,3,16,9,5,76,39,21,68,32,16,84,47,26,61,63,58,4,29,32,26,63,58,68,13,16,11,66,63,68,25,11,14,66,58,74,15,10,5,39,53,26,7,4,3,18,21,16,55,42,68,29,37,21,16,21,11,5.29,5.16,5.42,1.89,1.63,2.16,68,61,45,42,37,24,8,5,2.19,2.23,2.16,1.07,1.01,1.14,129,3,9,12,7,14,14,12,11,8,3,2,6,1,8,9,3,6,9,24,16,32,16,21,11,3
6,Athletic Club Bilbao,Spain,38,19,19,0,11,8,3,13,6,7,14,5,9,1.21,1.58,0.84,9,9,13,9,46,42,4,88,48,40,29,17,19,23,10,-6,74,59,101,81,90,74,9,5,4,20,10,10,12,5,7,18,11,7,197,106,91,87,46,41,50,49,51,436,240,196,159,83,76,277,157,120,480,221,259,19,12,7,15,8,7,4,4,0,10,6,4,19,10,9,9,3,6,1.29,1.47,1.11,2.32,2.53,2.11,1.21,1.53,0.89,1.11,1.0,1.21,0.89,1.05,0.74,0.5,0.63,0.37,0.39,0.42,0.37,35,27,15,8,2,1,18,14,8,5,2,1,17,13,7,3,0,0,3,11,23,30,36,37,1,5,11,14,17,18,2,6,12,16,19,19,92,71,39,21,5,3,95,74,42,26,11,5,89,68,37,16,0,0,8,29,61,79,95,97,5,26,58,74,89,95,11,32,63,84,100,100,24,8,2,13,6,1,11,2,1,63,21,5,68,32,5,58,11,5,29,42,16,18,24,26,21,53,53,53,32,26,37,47,58,37,24,12,12,63,63,63,22,8,14,58,42,74,6,5,1,16,26,5,26,32,21,50,53,47,24,16,32,5.18,5.58,4.79,2.29,2.42,2.16,79,68,63,45,34,32,16,11,1.34,1.42,1.26,1.22,1.08,1.35,53,8,4,3,2,4,5,4,5,11,3,6,2,2,5,3,6,9,6,34,32,37,37,26,47,8
7,Atlético Madrid,Spain,38,19,19,0,26,15,11,8,3,5,4,1,3,2.26,2.53,2.0,1,1,3,1,67,25,42,92,52,40,41,26,11,14,30,12,51,42,66,136,155,122,18,10,8,17,8,9,7,2,5,23,13,10,196,98,98,100,40,60,52,50,54,492,269,223,228,128,100,264,141,123,488,225,263,26,16,10,11,4,7,15,12,3,16,10,6,18,8,10,4,1,3,1.74,2.0,1.47,2.42,2.74,2.11,1.76,2.16,1.37,0.66,0.58,0.74,0.97,1.05,0.89,0.68,0.84,0.53,0.29,0.21,0.37,34,28,16,8,3,2,18,15,9,6,2,1,16,13,7,2,1,1,4,10,22,30,35,36,1,4,10,13,17,18,3,6,12,17,18,18,89,74,42,21,8,5,95,79,47,32,11,5,84,68,37,11,5,5,11,26,58,79,92,95,5,21,53,68,89,95,16,32,63,89,95,95,26,10,1,14,6,0,12,4,1,68,26,3,74,32,0,63,21,5,68,79,58,18,47,53,42,45,42,47,18,11,26,61,68,53,27,15,12,71,79,63,16,6,10,42,32,53,7,3,4,18,16,21,42,53,32,47,42,53,11,5,16,5.16,5.16,5.16,2.63,2.11,3.16,76,71,63,47,32,28,18,16,1.6,1.73,1.46,1.21,1.21,1.22,53,4,4,6,3,15,8,6,10,11,1,7,2,1,0,0,4,3,7,21,16,26,11,5,16,8
8,Augsburg,Germany,34,17,17,0,10,6,4,6,4,2,18,7,11,1.06,1.29,0.82,13,11,17,13,36,54,-18,90,46,44,21,15,25,29,-4,-14,85,73,102,57,61,53,7,3,4,18,9,9,11,6,5,14,8,6,121,62,59,73,42,31,41,40,43,362,180,182,142,66,76,220,114,106,388,190,198,12,7,5,23,10,13,-11,-3,-8,8,5,3,13,6,7,13,6,7,1.09,1.24,0.94,2.65,2.71,2.59,1.06,1.24,0.88,1.59,1.47,1.71,1.03,1.0,1.06,0.35,0.41,0.29,0.68,0.59,0.76,32,27,16,10,3,1,16,15,8,5,2,0,16,12,8,5,1,1,2,7,18,24,31,33,1,2,9,12,15,17,1,5,9,12,16,16,94,79,47,29,9,3,94,88,47,29,12,0,94,71,47,29,6,6,6,21,53,71,91,97,6,12,53,71,88,100,6,29,53,71,94,94,24,8,2,12,4,1,12,4,1,71,24,6,71,24,6,71,24,6,29,35,24,13,21,18,24,53,53,53,32,35,29,41,47,35,18,10,8,53,59,47,23,11,12,68,65,71,3,1,2,9,6,12,24,29,18,38,35,41,38,35,41,3.56,3.65,3.47,2.15,2.47,1.82,74,65,53,47,38,26,15,12,1.04,1.01,1.07,1.69,1.74,1.65,68,4,1,2,5,2,6,2,6,8,5,4,5,5,6,6,8,5,10,18,24,12,53,41,65,3
9,Bayer Leverkusen,Germany,34,17,17,0,14,8,6,10,5,5,10,4,6,1.53,1.71,1.35,6,7,6,6,53,39,14,92,56,36,34,19,22,17,12,2,58,45,80,78,70,90,9,2,7,20,14,6,9,2,7,17,10,7,184,84,100,58,31,27,60,59,61,477,257,220,199,106,93,278,151,127,421,221,200,23,14,9,15,6,9,8,8,0,14,8,6,14,7,7,6,2,4,1.65,1.82,1.47,2.71,3.29,2.12,1.56,2.0,1.12,1.15,1.29,1.0,1.12,1.18,1.06,0.68,0.82,0.53,0.44,0.35,0.53,30,25,19,9,4,3,16,15,12,6,3,2,14,10,7,3,1,1,4,9,15,25,30,31,1,2,5,11,14,15,3,7,10,14,16,16,88,74,56,26,12,9,94,88,71,35,18,12,82,59,41,18,6,6,12,26,44,74,88,91,6,12,29,65,82,88,18,41,59,82,94,94,24,10,3,13,5,1,11,5,2,71,29,9,76,29,6,65,29,12,41,47,35,8,26,12,41,59,82,35,26,12,41,50,59,41,23,12,11,68,71,65,16,6,10,47,35,59,5,3,2,15,18,12,41,47,35,41,41,41,18,12,24,5.41,4.94,5.88,1.71,1.82,1.59,76,74,56,44,28,18,9,9,1.66,1.74,1.57,1.19,1.21,1.16,62,7,6,7,1,2,5,7,8,10,5,4,3,2,5,6,2,4,8,29,29,29,29,24,35,6
