,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
0,Aaron Connolly,0.4,0.0,0.4,0.1,0.0,0.0,2.0,1.0,1.4,0.4,0.3,0.9,0.5,0.5,1.6,1.0,0.4,5.4,78.3,0.0,0.0,0.0
1,Aaron Cresswell,0.9,0.9,0.4,2.0,0.4,0.0,0.0,8.0,0.5,1.6,0.1,0.5,0.0,0.3,0.4,8.0,1.6,45.9,78.9,1.6,3.3,0.0
2,Aaron Hickey,1.1,1.4,1.0,1.1,0.1,0.0,0.0,0.0,0.2,0.2,0.6,1.3,0.0,0.7,1.5,0.0,0.2,29.1,88.4,0.2,1.4,0.0
3,Aaron Leya Iseka,0.3,0.0,1.2,0.3,0.1,0.0,4.0,0.0,1.0,0.6,0.5,0.6,0.1,0.9,1.7,0.0,0.6,9.0,75.0,0.0,0.2,0.0
4,Aaron Ramsdale,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,26.8,43.4,0.0,7.4,0.0
5,Aaron Ramsey,1.0,0.3,0.9,0.3,0.1,0.0,2.0,4.0,1.1,1.4,0.5,0.8,0.1,0.4,1.4,4.0,1.4,31.8,87.1,0.5,1.5,0.0
6,Aaron Wan-Bissaka,2.6,1.8,0.9,1.8,0.5,0.0,2.0,4.0,0.2,0.9,1.0,0.4,0.0,0.6,1.0,4.0,0.9,53.1,84.9,0.4,0.8,0.0
7,Aarón Escandell,0.2,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,44.8,0.0,8.0,0.0
8,Aarón Martín,1.8,0.7,1.3,1.8,0.2,0.0,0.0,3.0,0.3,0.3,0.9,0.8,0.2,0.4,0.7,3.0,0.3,35.4,82.3,0.2,1.1,0.0
9,Aarón Martín,0.6,0.4,0.8,0.4,0.0,0.0,0.0,0.0,0.2,0.6,0.6,0.0,0.0,0.4,0.6,0.0,0.6,22.6,73.5,0.8,1.4,0.0
10,Abdallahi Mahmoud,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,1.5,0.0,0.5,7.5,86.7,0.0,0.0,0.0
11,Abdou Diallo,0.7,1.1,0.8,1.5,0.4,0.0,0.0,1.0,0.2,0.0,0.8,0.4,0.0,0.0,0.7,1.0,0.0,51.3,93.1,0.2,2.1,0.0
12,Abdoul Kader Bamba,0.6,0.2,0.3,0.1,0.0,0.0,3.0,1.0,0.5,0.8,0.9,1.4,0.0,0.6,0.9,1.0,0.8,15.3,79.9,0.3,0.5,0.0
13,Abdoulaye Bamba,1.7,1.2,0.9,1.6,0.1,0.0,0.0,0.0,0.1,0.5,0.3,0.4,0.0,0.2,0.8,0.0,0.5,40.5,79.2,0.4,1.6,0.1
14,Abdoulaye Diaby,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,62.5,0.0,0.0,0.0
15,Abdoulaye Doucouré,1.8,1.3,0.8,0.9,0.2,0.0,2.0,3.0,0.6,0.7,0.7,0.4,0.0,0.9,1.2,3.0,0.7,46.2,85.1,0.0,1.3,0.1
16,Abdoulaye Sidibé,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,Abdoulaye Sylla,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
18,Abdoulaye Touré,1.0,0.8,0.7,0.6,0.1,0.0,2.0,2.0,0.9,0.5,0.7,1.0,0.0,0.6,1.0,2.0,0.5,32.3,85.1,0.1,1.2,0.1
19,Aboubakar Kamara,0.2,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.4,0.3,0.0,0.7,1.2,0.0,0.5,10.2,75.9,0.1,0.4,0.0
20,Aboubakar Kamara,0.3,0.0,1.4,0.2,0.0,0.0,1.0,0.0,1.1,0.7,0.8,1.7,0.1,1.6,1.8,0.0,0.7,13.3,73.7,0.5,0.4,0.0
21,Achraf Hakimi,1.4,0.6,0.8,0.4,0.0,0.0,7.0,8.0,1.1,1.0,0.9,1.0,0.2,0.5,1.5,8.0,1.0,32.7,84.5,0.8,0.9,0.0
22,Adam Lallana,0.9,0.5,0.6,0.4,0.1,0.0,1.0,1.0,0.7,0.8,0.6,0.7,0.1,0.5,0.8,1.0,0.8,30.8,85.0,0.1,0.6,0.0
23,Adam Marusic,1.1,1.1,0.5,1.3,0.2,1.0,2.0,3.0,0.8,0.8,0.7,0.4,0.1,0.6,0.7,3.0,0.8,37.3,85.4,0.4,1.6,0.0
24,Adam Ounas,0.6,0.2,0.7,0.1,0.1,0.0,4.0,3.0,1.7,1.4,3.8,2.1,0.6,1.5,2.5,3.0,1.4,30.2,83.0,0.5,2.3,0.2
25,Adam Ounas,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.9,1.0,2.7,1.3,0.1,1.4,1.6,0.0,1.0,15.9,72.1,0.4,1.0,0.0
26,Adam Webster,1.0,1.6,0.8,2.9,0.6,0.0,1.0,0.0,0.9,0.2,0.6,0.5,0.0,0.2,0.9,0.0,0.2,63.4,80.9,0.0,3.4,0.0
27,Adama Soumaoro,0.3,0.7,0.7,0.7,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,38.7,94.8,0.0,1.7,0.0
28,Adama Soumaoro,1.2,1.0,1.7,3.3,1.2,0.0,1.0,0.0,0.4,0.2,0.3,1.0,0.0,0.1,0.4,0.0,0.2,46.0,88.9,0.0,1.6,0.0
29,Adama Traoré,0.8,0.2,1.3,0.3,0.0,0.0,2.0,2.0,1.2,1.5,4.1,2.3,0.2,1.8,3.0,2.0,1.5,18.9,76.3,0.6,0.4,0.0
30,Ademola Lookman,1.0,0.6,1.4,0.2,0.0,0.0,4.0,4.0,2.0,1.8,2.4,1.7,0.4,2.1,3.1,4.0,1.8,30.9,80.9,0.9,0.6,0.1
31,Adil Aouchiche,1.1,0.3,0.6,0.2,0.0,0.0,2.0,5.0,0.8,1.7,1.0,0.9,0.0,0.8,1.8,5.0,1.7,20.0,76.7,1.4,1.2,0.1
32,Admir Mehmedi,0.9,0.3,1.1,0.1,0.0,0.0,0.0,2.0,0.4,1.0,0.4,0.8,0.6,1.0,1.3,2.0,1.0,23.0,80.4,0.2,0.8,0.1
33,Adnan Januzaj,0.3,0.1,0.3,0.1,0.1,0.0,4.0,5.0,1.2,0.9,1.7,1.3,0.1,0.8,1.3,5.0,0.9,17.6,76.3,0.8,0.9,0.0
34,Adolfo Gaich,0.6,0.1,1.6,0.3,0.0,0.0,2.0,0.0,1.5,0.3,0.6,1.3,0.2,0.9,1.7,0.0,0.3,8.8,56.8,0.1,0.5,0.0
35,Adrian Grbic,0.2,0.2,0.7,0.2,0.0,0.0,4.0,0.0,1.0,0.1,0.1,0.5,0.0,0.3,0.8,0.0,0.1,6.2,61.5,0.0,0.0,0.0
36,Adrien Hunou,0.3,0.1,0.4,0.1,0.0,0.0,4.0,0.0,1.1,0.3,0.1,0.4,0.1,0.2,0.9,0.0,0.3,9.5,78.8,0.0,0.1,0.0
37,Adrien Louveau,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0
38,Adrien Rabiot,2.1,1.3,1.3,0.8,0.3,0.0,4.0,2.0,1.0,0.3,1.1,0.6,0.0,0.4,1.1,2.0,0.3,41.6,90.8,0.1,1.2,0.0
