,players,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall
0,Aaron Anthony Connolly,21,Premier League,Forward,Brighton & Hove Albion,790,397,393,Republic of Ireland,17,8,9,2,1,1,1,0,1,0,0,4,2,2,17,10,7,0,0,0.34,0.11,0.23,0.23,0.23,395,1.94,46,46,0,790,0.0
1,Aaron Cresswell,31,Premier League,Defender,West Ham United,3172,1552,1620,England,36,18,18,0,0,0,8,2,6,0,0,11,6,5,40,19,21,3,0,0.23,0.23,0.0,0.0,0.0,0,1.13,79,88,1057,397,0.09
2,Aaron Hickey,0,Serie A,Midfielder,Bologna,763,364,399,Scotland,11,5,6,0,0,0,0,0,0,0,0,1,1,0,15,7,8,4,1,0.0,0.0,0.0,0.0,0.0,0,1.77,51,69,153,0,0.59
3,Aaron Kamardin,19,Ligue 1,Defender,Olympique Marseille,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
4,Aaron Leya Iseka,23,Ligue 1,Forward,Metz,1010,609,401,Belgium,21,12,9,4,1,3,0,0,0,2,1,6,2,4,15,10,5,4,0,0.36,0.0,0.36,0.15,0.67,253,1.34,67,48,253,0,0.36
5,Aaron Ramsdale,23,Premier League,Goalkeeper,Sheffield United,3420,1710,1710,England,38,19,19,0,0,0,0,0,0,0,0,5,4,1,61,26,35,1,0,0.0,0.0,0.0,0.0,0.0,0,1.61,56,90,3420,0,0.03
6,Aaron Ramsey,30,Serie A,Midfielder,Juventus,1093,572,521,Wales,22,12,10,2,1,1,4,3,1,0,0,6,4,2,11,4,7,2,0,0.49,0.33,0.16,0.16,0.17,547,0.91,99,50,547,273,0.16
7,Aaron Wan-Bissaka,23,Premier League,Midfielder,Manchester United,3060,1530,1530,England,34,17,17,2,1,1,4,3,1,0,0,13,6,7,33,21,12,3,0,0.18,0.12,0.06,0.06,0.06,1530,0.97,93,90,1020,765,0.09
8,Aarón Escandell Banacloche,25,La Liga,Goalkeeper,Granada CF,450,180,270,Spain,5,2,3,0,0,0,0,0,0,0,0,1,1,0,8,1,7,1,0,0.0,0.0,0.0,0.0,0.0,0,1.6,56,90,450,0,0.2
9,Aarón Martín,24,La Liga,Defender,Celta de Vigo,1539,668,871,Spain,19,9,10,0,0,0,3,1,2,0,0,5,3,2,24,11,13,1,0,0.18,0.18,0.0,0.0,0.0,0,1.4,64,81,1539,513,0.06
