도로형태 대분류,도로형태,기준년도,2016,2017,2018,2019,2020
합계,합계,사고건수,"220,917","216,335","217,148","229,600","209,654"
합계,합계,사망자수,"4,292","4,185","3,781","3,349","3,081"
합계,합계,부상자수,"331,720","322,829","323,037","341,712","306,194"
단일로,합계,사고건수,"116,136","105,668","101,715","104,869","94,277"
단일로,합계,사망자수,"2,850","2,680","2,394","2,015","1,896"
단일로,합계,부상자수,"170,572","155,572","149,831","154,707","136,179"
단일로,터널안,사고건수,535,725,781,773,771
단일로,터널안,사망자수,27,28,18,21,40
단일로,터널안,부상자수,"1,224","1,581","1,769","1,780","1,651"
단일로,횡단보도상,사고건수,"6,009",-,-,-,-
단일로,횡단보도상,사망자수,172,-,-,-,-
단일로,횡단보도상,부상자수,"6,377",-,-,-,-
단일로,횡단보도부근,사고건수,"1,744",-,-,-,-
단일로,횡단보도부근,사망자수,38,-,-,-,-
단일로,횡단보도부근,부상자수,"2,251",-,-,-,-
단일로,교량위,사고건수,"1,219","1,357","1,519","1,446","1,444"
단일로,교량위,사망자수,50,67,67,49,53
단일로,교량위,부상자수,"2,244","2,499","2,739","2,651","2,390"
단일로,고가도로위,사고건수,366,587,638,646,572
단일로,고가도로위,사망자수,14,19,16,15,14
단일로,고가도로위,부상자수,639,"1,127","1,126","1,085",936
단일로,지하차도(도로)내,사고건수,227,463,"1,763","2,614","2,333"
단일로,지하차도(도로)내,사망자수,13,11,53,72,78
단일로,지하차도(도로)내,부상자수,372,772,"2,673","4,016","3,530"
단일로,기타단일로,사고건수,"106,036","102,536","97,014","99,390","89,157"
단일로,기타단일로,사망자수,"2,536","2,555","2,240","1,858","1,711"
단일로,기타단일로,부상자수,"157,465","149,593","141,524","145,175","127,672"
교차로,합계,사고건수,"99,249","102,354","105,757","114,425","104,443"
교차로,합계,사망자수,"1,336","1,383","1,250","1,205","1,080"
교차로,합계,부상자수,"153,774","156,227","160,231","173,422","155,412"
교차로,교차로내,사고건수,"64,488","64,385","65,533","72,261","65,978"
교차로,교차로내,사망자수,851,774,698,717,630
교차로,교차로내,부상자수,"101,406","101,313","102,054","112,815","100,597"
교차로,교차로횡단보도내,사고건수,-,"7,027","7,252","8,202","6,746"
교차로,교차로횡단보도내,사망자수,-,186,171,161,137
교차로,교차로횡단보도내,부상자수,-,"7,529","7,825","8,932","7,461"
교차로,교차로부근,사고건수,"34,761","30,942","32,972","33,962","31,719"
교차로,교차로부근,사망자수,485,423,381,327,313
교차로,교차로부근,부상자수,"52,368","47,385","50,352","51,675","47,354"
철길건널목,합계,사고건수,6,3,3,8,3
철길건널목,합계,사망자수,0,1,2,2,1
철길건널목,합계,부상자수,8,3,6,13,3
철길건널목,철길건널목,사고건수,6,3,3,8,3
철길건널목,철길건널목,사망자수,0,1,2,2,1
철길건널목,철길건널목,부상자수,8,3,6,13,3
기타,합계,사고건수,-,"8,132","9,502","10,235","10,860"
기타,합계,사망자수,-,115,130,126,103
기타,합계,부상자수,-,"10,799","12,761","13,491","14,513"
기타,기타,사고건수,-,"8,132","9,502","10,235","10,860"
기타,기타,사망자수,-,115,130,126,103
기타,기타,부상자수,-,"10,799","12,761","13,491","14,513"
불명,합계,사고건수,-,178,171,63,71
불명,합계,사망자수,-,6,5,1,1
불명,합계,부상자수,-,228,208,79,87
불명,불명,사고건수,-,178,171,63,71
불명,불명,사망자수,-,6,5,1,1
불명,불명,부상자수,-,228,208,79,87
기타/불명,합계,사고건수,"5,526",-,-,-,-
기타/불명,합계,사망자수,106,-,-,-,-
기타/불명,합계,부상자수,"7,366",-,-,-,-
기타/불명,기타/불명,사고건수,"5,526",-,-,-,-
기타/불명,기타/불명,사망자수,106,-,-,-,-
기타/불명,기타/불명,부상자수,"7,366",-,-,-,-
출처) 도로교통공단.&#10;,,,,,,,
