"","title","movie_info","movie_point","review"
"1","랑종","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204496&target=after","5","너무갔어... "
"2","블랙 위도우","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after","9","액션도 좋고 ost도 좋았습니다. "
"3","랑종","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204496&target=after","7","진지하게 ""곡성""을 한번 더 보세요 "
"4","제8일의 밤","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185949&target=after","8","평점이 최악이라 기대안하고 봤는데, 전 괜찮았어요, 공포스릴러 줗아하는 분에게 권합니다 "
"5","랑종","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204496&target=after","6","재미있게보다가  점점  부산행,곡성,곤지암 더섞이면서  재미없어짐.끝은  이게뭥미? "
"6","크루엘라","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=187322&target=after","10","아 걍 이건 최고임ㄹㅇ "
"7","갓파 쿠와 여름방학을","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=68502&target=after","8","아이들과 즐겁게 볼 수 있는 영화를 기대하셨다면 안 보시는 게 좋습니다. 인간이라는 존재가 이렇게 짜증날 수 있는가라는 생각이 드네요, 어휴.. 감동적이라기보단 가슴 아픈 영화입니다. "
"8","곡성(哭聲)","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=121051&target=after","6","나감독표 뼈무기는 사용하진않았으나 괴기스럽고 성경을 인용한게 오류가 아니었을가 결말이 아쉽다, 나감독표 영화답게 잔인함이 짙다 영화내내 잔인한조크 포함 "
"9","랑종","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204496&target=after","1",";;;;네그렇습니다 "
"10","랑종","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204496&target=after","2","대본을 마감 3분전에 휘리릭 작성함용두사미. 끝이 너무 아쉬움 "
